Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
F,18,17,434,3,2,5,4,3,3,3,0,0,2
F,18,16,307,0,2,3,2,5,5,0,4,5,1
F,18,17,970,5,2,1,4,0,2,0,3,0,1
F,18,10,173,3,5,3,2,1,4,2,3,2,5
M,25,13,253,2,0,1,4,3,3,3,3,2,2
F,45,20,618,0,5,0,0,1,3,2,0,3,0
M,1,6,84,0,2,1,4,5,0,0,2,3,2
M,50,16,937,2,2,4,1,4,3,0,1,2,1
M,25,15,109,5,3,2,0,4,4,2,0,0,0
F,50,8,405,2,0,4,0,1,2,1,2,0,0
F,35,12,480,5,0,0,5,1,3,1,5,3,4
F,56,14,19,5,3,5,3,4,1,1,0,0,0
F,50,14,49,3,0,3,4,0,3,4,4,0,5
M,25,9,380,4,2,3,1,2,0,2,5,5,4
M,50,13,200,5,3,1,2,0,2,5,3,0,4
M,25,7,234,1,0,1,0,0,4,0,4,5,5
F,50,2,432,3,4,4,3,4,1,3,0,4,2
F,35,11,473,2,3,5,4,5,3,0,1,3,4
M,35,4,232,4,5,1,4,5,3,4,1,2,5
M,35,11,600,5,5,3,3,0,3,0,4,4,5
M,25,12,149,5,5,2,0,3,4,0,4,4,1
M,1,11,820,1,2,2,3,4,1,1,1,0,2
M,18,3,372,5,3,4,0,4,0,0,1,3,2
M,56,17,705,1,1,5,3,4,0,3,1,5,2
F,50,6,26,3,5,3,3,2,5,2,2,3,4
F,25,1,532,2,4,3,5,5,3,0,3,0,5
M,45,12,149,5,4,4,4,4,0,1,5,3,0
M,50,14,972,5,4,0,4,4,3,0,5,5,4
M,25,12,170,4,5,5,3,5,4,5,0,0,5
M,56,19,143,0,1,1,3,0,3,4,0,4,0
M,50,3,201,2,0,4,3,0,5,0,0,0,5
M,25,14,465,1,2,4,1,2,3,2,0,2,3
M,50,17,793,0,3,1,2,2,1,1,2,0,4
F,1,0,800,0,0,4,0,5,3,5,4,5,5
F,45,7,194,2,4,1,4,0,2,5,4,2,5
M,50,20,495,4,5,5,5,5,5,3,3,0,1
M,18,13,597,2,5,2,0,5,0,0,0,0,0
M,25,9,314,2,4,1,5,5,2,1,4,1,2
F,25,2,582,2,1,5,3,5,2,4,0,3,1
M,25,13,85,4,2,1,0,4,2,0,0,1,0
M,18,14,196,0,3,5,2,2,5,0,1,2,2
M,56,16,441,5,1,4,1,2,5,2,3,0,1
M,18,14,178,0,0,2,0,4,5,4,2,0,5
M,35,16,494,5,3,3,3,2,3,3,3,0,0
