Gender,Age,Occupation,ZIP-code,2,56,260,653,673,1009,1073,1525,1750,1881,1967,2043,2093,2105,2143,2193,2399,2628,2968,3479,3489,3877,3889
F,25,19,622,0,4,1,5,5,0,1,0,0,2,1,4,0,0,2,0,4,2,4,4,3,0,1
M,45,2,276,0,1,5,0,5,0,0,4,0,3,4,0,0,3,3,0,3,1,2,4,1,5,3
M,50,0,60,3,0,0,3,0,0,4,1,0,5,0,0,0,0,0,3,0,0,1,5,0,4,2
F,45,5,750,3,3,3,1,4,5,0,3,0,0,0,2,4,2,1,5,3,4,0,3,0,1,5
F,50,8,466,1,1,3,0,5,4,0,0,0,4,0,5,5,3,3,1,0,0,2,3,0,2,1
M,25,17,149,1,2,2,1,0,0,0,0,0,2,0,3,0,4,0,5,0,5,4,3,0,2,0
M,35,16,186,2,0,2,0,5,2,0,0,5,4,1,4,5,0,2,3,2,1,0,1,0,2,4
F,35,20,610,4,0,1,2,5,0,0,0,1,4,3,3,0,2,0,5,0,5,0,4,2,0,0
M,35,20,641,1,2,4,0,0,0,3,0,5,1,0,0,0,0,5,0,3,0,5,0,2,0,2
F,18,1,794,3,4,0,0,0,0,4,0,3,1,4,0,2,3,0,5,4,2,5,3,0,3,3
M,25,17,563,0,0,4,0,1,2,0,0,2,2,4,4,0,0,3,0,0,5,5,5,2,0,5
F,50,13,121,1,4,3,3,5,0,0,3,4,2,0,4,0,0,0,2,4,4,0,5,4,2,3
F,45,2,957,5,3,1,4,4,5,4,0,2,0,4,2,0,4,4,3,4,0,1,3,1,5,0
M,1,9,658,1,0,1,3,0,4,4,5,5,0,3,1,3,2,3,1,2,1,0,0,3,2,2
M,18,3,895,5,0,5,0,3,1,5,5,0,2,5,1,0,2,3,4,3,5,1,3,4,1,2
M,56,20,210,0,0,4,2,5,1,0,4,4,2,3,2,1,0,5,2,0,2,3,2,5,3,2
M,25,4,527,4,3,0,3,0,4,0,2,5,1,5,3,4,0,1,4,0,0,3,1,0,2,4
F,45,14,629,1,0,0,2,0,0,4,0,0,5,5,3,0,0,3,2,0,5,0,5,4,0,1
M,35,12,103,0,0,5,3,0,4,4,0,0,5,5,0,0,3,0,0,4,0,0,0,2,4,2
M,56,17,492,5,0,1,4,2,1,1,0,2,5,3,0,5,1,1,3,5,4,0,4,4,0,5
F,18,16,775,2,0,1,3,1,5,5,0,0,0,2,4,5,2,4,3,0,0,5,5,0,0,4
M,45,20,6,5,4,5,0,0,5,3,5,1,4,1,0,5,4,4,0,4,5,0,1,2,1,0
M,56,12,70,3,3,2,0,3,2,4,0,0,1,2,2,1,0,0,5,5,5,3,1,2,0,2
F,45,11,631,5,4,5,0,3,3,1,4,0,2,1,1,0,0,5,5,5,3,4,1,3,2,2
F,45,5,735,4,2,3,3,2,5,0,4,0,2,1,4,0,2,1,5,4,1,4,0,0,0,1
M,25,0,173,4,0,5,4,5,0,4,0,5,2,3,0,3,0,3,5,0,5,0,4,5,0,3
F,25,0,911,1,0,0,2,0,0,5,0,0,1,3,5,2,3,4,1,4,5,3,5,0,0,1
F,56,1,914,5,0,3,0,0,0,5,3,5,5,3,0,0,4,1,2,0,2,5,0,4,5,5
M,50,0,173,1,4,5,2,1,0,3,4,0,4,2,4,1,0,4,0,0,4,3,5,0,3,0
M,25,16,206,5,0,0,2,2,1,2,1,3,5,3,3,0,4,0,2,3,2,3,0,0,0,2
M,56,13,672,3,4,2,0,0,0,5,4,0,5,4,2,4,2,3,0,2,0,0,0,5,0,2
F,1,2,484,1,1,0,0,2,0,1,4,4,5,3,4,0,1,2,4,0,3,2,1,0,0,4
M,45,12,6,4,3,3,2,0,4,1,2,3,1,0,1,5,0,3,0,1,1,0,0,3,0,2
M,56,17,265,1,2,0,1,1,0,1,2,1,3,1,0,0,3,0,3,5,0,0,0,0,1,0
F,25,0,627,3,1,5,0,1,1,4,3,0,0,1,0,5,4,5,2,0,3,1,3,0,2,1
M,25,20,968,2,2,2,3,5,1,3,0,5,1,5,0,0,0,2,0,0,5,3,0,1,0,0
M,18,9,221,2,4,3,5,2,0,5,3,3,0,0,0,4,5,3,1,0,0,1,5,5,0,5
F,25,17,551,3,0,1,0,3,5,3,5,4,0,2,1,0,5,3,0,3,5,0,5,4,0,0
M,25,7,782,0,3,0,3,5,2,2,0,1,4,4,0,0,3,2,4,0,4,1,0,2,0,5
F,25,1,165,0,1,5,2,0,5,2,2,5,5,0,3,5,2,1,3,0,1,1,0,5,0,1
M,18,9,286,2,4,5,4,5,3,5,3,0,2,3,0,5,5,1,3,3,3,4,3,1,0,2
M,56,5,958,3,2,2,0,3,4,2,4,1,0,0,0,4,1,3,2,3,0,1,2,4,2,4
M,45,3,279,0,0,5,1,5,0,3,0,5,0,0,3,1,5,4,5,5,0,4,3,2,2,5
F,25,2,941,3,0,5,3,5,0,4,0,3,3,4,0,4,5,2,4,5,5,1,5,0,0,0
F,45,5,103,2,1,0,3,4,5,2,5,1,2,1,0,5,3,2,0,4,3,0,4,3,1,0
F,1,4,924,4,0,5,0,0,1,3,3,0,5,0,0,0,3,1,0,5,2,0,2,1,1,0
M,1,5,495,4,4,5,1,3,1,1,0,0,0,0,1,1,3,4,5,3,0,1,3,2,1,4
F,25,6,382,3,5,3,5,5,0,0,1,0,2,0,4,5,0,0,0,4,5,3,2,3,4,4
F,1,17,443,0,0,2,2,0,1,5,1,3,4,3,0,1,0,3,4,4,1,1,1,0,0,2
F,35,17,483,3,4,0,0,2,0,5,0,0,0,0,0,4,0,0,4,4,1,2,0,0,1,0
M,56,7,804,1,3,5,3,0,5,3,2,0,3,1,0,5,2,4,0,0,0,0,2,1,0,3
