Gender,Age,Occupation,ZIP-code,673,810,1073,1126,1702,2100,2174,2253,2797,3393,3466
M,45,11,132,3,0,0,5,3,0,2,2,0,0,1
M,18,3,997,0,0,0,2,0,2,2,0,0,1,0
M,45,5,459,0,0,1,3,3,0,3,4,2,0,4
F,56,3,128,0,0,3,1,5,2,0,0,2,3,0
M,25,17,908,5,0,2,4,0,3,4,1,3,2,2
M,25,19,424,0,0,1,1,3,4,2,4,4,4,0
M,50,0,625,0,0,1,5,3,1,2,1,0,0,3
F,18,6,240,3,4,0,2,5,1,3,0,3,5,0
M,45,10,198,3,0,1,3,5,4,0,0,4,3,0
M,25,8,18,1,0,5,5,5,1,1,5,5,5,4
F,50,12,631,1,0,4,2,0,2,0,1,4,5,4
M,50,16,674,3,0,0,3,3,0,4,1,4,0,1
M,35,2,916,5,4,4,3,1,0,1,2,3,2,0
F,35,0,19,5,0,0,5,3,1,4,0,5,0,3
M,25,0,944,5,4,0,2,2,2,4,0,4,3,0
M,25,15,461,0,4,5,4,2,0,4,2,0,0,0
F,25,8,660,0,0,2,3,0,0,0,1,0,0,0
M,25,18,731,1,0,3,1,0,4,0,0,4,0,2
M,25,18,560,5,1,0,2,4,1,2,0,0,0,0
M,50,11,432,0,0,5,5,0,2,5,4,5,0,0
F,50,8,708,5,0,1,2,0,0,0,5,4,4,4
M,25,13,136,5,0,1,2,4,3,3,2,4,0,1
F,50,15,50,0,0,0,1,0,4,1,4,3,0,0
M,18,18,833,0,0,0,3,0,0,5,3,5,1,1
F,18,18,333,5,4,1,0,0,3,5,1,4,0,2
M,56,7,230,5,0,1,2,0,0,3,0,4,4,0
M,18,3,708,0,0,4,4,4,0,5,2,5,2,0
M,25,10,261,0,2,0,1,2,4,4,4,2,0,1
F,50,6,674,0,0,5,3,0,2,1,4,0,1,1
F,25,10,157,0,0,4,1,0,1,1,0,4,0,0
F,25,6,523,0,1,1,2,0,0,2,3,0,3,1
M,45,1,493,0,0,3,3,4,2,0,0,2,4,0
F,45,19,229,1,0,1,0,5,0,4,4,3,0,0
M,18,7,524,3,3,5,1,0,2,3,2,4,4,0
F,35,18,540,5,4,3,0,0,2,4,2,4,2,3
F,25,0,410,0,0,3,1,0,5,2,4,0,0,0
M,25,19,674,5,0,1,2,5,2,4,0,4,0,1
F,18,18,837,0,0,4,1,1,1,3,2,2,0,0
F,25,7,553,0,0,3,4,0,0,1,2,0,1,2
M,45,20,445,0,3,3,0,0,0,4,0,4,1,0
M,25,4,300,0,3,4,1,5,0,2,1,0,5,0
F,1,14,48,5,0,4,3,4,0,1,0,5,4,3
F,56,10,33,0,4,0,3,1,2,2,2,4,2,0
F,25,16,777,0,4,1,1,0,0,3,0,0,0,0
F,35,8,23,3,0,3,1,0,5,5,1,0,2,0
M,25,15,600,3,0,3,3,0,4,1,2,4,3,0
F,18,1,603,0,0,2,5,0,0,4,0,4,3,0
F,18,4,704,0,0,2,4,0,2,2,4,4,0,5
M,25,11,194,0,0,5,1,0,2,4,0,5,0,1
M,18,8,662,3,4,5,0,1,4,0,3,4,3,0
F,45,16,559,5,0,3,1,3,5,5,1,1,0,3
M,45,3,105,0,4,4,3,0,0,1,4,4,4,0
F,50,6,120,0,0,0,3,0,4,4,0,1,4,0
F,25,12,974,0,4,4,1,5,1,3,1,5,0,0
M,35,8,327,2,0,0,4,0,1,2,4,2,2,4
F,56,3,371,0,0,0,0,0,0,1,0,1,1,0
M,45,13,790,5,0,0,4,2,5,3,3,4,4,3
M,25,7,142,0,0,1,3,2,0,5,4,5,0,0
M,50,0,919,0,0,4,5,3,4,2,3,5,4,1
F,50,15,997,3,4,2,3,3,5,3,4,3,0,3
F,56,1,329,0,1,0,3,2,0,3,3,4,4,0
F,45,6,24,5,1,4,2,1,4,0,2,5,4,4
M,50,6,314,0,0,2,1,5,0,4,2,5,0,0
M,50,13,603,2,4,1,3,0,2,0,5,3,3,0
F,56,7,90,0,2,4,3,4,4,2,1,0,0,3
M,25,17,112,4,0,2,4,3,1,0,1,0,1,3
M,25,12,610,0,3,2,0,0,4,4,4,4,0,0
M,25,14,609,0,0,4,1,0,2,5,5,3,0,0
F,45,4,981,0,0,5,5,0,3,3,5,4,4,3
M,35,18,53,1,4,0,4,0,3,1,0,2,0,4
F,25,12,437,5,0,4,5,2,0,2,0,4,0,0
F,25,17,902,0,0,1,4,5,0,3,5,0,0,3
M,50,17,551,5,0,4,4,3,0,0,1,0,3,4
F,50,8,658,5,0,0,1,3,0,2,0,0,1,4
M,35,7,547,5,4,1,1,0,3,1,1,4,2,4
F,56,19,149,3,2,3,1,4,1,0,2,4,0,0
M,25,3,166,0,0,5,5,5,0,0,4,0,0,5
M,18,6,64,0,0,4,2,0,2,1,0,3,0,4
M,18,6,775,1,0,4,4,3,0,3,0,2,2,0
F,25,3,941,2,3,1,4,0,3,1,2,1,0,4
M,56,14,450,0,0,0,2,1,3,3,3,1,2,0
F,25,20,489,0,1,3,5,0,2,0,5,4,4,0
M,45,16,924,0,3,2,4,0,0,4,0,5,4,2
M,50,12,563,4,0,0,5,0,0,4,0,3,0,5
M,45,11,837,0,0,0,5,5,0,5,3,0,1,0
M,25,12,743,3,0,4,4,0,4,4,1,0,3,3
M,18,10,880,0,0,4,2,0,3,2,5,5,0,0
M,18,20,69,0,0,0,0,2,3,1,0,3,3,4
M,25,0,377,0,2,2,4,0,2,1,0,4,3,0
M,45,13,840,0,0,1,5,0,0,0,3,3,1,5
M,45,7,947,1,3,1,1,5,2,3,0,5,3,4
F,25,10,830,0,0,3,2,0,4,3,0,4,3,0
M,18,0,314,2,0,3,2,5,0,1,4,0,1,0
M,1,20,775,3,4,3,2,2,5,4,1,4,0,4
F,25,3,193,0,0,0,1,0,0,0,4,5,3,4
