Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
M,50,1,953,1,1,3,4,2,0,3,4,0,5
M,18,5,977,1,4,4,5,0,2,4,4,3,4
M,25,7,820,3,4,4,3,1,1,1,3,4,1
F,1,17,473,3,3,5,0,5,3,4,0,0,1
F,50,4,916,2,3,4,0,0,5,1,3,0,2
M,56,16,947,4,5,2,0,2,3,0,3,5,5
F,18,18,735,5,4,0,3,4,2,1,1,5,4
M,45,8,186,0,3,0,5,2,2,3,2,3,1
M,1,4,612,4,0,0,0,1,5,3,1,0,4
F,50,4,306,3,1,5,2,1,5,1,4,1,4
M,25,16,786,3,5,2,3,0,3,4,3,1,0
M,25,3,38,0,0,1,3,2,2,3,3,3,0
M,1,16,799,5,0,0,3,5,4,0,5,2,2
M,25,7,495,2,4,3,5,2,2,0,4,0,2
F,50,4,330,4,2,0,4,0,0,3,3,3,2
M,25,13,797,5,1,5,1,1,0,4,3,4,5
F,18,16,157,1,3,3,4,3,2,5,4,5,1
F,50,0,373,3,4,3,0,1,4,0,0,5,3
M,18,15,319,2,0,5,0,1,3,4,0,5,1
M,25,5,168,2,2,1,1,2,1,0,1,5,4
F,18,15,852,1,5,1,4,1,3,2,3,0,1
M,18,1,838,2,3,2,4,3,1,2,0,5,0
F,35,4,84,5,1,3,3,0,0,1,0,2,0
M,45,1,441,4,4,4,0,0,4,4,1,0,1
M,1,8,60,4,4,4,0,4,5,0,0,2,3
F,56,17,23,5,3,4,1,2,0,4,1,0,2
M,25,7,708,4,4,2,4,0,0,5,1,3,1
F,25,6,377,5,2,1,1,3,2,3,0,1,2
M,25,3,708,0,5,4,1,0,2,3,0,0,3
M,56,0,206,5,4,0,5,0,4,2,0,4,5
M,45,8,878,5,0,5,1,4,3,3,4,1,2
F,56,11,20,0,2,5,4,5,1,4,3,0,1
M,18,12,452,0,3,5,0,4,0,5,4,1,1
M,25,11,577,5,2,1,4,4,0,2,0,3,2
F,45,7,33,5,3,0,1,2,5,3,0,0,0
M,50,4,83,4,0,1,0,0,0,0,0,0,0
F,50,6,143,4,0,2,0,1,2,1,2,1,2
M,25,1,325,3,0,5,4,2,4,0,4,0,2
F,56,10,333,0,4,3,3,5,1,2,3,0,5
M,35,5,15,2,3,5,5,2,4,0,2,0,0
F,25,8,493,5,0,0,2,4,0,2,5,1,5
M,25,20,495,0,1,3,4,3,4,1,0,0,5
F,45,8,178,5,5,1,0,2,5,4,0,3,2
M,25,7,910,4,0,3,0,0,0,1,2,2,5
F,1,3,152,1,4,4,0,0,1,3,1,4,3
F,56,3,453,4,0,5,4,5,3,0,1,2,0
F,18,10,958,5,1,2,0,3,0,5,4,0,0
F,45,5,321,3,4,4,5,3,2,0,1,2,4
M,25,6,458,5,5,3,1,2,4,3,3,3,1
F,25,8,118,2,1,2,2,2,4,4,0,1,1
M,25,6,286,1,5,5,4,1,2,1,4,4,4
M,18,9,532,1,2,2,3,3,4,0,0,3,3
M,45,7,13,5,0,2,3,0,3,4,0,5,5
M,1,0,235,2,2,3,3,2,4,1,2,0,0
F,50,14,953,3,4,5,4,4,4,2,1,0,0
M,35,20,105,2,1,4,4,3,4,3,0,0,2
M,1,13,547,2,4,2,3,0,2,0,1,4,5
F,18,9,596,5,3,3,0,2,3,0,1,0,5
M,25,20,323,1,0,3,2,3,3,2,4,2,1
M,50,5,234,2,3,2,0,5,5,1,1,3,1
F,25,16,820,1,0,1,5,3,4,3,2,0,0
F,56,3,934,4,0,0,3,5,0,0,3,0,3
M,25,12,69,4,4,3,5,1,4,3,1,0,0
F,18,0,240,1,2,3,4,5,3,4,4,4,1
F,35,2,127,2,4,3,3,0,4,3,4,2,2
M,35,7,427,5,4,1,1,5,5,4,1,0,4
M,56,19,461,2,1,2,4,5,3,4,1,4,0
M,50,6,580,1,0,5,5,2,4,5,1,0,2
F,18,20,553,3,4,2,0,0,2,4,0,2,0
F,18,5,900,1,5,1,4,4,0,4,3,3,2
M,56,6,571,2,4,5,4,1,3,1,0,0,1
M,25,3,483,0,0,4,4,1,2,1,0,2,4
F,35,2,802,1,5,2,0,2,3,0,4,4,0
F,56,20,931,3,2,5,1,4,0,4,4,3,1
M,56,9,334,5,3,4,4,3,5,0,1,1,4
F,25,20,427,0,1,1,4,0,5,4,4,1,0
F,35,16,454,1,1,2,4,3,1,5,0,4,2
M,25,16,525,0,5,4,5,0,3,3,3,5,2
M,45,3,900,1,5,2,1,0,1,5,5,2,0
M,50,3,337,0,2,1,0,5,2,5,3,2,4
M,50,12,50,5,1,5,4,4,2,1,1,3,0
F,35,0,463,1,4,2,2,4,3,4,4,2,5
