Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
F,35,12,483,4,5,4,0,5,2,0
F,25,2,540,0,0,3,2,2,5,0
F,1,17,23,0,4,3,0,5,2,4
M,45,4,915,0,0,1,5,4,4,0
F,56,11,631,0,4,0,0,2,2,0
M,45,2,410,0,0,0,0,0,0,0
M,56,15,152,0,1,5,2,3,0,0
M,56,11,902,0,0,4,0,5,0,0
M,35,2,700,1,0,0,0,5,1,0
F,50,18,37,2,0,4,3,3,1,0
M,1,18,906,2,0,0,5,2,3,0
F,45,12,136,2,0,4,5,2,0,1
F,35,10,758,0,5,4,5,3,2,3
M,18,18,555,5,5,4,0,5,0,4
M,56,20,945,2,0,3,5,2,0,3
M,18,11,925,0,0,2,0,3,0,1
F,50,14,377,3,0,0,2,4,0,3
F,50,16,951,2,1,4,4,0,0,0
F,56,18,333,0,5,4,4,0,0,5
F,25,1,957,0,0,2,4,2,4,0
M,18,10,902,0,0,4,2,4,0,2
M,56,10,919,0,4,0,0,0,3,2
M,45,4,410,0,4,5,0,4,0,5
M,18,7,906,3,3,3,0,4,3,0
M,50,11,10,4,4,3,0,3,3,4
F,35,19,360,5,1,4,4,4,5,2
M,25,17,973,4,5,5,0,4,0,4
F,35,0,532,0,0,0,0,2,2,5
M,18,6,633,0,1,3,0,5,1,0
M,18,14,833,0,4,1,4,5,5,1
F,45,14,54,2,3,1,0,3,0,1
M,25,6,430,5,4,1,0,2,2,0
M,50,5,622,0,2,4,0,5,0,4
M,50,20,74,3,5,4,0,3,0,5
F,45,0,380,0,0,2,0,5,0,4
M,45,4,833,1,0,0,2,4,2,4
F,50,12,346,0,3,4,0,3,0,0
F,50,19,40,0,4,1,1,2,4,5
M,45,5,933,1,0,0,0,0,2,0
M,25,14,799,2,3,1,0,5,0,0
F,25,18,563,0,0,3,3,4,0,0
F,50,7,228,0,0,3,2,4,2,3
F,25,7,294,0,4,1,0,2,4,1
F,25,14,63,5,0,3,4,5,5,3
M,35,1,146,1,1,2,1,4,0,4
F,18,2,354,0,0,3,0,0,0,0
M,45,7,554,0,0,4,1,3,1,4
M,50,10,111,0,3,2,2,5,0,4
F,50,9,273,0,0,1,5,5,2,2
F,45,20,939,4,0,5,0,2,0,0
M,50,0,285,0,4,5,5,5,5,3
F,56,0,610,5,0,4,5,0,2,2
F,50,17,547,3,4,4,0,3,5,2
M,25,4,103,3,0,5,0,0,4,2
M,45,20,934,0,0,4,4,2,0,0
M,18,18,253,0,3,1,0,0,0,0
F,18,17,79,0,4,4,4,4,3,0
F,25,10,306,0,1,0,0,3,2,0
M,35,13,424,4,4,4,2,0,0,5
F,45,13,325,0,3,4,1,0,0,0
M,50,2,658,0,1,2,0,5,4,0
