Gender,Age,Occupation,ZIP-code,673,1881,1920,2087,2138
M,25,14,549,3,2,3,1,3
M,45,5,616,0,2,0,0,0
F,35,1,346,2,5,1,4,2
M,25,9,970,3,4,3,3,4
F,45,10,489,3,2,2,4,3
M,50,15,971,2,2,3,4,2
F,25,7,181,0,3,4,2,0
M,35,0,88,5,2,1,2,3
M,56,16,240,1,3,0,4,4
M,50,12,396,3,3,0,0,1
M,56,2,775,2,3,1,5,0
M,18,6,115,0,4,4,1,3
M,25,2,720,4,4,4,1,4
F,1,20,560,0,4,0,4,0
M,56,18,232,4,0,4,0,3
M,45,15,66,0,3,0,4,0
F,1,14,914,1,1,3,4,0
F,45,12,80,2,4,2,4,2
M,56,4,522,0,1,4,1,3
M,45,16,627,4,3,4,2,4
M,25,14,215,0,3,0,0,0
F,35,2,875,0,5,3,0,0
M,45,19,802,0,3,0,5,0
M,18,1,173,0,5,4,3,0
M,35,9,15,5,3,5,0,1
M,45,8,480,0,4,0,0,0
F,18,14,282,1,4,3,2,1
M,18,5,906,4,2,4,0,3
F,50,4,157,1,5,0,0,3
F,50,12,501,1,2,2,4,3
F,1,2,610,3,4,5,2,1
M,50,17,181,3,0,3,1,4
M,25,9,786,4,4,3,1,2
M,25,3,181,1,1,4,2,3
M,50,15,658,1,3,0,3,2
M,25,15,616,0,0,0,0,0
F,35,8,201,4,1,4,0,1
M,1,3,863,5,1,4,3,4
F,18,15,641,3,0,0,1,0
M,50,5,765,1,2,3,5,3
M,25,14,530,3,0,0,0,0
F,45,8,301,0,3,0,4,0
M,56,17,287,0,5,4,1,2
F,56,19,307,0,4,4,3,4
M,18,17,77,2,1,0,0,0
M,45,19,878,3,1,4,1,3
F,35,17,24,0,3,2,4,0
M,50,15,610,2,2,0,0,0
F,56,19,871,2,5,0,0,0
M,1,17,969,3,3,3,4,3
M,35,4,531,2,4,4,2,1
F,25,7,406,2,2,3,3,1
M,18,4,382,0,2,2,4,3
F,50,6,148,3,3,3,3,1
M,50,20,975,4,4,0,0,0
F,56,20,436,0,5,0,5,5
M,50,16,13,5,5,1,4,2
F,45,18,908,0,2,2,0,0
M,56,8,972,5,5,4,0,0
M,56,2,604,0,1,4,1,4
M,18,13,708,0,4,1,0,5
F,18,20,939,0,5,3,2,4
M,18,4,522,5,1,2,4,0
M,50,4,758,0,4,5,3,0
M,25,12,297,0,1,0,0,5
M,18,5,338,0,1,0,0,0
M,18,5,77,2,2,3,5,4
F,18,0,847,1,0,1,2,2
F,18,9,928,0,1,0,0,0
M,18,20,212,0,4,0,0,1
F,25,5,378,0,2,4,2,0
F,35,18,836,1,0,0,0,0
M,50,10,132,0,4,0,0,0
M,50,2,300,0,1,4,3,0
F,50,0,930,2,3,1,1,2
M,25,3,209,1,2,0,0,2
M,25,9,437,0,5,1,3,0
F,35,14,616,1,0,4,0,1
F,56,14,765,2,2,0,0,0
M,25,17,609,4,3,0,0,0
M,50,16,76,3,4,0,5,4
F,35,7,603,1,5,4,3,0
F,45,8,131,2,0,4,2,3
F,18,4,437,0,0,5,4,1
F,25,16,234,3,2,0,4,2
M,56,12,330,4,5,5,3,0
M,25,15,54,5,3,3,4,1
M,50,10,132,4,5,0,4,4
M,35,6,563,4,3,0,4,0
M,18,13,272,3,2,2,1,3
M,1,10,336,4,2,1,4,2
M,56,11,522,0,5,0,4,0
M,25,0,493,1,5,0,3,0
M,50,20,485,0,2,3,0,0
M,18,10,951,0,5,0,0,0
F,45,2,123,1,2,4,2,0
M,56,20,956,0,2,5,4,3
M,35,7,551,1,3,1,3,1
M,56,14,582,4,3,4,3,0
M,1,5,815,2,2,0,0,3
F,50,15,674,3,2,1,2,0
M,18,4,132,0,4,0,0,0
M,25,4,498,1,0,0,0,2
F,35,4,914,4,2,0,0,0
M,56,20,805,3,2,3,3,0
F,45,14,20,1,3,1,5,1
M,45,18,559,5,2,4,3,4
M,50,2,168,1,1,0,0,1
M,1,10,224,4,0,0,2,0
M,50,12,285,5,1,2,4,3
M,1,16,495,5,2,0,0,0
M,25,3,752,5,2,3,0,3
M,56,2,640,0,4,0,4,0
M,25,13,307,0,2,3,4,2
M,45,4,704,0,1,2,1,0
F,18,2,277,0,2,0,0,0
F,1,14,957,0,4,0,4,0
F,50,17,750,1,5,2,5,1
