Gender,Age,Occupation,ZIP-code,260,1097,1750,2021,2093,2105,2628,2968
M,45,12,286,5,0,0,0,4,4,5,0
F,18,12,760,2,5,4,0,0,0,4,5
F,56,0,89,5,3,0,5,3,0,0,0
M,35,0,631,5,5,0,4,1,0,3,3
F,50,9,410,5,0,0,4,3,3,0,5
M,18,7,857,2,2,0,0,0,0,2,3
F,45,14,911,0,4,0,0,5,4,5,2
F,18,18,82,4,1,4,0,4,3,0,1
F,45,20,329,5,4,0,2,0,0,1,2
F,50,14,559,4,1,0,2,3,1,3,5
F,45,2,871,4,5,0,5,1,1,1,5
F,45,5,371,1,3,0,0,4,0,5,5
M,45,3,680,4,5,0,0,4,3,5,0
F,25,0,373,0,4,3,4,2,1,5,2
F,45,0,354,4,4,5,0,1,2,5,4
M,45,15,74,2,5,0,0,4,5,5,5
F,25,13,314,3,5,5,2,2,3,0,5
F,35,12,581,4,0,4,5,2,4,0,1
M,18,0,537,2,0,0,0,5,0,4,0
M,50,4,803,1,4,1,3,4,3,3,5
F,25,10,405,2,0,0,2,4,2,5,0
M,35,10,232,4,0,2,1,3,0,0,3
F,50,9,952,3,4,0,0,4,0,4,5
F,18,11,89,1,0,1,1,2,0,4,2
F,25,16,62,3,0,0,0,2,3,2,0
M,18,4,360,2,1,0,4,0,5,5,0
F,45,12,433,5,4,0,5,5,5,3,4
M,18,3,127,5,1,3,1,4,1,0,4
F,25,7,74,5,0,5,3,1,0,4,4
M,1,9,610,1,5,1,2,3,1,4,5
F,35,5,953,3,1,0,2,0,3,3,3
M,56,3,287,3,0,1,2,5,3,1,4
F,1,18,462,3,0,0,4,2,4,2,4
M,25,9,743,5,3,0,0,5,1,4,3
M,45,14,501,1,4,0,0,2,0,2,3
M,18,8,925,1,3,0,0,2,1,5,2
M,18,3,539,2,2,2,3,0,0,3,5
F,25,4,222,1,1,3,0,5,5,2,5
F,45,1,378,5,2,0,0,3,4,5,5
M,35,11,705,2,4,4,1,0,4,3,2
M,50,15,122,2,1,0,2,4,1,0,5
M,45,20,362,0,3,3,4,2,1,0,4
F,50,11,878,5,5,0,0,2,1,2,4
F,1,16,549,3,3,0,0,2,3,5,0
M,1,3,993,2,0,0,0,2,3,0,3
F,25,4,502,4,2,0,4,1,4,3,2
M,25,17,988,3,4,2,5,2,3,3,3
M,45,16,157,1,0,4,2,1,5,4,0
F,45,8,473,3,4,4,2,0,2,2,4
M,45,14,495,4,3,0,1,5,2,4,3
M,25,11,80,2,3,3,0,3,3,4,2
