Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
M,25,4,12,1,0,4,2,2,2,0
M,50,12,282,0,0,3,4,4,2,3
M,35,18,983,2,3,2,5,0,0,0
M,25,19,433,4,3,1,0,0,1,0
M,18,12,800,0,2,5,2,2,0,1
M,56,18,336,0,0,5,5,3,4,0
M,56,20,244,0,3,1,5,0,2,0
F,35,12,584,5,1,3,0,0,3,0
M,50,18,240,0,4,0,2,2,4,2
M,35,3,895,0,0,1,0,4,2,0
F,1,12,900,0,5,5,2,3,1,3
F,45,17,580,0,4,4,0,5,0,4
M,25,8,554,4,1,5,5,0,4,0
F,25,18,402,3,0,0,2,0,4,0
M,56,6,236,2,1,4,3,0,0,1
F,35,2,497,4,5,1,2,3,4,4
M,50,9,498,4,3,4,2,3,0,0
M,1,4,465,2,1,3,0,2,2,0
M,25,3,321,4,5,5,0,0,0,4
M,45,1,933,0,1,1,4,2,3,2
M,18,5,957,3,3,1,3,2,1,0
M,56,1,436,1,5,1,2,4,5,3
F,1,12,279,1,1,4,1,0,0,0
F,1,1,988,2,0,4,0,0,2,4
M,35,12,465,1,3,4,1,4,0,2
M,35,17,77,5,0,3,1,2,1,0
M,1,0,969,3,1,4,5,0,2,0
M,56,17,623,2,0,3,0,3,1,2
M,50,15,751,0,4,2,3,2,0,2
F,18,13,141,4,0,4,2,2,4,4
M,45,2,131,0,0,1,0,2,0,0
F,50,17,208,3,3,2,0,3,2,1
M,45,18,488,4,2,4,1,4,2,0
M,18,19,276,0,2,5,4,0,3,1
F,18,2,396,0,1,0,4,0,4,2
M,35,12,302,0,2,2,0,2,4,4
M,25,7,701,1,3,3,0,0,0,0
F,18,16,708,0,2,1,5,2,0,0
M,35,15,928,0,0,2,3,0,5,4
M,50,16,726,0,0,5,4,2,0,4
M,25,16,22,2,5,1,0,3,1,4
M,50,3,27,0,0,3,0,4,4,4
F,45,11,193,0,5,3,2,5,0,0
M,45,12,830,5,3,3,0,4,2,5
F,56,20,224,3,1,4,0,2,0,2
M,50,14,920,0,2,1,4,3,2,0
F,50,0,459,0,0,1,1,3,4,4
F,45,5,18,0,2,3,0,0,4,0
M,18,9,970,4,3,4,0,0,1,4
F,25,11,279,0,2,0,5,3,3,3
M,25,15,758,5,2,1,0,0,3,1
F,1,11,531,1,0,1,5,0,2,0
M,56,14,461,3,0,5,2,3,3,4
M,50,8,820,4,1,4,5,5,0,0
F,35,9,820,0,0,1,4,5,4,0
M,56,15,196,1,0,1,4,3,0,5
M,1,19,547,3,1,4,0,0,0,0
M,56,12,559,0,3,1,0,5,5,3
M,25,4,165,2,1,1,1,0,0,1
M,50,0,38,2,1,3,0,0,0,0
M,50,7,571,0,0,0,0,5,2,0
M,45,4,630,0,0,4,5,2,0,2
M,35,18,382,5,0,2,0,0,5,2
M,25,2,489,3,3,3,0,0,2,2
M,25,19,941,0,4,1,2,0,0,0
M,45,2,379,0,2,4,1,2,4,3
M,25,3,463,3,0,4,1,0,0,0
F,25,11,935,0,0,5,0,2,2,3
M,35,17,612,4,2,2,0,0,0,1
