Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
M,25,4,77,0,2,3,4,0,0,0
F,45,11,780,4,2,3,0,3,3,0
M,50,2,152,5,1,5,0,0,0,0
F,35,14,925,0,2,4,5,0,0,0
M,25,4,830,0,0,2,0,0,0,0
M,25,5,660,0,0,2,2,0,3,1
F,56,18,981,0,0,0,0,4,1,5
M,25,4,928,4,2,5,2,2,4,0
F,35,8,303,0,3,3,2,0,5,0
F,56,15,27,2,0,0,0,0,1,5
M,35,10,547,4,0,0,0,0,0,0
F,1,15,987,0,0,2,0,0,0,0
M,18,8,986,2,4,2,5,2,3,0
M,50,7,980,5,2,1,0,2,0,2
F,56,8,641,0,2,4,0,0,4,5
M,1,14,553,2,0,0,0,0,2,2
M,18,15,280,4,1,4,0,0,0,0
M,1,12,830,5,5,5,0,4,5,0
M,50,8,15,0,5,4,0,0,3,3
M,56,10,838,0,0,4,0,4,3,0
F,56,9,215,5,4,1,5,3,2,0
M,56,4,330,5,2,1,1,5,3,1
M,35,12,761,3,4,2,0,3,4,2
M,18,8,802,0,2,5,2,3,0,0
M,56,0,442,4,2,1,0,5,2,2
M,1,4,56,1,0,4,0,0,0,0
F,25,14,49,0,0,5,1,0,1,1
M,45,2,630,0,2,4,0,4,0,3
M,1,8,339,0,0,4,1,3,2,1
M,56,15,165,1,3,3,5,0,2,5
M,50,5,74,1,3,4,5,0,4,4
F,50,2,442,2,2,2,0,2,0,1
F,1,7,224,0,2,1,0,4,4,0
M,25,18,971,0,0,5,0,2,0,0
M,35,10,132,0,3,3,0,0,0,0
M,56,7,373,0,4,5,1,0,4,0
M,50,9,13,0,0,0,4,4,3,1
F,25,15,871,0,3,5,0,0,0,0
M,45,15,555,1,0,0,0,5,4,5
F,50,6,613,0,0,4,3,0,4,0
M,50,14,17,4,5,4,5,0,0,1
M,35,8,349,0,0,2,0,4,0,4
M,18,15,48,5,2,3,4,0,0,4
M,45,0,180,3,4,0,0,0,1,3
F,35,13,442,0,0,1,4,0,0,1
M,1,5,100,0,2,2,0,0,0,0
M,1,7,462,2,2,5,2,2,0,4
M,1,6,600,2,0,1,0,5,4,0
M,50,7,658,0,3,5,2,0,4,0
M,18,7,837,0,3,3,4,3,3,5
M,35,8,973,1,0,0,1,2,4,4
F,18,15,971,0,0,3,3,4,0,1
F,45,17,555,2,1,2,4,5,2,0
M,35,15,730,1,1,3,5,4,4,5
