Gender,Age,Occupation,ZIP-code,673,1881,1920,2087,2138
M,25,15,801,5,0,4,0,0
F,18,17,597,1,0,3,0,3
M,25,15,245,5,3,4,5,2
M,18,20,333,4,0,3,0,0
M,35,18,100,1,3,2,3,3
F,18,7,906,2,0,3,1,5
F,25,20,553,4,4,2,3,0
F,35,2,934,0,0,0,0,0
M,18,9,794,4,3,0,0,0
M,18,14,777,3,0,0,4,4
F,18,5,833,5,3,4,0,2
F,25,17,708,0,2,2,3,3
M,50,12,328,3,3,0,0,0
M,18,9,432,4,0,4,0,2
M,35,15,279,0,0,3,0,0
M,25,1,78,3,0,0,0,2
M,50,15,708,1,1,3,4,0
M,50,18,197,4,4,0,0,2
M,25,20,197,1,0,5,5,5
M,25,4,597,5,0,0,0,0
M,1,8,396,5,5,2,4,2
F,18,9,809,1,3,1,5,0
M,56,12,809,2,0,0,4,0
F,45,20,765,1,2,5,3,2
F,45,13,98,3,4,2,3,3
F,18,7,830,2,0,0,0,0
F,18,14,377,2,4,0,0,0
F,56,6,726,1,3,2,1,0
M,18,12,48,5,3,2,0,0
M,56,8,923,1,4,0,4,4
F,45,7,285,4,4,4,4,4
M,1,4,309,5,2,0,1,0
M,25,18,87,3,0,0,0,2
F,45,7,927,2,0,2,0,0
F,35,10,604,1,2,2,0,2
M,1,7,547,5,5,1,2,3
M,25,13,631,1,0,0,4,4
M,25,20,396,5,2,0,4,0
F,56,11,551,2,4,5,1,2
M,25,4,302,4,3,4,3,0
M,56,5,501,4,3,1,5,0
M,45,1,320,4,4,3,0,0
F,35,0,122,5,2,0,0,5
M,25,0,280,1,0,0,2,5
F,1,6,333,5,3,0,5,0
F,25,4,704,5,3,4,0,5
F,45,0,652,1,1,2,4,3
F,50,19,30,1,0,4,1,0
F,56,20,811,5,1,1,3,4
M,35,20,424,1,4,3,5,0
M,35,4,358,0,0,0,0,5
F,18,4,554,0,0,0,4,2
F,18,18,445,1,0,0,4,5
M,18,20,560,0,1,0,2,5
M,35,0,912,3,3,2,3,5
F,35,6,610,5,5,3,0,0
M,35,15,306,1,3,0,3,5
M,18,1,800,2,5,0,5,2
M,50,4,370,0,5,2,0,2
F,45,6,943,0,4,5,4,4
M,18,0,261,0,0,0,0,0
M,18,4,29,4,0,3,0,2
M,25,10,750,2,1,2,3,0
M,25,7,115,2,0,0,0,0
F,45,16,991,3,3,3,0,0
M,18,17,959,5,2,0,0,5
F,1,18,77,0,5,1,3,0
F,45,9,132,0,0,0,5,4
M,56,14,377,1,3,2,0,4
M,56,20,453,2,4,1,4,0
M,35,0,756,5,1,0,0,4
M,18,0,483,3,4,4,0,0
M,25,12,82,4,1,0,3,4
M,45,7,22,0,0,0,5,0
M,25,9,731,2,2,2,5,0
M,25,4,939,4,5,0,0,0
M,1,7,211,1,0,4,3,3
M,25,2,377,1,0,0,0,4
M,45,5,969,3,0,1,1,0
F,45,18,527,3,4,5,3,2
M,25,17,484,0,0,5,3,0
F,35,2,13,4,0,1,1,5
M,56,7,790,0,3,0,3,5
M,56,7,379,0,5,0,4,3
F,25,17,900,0,2,5,5,5
M,18,17,221,5,4,5,4,2
M,25,3,190,5,0,0,3,0
M,45,9,236,3,0,5,0,4
F,45,4,914,1,0,4,3,0
F,18,4,939,1,0,4,5,4
F,25,15,198,0,1,4,3,0
M,35,10,331,0,0,3,0,3
M,50,20,221,0,3,4,1,3
M,56,16,458,5,4,2,3,0
F,50,4,622,0,0,3,0,0
F,25,4,590,4,5,5,5,0
F,45,18,274,1,2,1,0,2
M,56,2,281,5,4,2,4,1
F,25,2,326,0,0,0,0,3
F,45,3,954,0,2,5,3,5
M,45,9,81,2,1,2,4,4
F,50,20,222,0,2,5,0,0
F,25,14,240,1,1,1,5,5
M,56,2,777,1,0,2,2,0
M,50,7,220,3,3,5,0,3
F,18,12,787,0,0,0,3,5
F,35,12,911,4,2,0,5,0
F,45,17,988,2,2,1,0,4
F,25,17,232,1,2,3,3,5
M,18,15,778,3,1,0,4,5
M,18,4,610,1,2,1,5,0
M,18,5,786,5,3,1,5,0
F,18,6,773,3,0,0,4,4
F,35,7,720,1,1,2,4,4
M,25,7,880,5,2,0,0,2
F,25,4,853,1,2,4,0,0
M,45,4,984,0,0,0,4,5
F,50,14,336,1,2,4,1,0
F,1,0,62,3,2,3,0,0
F,18,19,114,0,0,5,0,0
M,35,3,54,1,0,4,0,5
F,45,17,805,0,0,0,0,1
M,56,6,577,1,0,0,4,0
F,25,0,920,3,0,4,0,0
M,25,7,346,0,1,0,4,5
M,25,19,111,4,3,3,0,0
M,50,5,294,1,5,0,5,0
M,50,17,935,0,0,4,4,4
M,50,17,973,3,2,4,0,0
F,25,17,458,1,2,1,0,5
M,25,14,40,4,4,0,4,3
M,25,13,313,2,1,0,0,5
M,35,20,38,1,0,0,0,5
F,18,4,110,5,3,3,2,0
M,50,2,838,3,3,4,0,0
F,25,12,969,0,2,5,4,4
M,25,5,773,0,5,2,5,4
M,18,4,532,3,5,0,4,0
F,18,15,931,3,1,5,0,0
M,18,4,563,1,2,3,0,0
F,25,19,523,5,0,1,0,0
F,1,14,173,3,0,5,3,0
M,18,19,336,2,0,3,4,0
M,45,9,292,1,2,0,5,3
M,56,6,582,1,0,3,5,1
M,18,9,326,3,0,0,5,4
M,1,1,435,5,3,0,4,3
M,35,9,443,4,3,2,5,0
M,1,0,65,0,5,0,2,4
M,45,19,24,5,0,1,0,4
F,56,13,549,4,3,2,4,3
F,25,18,735,0,1,3,3,4
M,25,20,975,3,0,0,3,0
M,45,12,900,1,1,0,0,3
F,45,15,813,3,1,0,4,2
M,45,5,265,1,0,0,3,0
M,45,5,338,1,4,0,4,0
F,18,4,537,5,0,0,4,5
M,45,2,826,4,3,0,0,1
F,18,17,190,1,0,4,5,5
F,25,10,782,5,1,2,0,4
M,56,19,328,0,1,0,0,1
M,18,16,801,0,0,0,0,0
M,50,20,362,4,0,0,3,2
M,25,15,532,0,4,4,4,0
M,25,18,630,0,0,5,5,0
F,35,2,327,0,0,0,0,0
M,25,3,206,1,2,2,4,4
M,35,7,830,4,0,0,0,0
M,35,17,281,4,1,0,0,4
M,50,16,731,2,0,3,3,4
M,45,1,280,1,0,2,1,3
F,18,3,537,2,4,0,2,4
F,25,0,796,1,1,2,5,4
M,50,1,442,4,5,0,0,5
F,50,1,54,2,1,5,0,4
M,1,4,756,2,0,0,2,4
M,35,14,166,5,1,0,5,0
M,56,0,727,4,0,4,0,2
F,45,7,346,1,2,0,5,0
M,50,0,904,0,0,0,4,0
F,18,12,557,3,0,4,3,0
F,45,8,951,2,0,1,4,5
F,45,15,773,5,1,4,4,2
F,45,0,813,5,0,4,0,1
F,56,19,157,1,0,1,5,1
F,18,6,800,0,0,0,1,0
M,25,1,128,1,1,0,0,3
M,45,14,115,0,4,5,5,4
