Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
M,18,8,45,5,3,3,0,4,4,3,5,1,0
M,25,9,492,0,4,1,1,4,1,0,4,0,2
M,35,2,396,5,2,0,3,3,1,2,1,0,4
M,35,20,23,0,3,2,4,1,1,3,3,3,0
M,50,11,981,4,4,4,2,4,2,0,0,0,0
M,56,10,969,2,2,5,4,0,2,1,0,5,4
M,25,0,88,5,4,3,3,0,0,3,4,1,5
M,25,9,946,2,2,1,0,3,2,0,2,0,0
M,18,2,641,3,2,5,4,0,2,4,5,4,0
M,50,13,461,4,3,0,1,4,2,5,3,1,5
F,1,13,933,1,2,3,2,5,4,1,1,1,1
M,45,0,21,5,0,0,0,3,1,0,4,4,0
M,56,12,62,0,2,5,2,1,3,1,3,0,3
F,50,17,674,4,0,5,5,5,4,1,2,3,4
M,35,13,980,5,2,0,4,4,0,2,4,3,3
M,1,6,900,5,1,4,5,0,2,4,5,3,0
F,18,12,461,5,1,1,0,4,4,5,5,3,0
F,18,8,985,1,2,5,2,0,1,5,0,5,0
M,45,11,782,0,3,1,5,4,3,3,2,5,1
M,18,6,921,0,4,5,1,0,4,0,4,5,4
M,50,9,951,5,0,2,2,0,3,1,5,5,5
M,1,11,121,3,5,2,3,4,1,3,1,0,0
M,45,14,540,2,1,5,4,2,0,4,1,3,0
F,25,10,870,2,1,4,3,4,0,3,1,0,4
F,56,17,333,0,5,0,2,0,4,3,2,5,0
M,35,16,223,4,3,2,0,0,3,1,2,4,0
M,35,0,274,2,5,5,3,4,3,0,0,0,0
M,25,15,799,4,5,1,4,0,2,4,4,4,0
M,25,2,535,3,5,1,2,1,1,3,1,0,4
F,1,6,78,4,4,3,3,5,0,0,4,2,1
M,56,5,553,1,3,1,0,4,0,0,0,0,2
F,50,15,161,0,3,3,0,0,3,3,0,0,4
M,1,11,926,3,5,1,0,5,4,4,1,0,0
M,45,16,130,4,0,2,4,4,4,2,4,5,1
M,35,7,322,1,1,5,3,0,4,5,4,0,1
F,50,11,919,5,4,1,0,2,4,0,0,3,2
F,45,13,666,2,4,4,0,4,3,5,4,3,0
F,1,5,931,5,3,1,5,5,3,3,3,4,1
M,18,11,630,0,3,2,4,0,0,4,4,0,0
M,1,2,371,3,5,2,5,3,3,3,5,0,0
M,56,0,221,0,4,5,4,0,2,2,3,4,2
M,56,14,452,3,2,5,5,2,0,3,1,1,0
M,18,7,220,5,0,0,0,0,3,1,1,3,5
M,35,20,820,2,2,0,5,1,1,2,2,1,1
M,1,15,100,1,2,5,4,5,4,2,1,3,4
F,18,2,988,0,0,2,1,3,1,2,2,3,5
F,35,8,560,0,3,0,0,4,0,4,4,0,1
F,56,14,433,0,5,0,0,3,0,0,0,0,1
M,18,2,988,1,3,2,4,5,4,3,1,0,3
F,50,13,110,3,4,1,3,4,2,5,5,4,0
F,1,10,799,1,1,2,2,4,0,0,4,0,0
F,35,5,50,2,1,4,4,4,1,0,3,0,0
M,25,13,750,0,4,5,4,0,1,0,4,1,1
M,35,17,681,0,4,5,2,0,2,4,2,3,4
F,18,13,925,0,4,1,5,4,0,2,1,4,2
M,25,14,191,4,4,1,5,4,0,0,2,0,4
M,25,17,988,1,5,0,0,2,4,0,4,0,0
M,56,17,875,0,5,0,3,3,1,0,3,2,2
F,50,18,633,3,0,3,0,4,2,0,1,1,0
F,50,17,458,4,5,3,0,3,1,0,0,3,2
F,35,16,212,2,0,5,0,4,3,4,3,4,0
F,35,1,110,2,3,3,5,1,4,3,4,2,4
F,45,14,265,5,1,0,0,1,1,2,0,3,0
F,56,18,484,3,4,3,4,0,2,2,3,0,2
F,35,13,956,1,1,1,4,1,5,1,0,3,4
F,35,2,726,4,5,2,2,0,4,0,4,1,4
M,56,16,489,5,3,3,3,4,1,4,1,0,4
M,1,17,933,4,1,0,3,4,3,0,1,0,0
F,45,12,62,0,4,5,3,4,1,5,5,0,0
F,45,14,26,2,2,5,0,1,4,0,2,1,0
F,25,19,457,4,4,1,3,2,4,1,2,4,1
M,50,4,109,2,4,1,0,5,1,3,5,0,0
F,25,11,958,4,5,2,3,5,4,5,2,5,0
F,56,16,982,4,5,1,0,4,0,2,1,0,0
F,56,17,30,4,3,0,0,5,4,4,0,0,0
M,1,3,279,3,3,1,0,4,3,3,2,4,4
F,1,3,380,4,5,4,5,0,5,5,5,0,2
F,56,5,450,0,5,0,3,1,2,5,3,0,3
M,18,13,826,2,0,1,0,0,0,3,2,4,0
F,56,12,421,5,4,5,5,5,2,2,2,0,0
F,56,19,79,4,2,0,2,4,2,5,3,0,4
M,35,14,606,5,2,2,4,3,5,0,1,5,0
F,1,3,527,3,1,3,5,4,4,2,4,2,0
M,45,4,975,4,3,1,5,3,2,3,3,3,0
F,50,9,109,2,5,4,0,1,5,1,1,2,0
