Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
F,1,10,523,0,3,1,2
F,25,20,328,0,0,0,3
F,25,1,910,0,0,0,1
M,50,17,944,3,4,0,5
M,56,8,750,0,0,3,2
M,50,2,544,0,4,1,1
M,1,17,904,4,0,5,1
M,56,4,231,0,3,0,5
M,50,11,328,0,3,0,3
M,18,4,525,0,0,1,0
F,25,5,100,2,0,3,2
M,35,15,917,5,2,3,2
F,45,3,833,4,5,5,3
M,25,4,443,3,4,4,1
F,1,14,708,0,3,1,3
F,1,12,772,0,4,5,4
F,18,15,338,0,3,0,3
M,18,10,127,2,3,4,3
M,56,2,503,0,1,4,0
M,45,14,297,3,2,3,0
M,50,14,605,1,3,4,0
M,50,15,904,1,1,2,0
F,25,8,813,0,5,0,4
F,50,0,40,0,0,0,4
M,25,2,965,5,3,0,0
F,56,4,852,1,0,3,4
M,45,7,261,0,3,5,0
F,18,8,229,0,4,0,4
M,50,13,128,3,3,0,0
F,18,7,907,0,3,4,4
M,25,17,598,5,0,0,3
M,25,0,90,0,4,0,1
M,56,12,559,2,5,3,4
F,25,14,450,0,4,3,1
F,18,2,985,2,1,3,5
M,18,9,554,1,3,0,0
M,50,4,27,4,4,3,4
M,18,11,794,1,0,0,3
M,50,9,320,3,0,0,3
M,25,3,830,0,3,3,1
F,45,0,967,0,3,0,4
F,18,7,741,0,0,0,5
M,25,15,559,5,2,3,0
F,18,5,602,0,1,5,4
M,56,10,441,4,0,0,3
F,45,9,740,0,0,0,4
M,25,12,54,2,4,0,1
F,25,7,951,3,4,1,3
M,50,11,430,0,0,3,3
M,45,7,54,1,2,4,4
M,1,12,602,1,2,0,0
M,56,13,502,0,3,2,3
M,25,2,146,0,2,2,2
M,1,20,279,0,5,4,0
M,50,4,973,0,2,2,0
M,1,8,473,4,2,0,0
M,50,10,612,0,0,3,0
M,25,7,362,1,1,5,0
F,18,4,170,1,0,0,1
M,1,4,445,0,3,3,0
F,25,6,24,3,4,2,4
F,50,17,186,4,1,0,5
F,45,2,625,5,0,0,1
F,56,4,985,1,0,2,2
M,1,6,627,2,5,0,4
M,1,9,554,4,3,0,4
M,18,11,377,0,0,0,4
F,56,7,625,3,5,2,5
F,25,20,830,4,3,2,0
F,56,15,181,0,0,0,0
F,18,2,498,3,0,5,2
F,56,15,358,1,3,0,5
M,50,15,911,4,4,0,0
M,56,4,435,3,1,1,3
F,18,0,41,0,0,3,4
M,35,4,931,0,5,0,0
F,45,4,345,0,4,0,3
M,25,15,410,2,2,3,4
M,1,17,727,0,0,3,0
M,50,18,453,4,5,5,5
F,25,5,495,0,3,4,2
M,56,11,275,4,2,3,0
F,25,10,970,0,0,0,5
M,1,8,272,4,0,3,3
M,1,17,525,4,0,4,1
F,50,5,674,4,3,4,2
M,35,18,765,0,3,0,2
M,1,0,965,0,0,3,3
M,25,20,272,0,0,0,2
M,45,17,234,0,4,1,5
M,25,17,62,3,3,5,4
F,1,2,836,0,2,0,4
M,25,18,232,0,4,0,1
F,25,6,772,0,4,0,3
F,1,4,535,0,0,0,2
M,1,18,489,3,5,4,0
M,56,16,327,0,2,3,0
F,18,0,966,3,2,2,0
F,56,7,680,1,5,0,4
M,56,8,988,3,3,5,4
F,56,15,240,0,1,1,4
M,35,17,339,3,5,4,2
M,45,3,609,2,3,1,0
M,35,18,346,2,2,1,3
M,25,11,584,0,3,0,2
M,50,18,325,0,3,0,3
M,18,9,923,4,0,0,3
F,25,16,878,0,0,3,4
F,25,8,462,2,3,0,0
M,25,7,331,3,0,0,4
M,56,4,50,0,4,4,0
F,50,20,282,0,1,3,0
M,45,17,481,2,5,4,3
F,45,12,206,3,0,4,0
F,18,1,231,2,4,0,0
F,56,11,230,0,0,4,1
F,56,11,441,0,0,0,5
M,18,12,222,0,2,3,4
M,56,14,230,2,3,4,5
M,18,5,200,5,0,2,4
M,50,15,108,0,5,0,0
M,18,14,320,0,0,1,5
F,50,12,775,4,0,2,0
M,45,11,598,3,5,2,4
F,18,0,27,0,0,0,4
M,18,5,338,0,2,3,3
M,35,4,53,1,0,0,0
M,1,15,297,3,3,3,3
F,45,7,441,3,0,4,4
M,50,10,427,0,2,0,4
M,25,2,582,0,0,0,3
M,18,15,727,0,4,5,5
F,25,0,939,1,1,0,3
M,25,6,534,5,1,0,3
M,56,10,333,0,5,0,4
M,35,14,336,0,5,5,4
F,56,9,274,3,0,5,3
M,56,17,598,1,2,4,0
M,56,17,465,0,5,3,3
M,25,14,27,5,0,0,2
M,50,15,622,4,0,1,2
M,1,14,85,5,0,0,0
F,18,9,761,5,4,0,4
M,25,6,988,4,3,5,5
M,1,10,947,4,5,4,3
F,25,19,211,0,0,1,0
M,18,18,984,1,2,5,2
M,56,4,986,3,0,1,5
F,25,0,433,0,0,0,4
F,50,19,912,0,3,0,5
M,1,0,971,1,0,0,3
M,18,2,430,0,0,3,4
M,25,16,54,0,0,3,2
M,50,1,376,4,5,3,0
F,25,10,495,0,0,3,0
M,25,6,531,0,3,4,0
M,56,19,66,1,2,0,4
M,18,4,275,1,3,0,1
M,56,4,483,3,4,0,0
M,18,4,337,0,1,3,3
F,18,4,666,5,1,5,4
M,45,16,111,3,0,2,5
M,56,20,968,0,3,3,2
F,45,14,406,1,2,2,1
M,45,13,41,1,4,4,5
M,1,8,743,5,0,0,0
M,1,12,447,1,1,1,0
M,56,6,272,3,4,0,2
M,25,14,329,4,5,5,3
M,25,0,992,2,3,4,3
M,56,14,378,0,3,4,0
M,35,0,554,0,4,5,0
F,35,2,286,0,2,0,5
M,56,18,988,5,2,0,5
F,50,6,590,2,1,0,0
F,18,0,474,1,0,0,2
M,25,13,847,0,4,1,4
M,25,8,904,0,2,0,0
M,25,16,224,3,4,0,3
F,18,10,306,1,1,2,3
F,25,4,473,0,0,0,3
M,1,9,550,1,1,3,4
M,56,4,377,0,4,1,3
F,18,18,815,5,0,0,4
F,18,7,347,0,0,0,3
M,25,7,28,0,5,0,5
F,25,16,435,0,0,0,0
F,25,2,142,0,0,5,0
F,1,7,432,3,4,4,0
F,45,15,945,0,0,4,5
F,18,20,275,0,0,4,3
M,1,9,551,0,2,5,2
F,1,4,805,4,1,3,3
M,1,5,373,0,0,0,4
F,35,2,481,0,5,0,5
M,56,6,82,0,0,4,5
F,25,12,292,0,0,1,0
