Gender,Age,Occupation,ZIP-code,673,810,1073,1126,1702,2100,2174,2253,2797,3393,3466
F,35,20,758,4,4,0,0,4,4,3,2,1,0,0
F,25,15,38,0,1,4,1,1,0,2,0,1,0,0
M,35,17,229,1,0,4,0,1,0,3,2,4,4,0
F,25,11,379,0,0,4,5,4,1,0,1,2,0,3
F,35,16,522,1,0,3,0,0,0,5,0,1,0,0
M,25,2,292,5,4,2,0,5,0,4,0,3,0,0
M,35,16,891,0,0,3,0,4,5,4,0,4,0,0
F,45,15,89,1,4,4,0,5,4,0,0,0,2,0
F,56,11,33,5,0,2,0,0,4,2,3,0,1,0
F,50,5,803,0,3,4,5,0,1,5,0,2,0,5
F,18,19,402,0,0,3,0,0,3,3,0,4,0,4
F,45,8,935,4,0,0,0,0,0,4,4,2,3,3
M,18,14,735,0,1,4,0,3,0,4,1,0,0,0
M,18,14,720,0,0,4,0,0,3,4,4,4,0,0
F,35,20,735,2,0,4,0,0,4,4,1,0,0,0
F,45,11,450,1,4,1,0,3,3,5,0,5,4,2
M,1,5,170,0,0,3,5,0,0,2,0,2,0,1
M,56,12,460,0,0,4,0,0,4,5,4,4,0,0
M,18,13,301,0,0,5,0,0,3,0,4,4,0,0
F,18,18,680,2,1,0,1,0,5,5,1,3,0,4
M,35,19,442,5,0,4,5,5,2,3,0,4,5,0
M,56,7,680,2,0,1,0,2,0,0,1,4,0,0
M,50,3,796,0,0,0,0,0,3,3,1,4,0,0
M,35,8,105,0,4,4,0,1,2,4,0,1,2,0
M,45,13,974,1,3,1,0,5,4,0,0,3,0,5
F,25,9,178,3,3,1,3,5,4,5,2,5,5,3
F,50,15,834,0,0,2,0,0,4,0,5,4,2,1
F,1,20,473,5,0,3,0,0,2,2,4,2,0,0
M,35,0,15,0,0,1,0,0,0,0,1,2,0,1
M,35,2,972,0,0,2,0,0,0,3,0,4,3,3
F,56,11,981,0,0,0,0,0,0,4,0,4,4,0
F,25,7,927,4,3,5,3,3,2,5,3,3,2,5
M,45,18,907,0,0,1,2,0,0,5,0,4,0,1
M,25,13,980,1,0,4,3,5,5,4,1,0,0,3
F,56,9,323,0,0,0,2,5,4,4,2,1,2,3
M,45,18,465,0,0,1,0,0,0,3,1,4,4,0
M,45,16,330,0,0,3,1,4,0,4,0,5,1,0
F,50,8,465,0,0,0,2,0,3,0,3,4,3,1
