Gender,Age,Occupation,ZIP-code,673,810,1073,1126,1702,2100,2174,2253,2797,3393,3466
M,18,10,231,2,0,5,0,0,4,2,0,3,0,0
M,25,17,557,0,0,4,0,0,0,4,0,0,0,2
F,56,7,24,1,0,4,0,2,1,1,2,2,0,4
M,45,12,114,4,0,0,3,2,0,4,1,0,4,0
F,1,17,26,3,0,5,2,1,1,2,5,0,1,3
M,45,15,773,5,3,0,0,3,1,3,4,2,3,0
F,1,20,402,4,0,0,1,0,1,1,5,3,1,2
M,18,9,82,3,0,3,0,3,1,0,4,4,0,0
M,18,18,900,2,0,5,3,0,4,5,1,5,0,4
M,25,18,837,0,4,0,0,0,0,4,4,0,1,0
M,56,7,284,5,4,5,0,0,4,2,5,5,2,0
F,25,17,405,3,4,5,5,2,2,1,1,3,0,4
F,50,5,540,2,0,2,4,1,1,3,0,0,0,0
M,50,13,447,2,1,0,4,0,5,3,4,3,1,1
F,18,4,441,0,0,5,3,0,5,0,5,0,3,3
M,50,11,912,1,3,3,0,2,2,2,0,1,3,4
M,25,0,840,4,3,4,0,2,1,0,0,0,0,1
M,1,9,220,3,1,5,1,1,5,1,0,1,2,4
F,18,2,826,1,0,0,3,0,0,4,0,2,2,0
M,50,13,813,4,3,0,4,2,1,4,3,0,0,0
F,35,0,122,1,1,5,0,0,1,2,0,0,2,3
M,25,18,105,0,0,5,0,2,0,0,0,4,1,0
M,25,10,928,0,0,4,0,0,4,3,0,0,0,2
M,25,3,45,1,4,5,3,0,4,4,0,3,0,0
F,18,11,452,4,2,2,5,0,0,5,0,0,0,4
M,25,12,193,4,2,3,0,0,4,0,3,5,0,0
M,35,4,917,5,0,4,1,0,0,5,1,1,0,0
M,25,14,553,4,3,5,2,0,5,0,0,4,1,0
F,35,4,751,4,4,0,0,0,5,2,0,0,1,1
M,18,18,907,3,0,3,5,0,4,0,3,2,0,0
M,18,6,120,2,3,5,4,0,3,3,0,4,0,3
F,25,15,820,0,1,0,0,0,4,4,0,4,2,1
F,25,7,915,0,0,0,0,5,1,0,0,3,0,0
F,25,14,700,1,0,1,5,0,0,0,5,1,5,3
F,25,5,170,1,0,0,0,5,5,3,0,3,1,4
M,18,8,373,0,2,1,3,0,2,2,5,0,0,0
F,18,10,833,1,0,4,1,0,0,3,5,0,0,4
M,25,5,465,0,0,4,0,1,1,0,0,4,5,0
F,25,4,577,0,0,5,0,5,0,5,0,2,4,0
M,18,14,915,3,3,0,4,0,4,3,0,0,0,0
M,56,18,782,4,0,4,1,5,1,0,4,0,0,0
M,56,19,336,1,0,0,0,0,0,4,0,5,0,0
F,18,5,777,0,3,5,4,5,2,2,0,1,2,3
M,25,11,550,5,0,0,4,0,0,4,3,1,0,0
M,1,10,735,4,0,0,4,0,3,4,3,4,5,0
F,35,19,307,2,3,3,0,4,4,4,4,3,0,0
M,18,12,132,1,1,4,4,0,2,1,0,4,0,0
M,50,8,173,0,3,4,4,0,0,2,1,0,1,1
F,50,8,424,2,0,1,4,0,0,0,3,4,5,0
M,45,4,328,1,2,4,4,0,0,3,0,2,0,4
F,1,6,104,4,3,2,5,5,3,2,2,0,3,1
M,18,4,48,0,0,2,0,0,3,0,0,4,0,0
M,50,12,435,0,3,1,1,3,4,5,3,0,2,5
M,50,10,581,1,4,1,4,1,4,2,1,0,2,4
F,25,20,201,5,0,4,0,2,0,4,2,3,0,3
F,50,4,616,2,0,2,4,2,4,1,3,2,5,0
M,45,12,534,2,2,2,4,5,0,5,3,0,2,4
M,25,4,74,0,0,5,0,2,3,1,0,0,0,0
M,25,2,265,2,0,0,0,0,5,4,0,0,4,0
M,56,4,919,0,4,1,3,4,4,2,3,2,4,5
M,35,17,813,0,2,1,3,4,0,5,0,5,0,0
F,18,15,582,2,2,0,2,3,1,4,0,1,3,4
F,56,16,12,0,3,5,0,4,3,3,1,2,2,3
M,18,7,230,2,1,1,0,0,4,4,0,4,2,2
M,35,8,89,1,2,1,0,5,2,1,0,3,0,2
M,18,5,906,0,4,1,5,4,2,5,5,2,0,0
M,18,0,815,3,0,2,0,2,5,3,1,4,0,0
M,18,11,83,1,0,0,1,0,4,0,0,0,0,0
M,56,15,744,2,2,1,5,5,3,0,0,4,4,1
M,1,9,290,0,3,2,4,4,3,4,3,1,0,2
M,45,12,306,0,4,3,0,3,0,4,3,3,2,0
M,1,8,622,4,0,4,1,2,5,1,0,5,0,5
F,1,19,89,2,0,5,0,1,3,1,3,0,5,4
M,1,2,750,4,0,3,0,4,2,0,4,1,2,0
F,35,1,911,0,0,3,1,0,4,4,5,0,2,1
