Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
M,25,1,26,5,1,4,0,0,5,5,1,2,0
M,1,4,303,0,4,0,2,0,2,0,4,1,4
M,45,15,220,4,2,1,3,3,0,3,1,4,2
M,50,15,307,0,3,5,1,2,2,0,0,4,0
F,56,5,924,1,0,5,4,1,4,4,5,4,3
M,45,15,105,0,1,3,3,2,5,2,0,5,4
F,45,1,990,2,5,5,5,3,4,0,0,3,5
F,1,11,498,4,1,0,4,5,0,5,3,4,0
M,1,6,967,4,2,0,4,1,4,2,1,0,0
F,35,17,658,5,1,4,4,5,2,5,5,1,5
F,35,4,720,2,1,2,0,5,1,3,0,3,2
F,50,2,178,0,1,3,4,2,3,3,4,0,5
M,18,0,81,5,4,0,0,0,1,5,0,0,5
M,35,9,20,0,4,3,5,4,0,3,4,0,4
M,18,8,925,0,3,4,4,2,1,4,0,3,0
F,56,7,609,5,2,1,0,4,4,5,0,5,5
M,25,12,463,0,2,2,3,3,1,2,5,4,1
M,25,10,916,3,1,3,1,4,3,0,0,4,3
M,18,3,481,1,4,5,4,0,4,5,3,2,4
F,35,0,740,1,5,1,4,0,5,3,0,3,5
M,18,12,231,5,0,1,1,4,0,3,0,3,0
F,50,14,6,4,2,2,5,4,3,4,0,3,4
F,56,5,930,0,3,2,3,0,0,4,0,3,0
M,18,1,181,2,3,5,4,1,2,0,2,4,5
M,1,6,815,1,2,3,4,4,2,0,5,3,0
F,50,7,440,3,5,0,3,0,4,3,4,1,3
M,50,0,488,1,4,1,0,3,4,3,5,4,0
M,25,0,735,2,4,4,0,4,0,0,0,5,4
F,25,1,292,5,3,0,0,0,5,2,1,5,1
M,35,10,735,3,3,3,4,4,5,4,1,2,0
F,25,16,272,2,4,5,4,4,4,2,3,0,0
F,50,15,296,5,1,0,5,4,2,2,0,4,5
M,50,0,549,5,3,2,3,0,2,3,4,1,4
M,18,5,371,1,5,2,0,2,0,1,3,4,1
F,25,16,843,0,0,0,5,0,3,0,0,4,5
F,1,4,236,0,5,5,4,4,4,5,5,3,3
F,25,4,6,3,1,4,5,4,2,2,0,4,3
F,35,8,465,4,0,0,4,0,4,3,1,5,4
M,25,17,20,2,4,2,2,0,0,3,5,1,3
F,35,2,633,4,0,5,4,4,0,2,5,4,4
F,50,12,523,4,0,4,3,3,5,1,4,3,3
M,35,19,524,4,1,5,5,0,1,4,0,0,4
M,50,10,986,5,2,0,5,4,0,3,0,3,4
F,18,8,61,3,4,0,2,5,3,3,0,0,1
M,18,15,274,0,0,2,2,2,2,0,1,4,5
M,35,19,63,5,3,2,2,0,4,0,3,2,2
M,50,10,20,3,0,4,3,0,0,0,0,5,0
F,18,13,220,4,2,2,5,2,2,0,0,0,0
F,35,5,173,1,4,4,5,3,5,0,3,3,5
F,45,8,582,2,2,0,4,4,3,3,4,5,2
F,50,11,800,5,0,2,4,0,1,4,0,3,1
M,25,10,371,5,3,3,3,2,5,2,0,1,0
F,45,12,833,2,4,3,2,3,1,1,1,5,4
M,25,1,485,0,3,1,4,1,2,4,2,1,0
M,25,17,539,1,5,3,3,0,3,4,4,1,3
F,35,6,914,3,1,5,1,1,2,1,1,4,0
M,25,8,913,2,4,5,0,0,0,3,3,3,4
F,50,0,193,2,3,4,1,2,5,0,0,0,0
F,25,10,430,2,5,4,4,1,1,5,0,5,2
M,18,16,992,1,3,4,5,0,3,3,0,5,2
M,50,12,279,5,5,0,1,1,1,1,3,0,4
M,35,19,224,1,5,4,4,5,3,1,5,0,1
F,35,12,941,3,2,1,0,0,4,5,4,5,2
F,56,17,857,5,0,1,0,4,0,4,3,0,0
F,25,13,105,5,5,3,0,4,3,2,0,5,4
F,56,9,430,5,0,1,4,1,4,2,3,0,3
M,25,17,981,0,2,2,3,1,2,2,3,4,3
F,35,19,490,1,3,4,4,0,2,0,2,2,0
F,50,20,462,2,1,4,0,0,2,0,1,3,0
F,45,11,911,3,1,0,4,2,5,2,0,0,3
M,1,3,802,1,3,0,4,0,3,3,1,4,5
M,18,12,983,2,2,5,4,2,4,3,0,5,2
M,25,3,485,4,3,5,4,5,0,4,0,0,0
M,45,6,466,0,4,3,5,0,1,1,4,2,0
M,56,2,378,5,5,2,2,5,2,3,0,5,2
M,1,8,103,2,2,0,1,3,2,3,0,2,4
F,45,16,934,5,4,2,0,2,0,0,0,5,1
M,35,5,104,4,4,5,2,1,3,5,5,4,5
M,1,13,804,2,4,3,2,2,5,2,2,3,2
F,25,2,6,4,5,5,4,0,0,2,0,1,0
F,18,0,850,2,1,3,3,0,2,2,5,4,1
F,18,9,623,1,3,2,2,0,2,4,0,4,0
M,25,11,442,0,5,5,3,2,3,2,3,0,5
F,18,0,841,5,3,2,0,0,0,1,1,3,4
M,50,1,674,0,0,2,0,3,1,5,0,4,1
M,18,12,735,3,5,3,0,1,4,0,0,1,2
F,18,0,640,4,4,3,2,0,4,5,3,0,0
F,35,4,346,1,2,5,2,3,1,5,4,4,5
M,45,11,78,2,3,0,0,3,5,3,0,5,1
M,56,12,990,2,2,1,2,0,4,5,4,4,3
F,35,13,49,1,2,3,5,5,0,4,2,5,0
F,18,20,604,2,5,0,0,4,4,0,0,0,0
M,18,6,580,5,2,5,2,5,3,4,5,4,5
M,35,15,196,1,1,2,3,0,2,5,3,3,0
F,25,5,735,0,2,1,0,2,4,0,0,0,2
F,35,16,958,3,3,3,4,3,2,0,0,0,0
M,50,17,984,5,1,3,4,0,3,1,3,5,0
M,50,4,597,3,4,2,2,5,3,3,1,1,1
F,18,14,741,5,1,2,0,4,1,1,0,4,5
F,1,7,534,1,1,3,0,1,5,3,0,1,0
M,45,8,128,5,4,5,3,2,3,0,0,0,4
M,45,5,290,5,3,4,3,3,4,0,4,3,2
F,35,16,6,4,0,3,4,2,0,1,0,0,3
M,50,9,923,4,0,0,2,3,1,4,0,3,2
M,35,13,630,4,5,0,5,4,2,2,2,1,0
M,18,6,856,2,5,5,3,1,5,3,4,3,2
