Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
F,56,19,558,0,0,5,0
M,35,7,957,0,2,3,0
M,25,10,760,5,4,0,5
M,56,1,927,1,3,4,0
F,25,0,376,1,0,3,0
F,56,11,974,0,0,0,0
M,45,8,904,0,0,5,0
F,18,14,345,0,4,1,4
M,25,4,186,1,4,2,4
F,18,12,140,2,0,5,2
M,25,9,123,0,3,0,0
M,25,13,41,5,0,2,4
F,45,10,793,2,0,4,4
F,25,20,833,0,1,0,0
M,50,11,930,0,2,5,3
M,25,11,333,2,2,0,3
M,25,12,236,2,4,3,3
M,45,12,210,3,2,4,4
M,45,18,314,0,0,1,0
M,18,1,309,0,5,0,0
M,25,19,993,0,0,0,3
M,35,18,577,5,2,5,4
F,56,10,307,2,4,0,3
M,35,9,727,0,0,5,5
M,25,4,292,3,3,0,2
F,56,16,895,0,5,4,0
M,56,8,797,0,0,3,5
F,1,2,760,0,0,0,3
M,25,7,296,3,1,0,3
F,35,8,658,5,2,0,0
F,45,16,911,4,0,4,4
F,45,1,277,5,2,4,3
F,50,2,532,0,0,0,4
M,56,0,70,0,1,0,5
F,1,0,520,0,4,0,0
M,45,16,523,0,4,5,4
M,45,16,281,2,0,5,0
F,25,1,294,2,3,1,1
M,50,20,152,4,3,1,0
M,50,18,580,2,3,2,0
F,18,1,325,2,0,3,4
M,50,13,303,0,2,0,2
F,45,7,286,5,1,4,4
F,45,15,666,5,0,0,3
M,35,5,261,5,2,4,0
M,25,14,136,0,0,5,0
M,45,0,946,3,0,4,3
F,35,10,813,0,0,3,0
F,50,12,459,4,2,1,3
M,25,9,937,5,1,4,3
F,56,2,334,0,3,3,4
F,45,7,361,0,4,2,0
M,50,3,490,0,0,5,4
M,56,12,520,0,0,5,4
M,45,10,700,1,3,1,5
F,45,10,18,3,0,0,0
M,45,0,878,0,4,2,5
F,45,10,900,0,0,1,3
M,18,1,430,5,3,2,4
F,25,0,80,4,3,5,5
F,25,9,12,5,3,5,3
M,25,16,843,1,0,2,1
F,25,15,685,0,5,0,5
M,1,7,166,4,0,5,0
M,56,20,466,0,0,5,0
M,50,18,760,0,0,5,0
F,50,7,904,2,4,4,4
F,45,0,990,0,0,5,4
F,45,2,772,1,2,1,0
F,25,10,173,0,3,3,5
F,18,17,471,3,5,3,4
F,56,4,880,4,3,4,0
F,35,12,532,1,0,0,5
M,18,8,726,3,2,0,0
M,35,16,89,0,2,4,0
F,45,4,466,3,0,3,3
M,35,5,221,1,0,3,0
M,18,2,720,3,5,0,3
F,18,11,301,2,2,5,3
M,25,1,971,5,5,1,0
F,35,20,313,4,3,3,0
M,45,4,433,3,5,5,0
M,25,4,631,0,4,0,4
F,35,17,370,0,0,1,0
F,45,14,136,3,5,3,4
M,25,1,618,4,3,2,0
M,18,10,752,0,3,1,1
F,56,10,12,3,0,5,4
M,35,3,484,4,0,5,0
F,35,14,149,0,2,0,3
F,18,4,6,2,4,1,4
M,18,19,553,1,3,5,0
F,45,1,522,0,0,5,2
M,25,6,454,0,0,4,1
M,35,14,208,3,0,0,0
M,35,9,321,3,0,3,4
F,45,7,942,4,3,3,0
M,25,5,495,2,4,5,1
M,45,8,90,2,4,5,2
F,18,15,70,3,3,3,0
F,18,11,700,0,3,5,3
M,45,17,981,0,4,5,1
F,35,16,141,0,5,1,0
M,45,19,532,0,0,4,2
F,45,7,751,5,3,3,0
M,18,11,261,4,3,0,0
M,50,6,584,4,3,0,1
F,25,7,503,3,1,0,0
M,35,8,597,0,4,1,0
M,56,0,793,0,5,5,0
M,45,12,944,5,0,1,0
F,35,2,12,0,3,1,5
F,50,9,597,4,1,2,5
M,45,0,338,2,5,3,3
M,25,0,641,5,5,1,0
M,18,6,245,1,1,5,4
F,45,20,727,4,0,0,0
M,1,4,296,5,4,1,0
M,35,5,907,4,3,5,4
F,18,20,170,0,3,4,4
F,35,14,63,5,4,5,0
M,50,17,495,0,5,3,1
M,25,8,168,5,0,4,0
M,25,15,194,3,2,0,5
M,18,11,143,0,5,5,4
F,50,7,981,0,3,1,3
F,35,16,943,4,2,0,0
