Gender,Age,Occupation,ZIP-code,260,1097,1750,2021,2093,2105,2628,2968
M,50,0,77,3,4,2,0,0,3,5,1
M,35,4,993,3,4,2,0,3,5,2,2
M,35,7,935,1,3,0,0,2,4,4,5
M,35,15,503,5,3,4,2,0,1,4,5
F,25,3,853,5,4,0,0,0,0,3,0
M,56,16,207,5,1,5,2,5,3,2,1
F,18,10,274,4,0,0,3,0,2,4,5
M,18,11,457,5,2,0,3,0,5,0,3
M,50,17,558,2,2,4,5,4,0,2,3
F,45,2,968,5,0,0,2,0,4,1,0
F,56,2,297,3,1,0,1,1,5,2,1
M,25,4,302,5,4,0,2,1,4,3,0
F,45,0,489,5,0,2,5,0,1,5,1
M,25,2,680,4,3,5,2,0,0,1,1
F,50,11,41,4,1,4,0,4,0,3,0
M,35,8,458,5,5,0,2,5,1,4,2
M,25,15,240,5,2,2,1,0,0,0,1
F,50,0,112,5,5,0,1,0,5,2,5
M,1,11,992,1,3,3,2,3,3,4,4
F,50,5,596,5,0,0,0,0,2,0,4
M,45,17,232,3,4,4,5,3,5,5,0
M,25,17,123,5,1,4,0,4,2,0,0
F,50,12,83,2,4,3,2,3,4,4,3
F,18,14,338,1,5,1,0,0,0,1,0
M,35,8,292,5,0,4,4,5,3,0,5
M,1,4,921,4,3,0,5,3,4,3,4
M,50,2,843,5,5,0,0,3,0,0,0
F,56,1,906,0,5,2,3,4,2,2,3
F,35,12,727,3,0,1,4,0,2,2,5
M,18,4,303,5,4,5,0,0,2,3,1
M,18,18,211,3,4,3,2,3,1,0,0
M,45,5,66,4,5,2,4,2,3,5,5
M,25,12,990,5,2,2,0,4,2,3,0
F,1,6,841,5,4,4,4,0,3,1,2
F,50,3,741,5,0,5,1,3,2,0,1
M,45,1,132,5,3,0,0,5,1,2,2
F,50,9,230,0,0,1,3,0,2,5,2
M,35,4,112,4,4,4,1,0,0,0,5
M,35,15,111,3,3,0,2,1,3,0,1
M,50,18,490,0,5,1,5,2,5,0,5
F,25,15,581,2,3,1,3,0,0,3,1
M,56,5,982,5,5,0,2,5,0,2,3
M,25,2,66,4,0,0,0,0,4,4,0
M,35,2,522,5,3,0,0,0,4,0,1
F,50,4,272,5,2,0,2,2,1,5,0
M,25,4,838,5,5,5,0,0,1,0,0
M,18,5,328,5,2,5,0,1,1,0,2
M,25,6,537,1,0,0,1,3,0,4,0
M,50,2,799,0,5,3,2,0,2,5,4
M,25,8,973,3,2,0,2,0,4,3,0
M,25,12,981,3,1,1,0,5,2,2,1
F,35,10,274,5,2,5,1,4,2,2,0
F,50,7,16,4,2,5,2,0,4,3,0
F,25,8,302,5,4,0,2,0,2,2,3
F,45,2,704,5,1,3,2,3,5,3,0
M,56,4,681,5,0,4,2,1,4,4,3
M,45,7,89,1,1,2,5,5,5,2,5
M,50,4,417,2,1,0,1,3,3,3,1
M,25,0,473,5,2,5,0,2,2,0,0
M,18,2,571,5,3,0,2,4,3,2,0
M,18,11,224,4,2,0,0,3,3,0,5
F,18,10,82,3,3,0,2,0,4,0,3
F,1,15,601,3,1,4,4,3,4,1,0
M,56,7,459,2,3,0,3,0,0,0,0
F,18,14,296,5,2,0,0,4,3,2,2
M,18,6,870,5,4,2,5,4,3,4,1
F,1,8,194,4,5,4,1,5,5,5,3
M,45,4,292,5,2,3,5,0,1,2,0
F,25,15,613,3,4,0,5,3,5,5,3
F,50,5,590,5,4,0,1,3,3,3,5
M,50,13,741,5,2,0,0,0,0,5,4
F,1,3,88,3,2,3,5,0,2,0,0
M,25,19,740,0,1,1,3,0,1,0,0
F,18,14,489,0,2,0,0,1,0,1,5
M,25,2,584,4,1,0,3,0,0,0,5
M,1,4,804,0,1,0,2,4,5,3,5
M,35,18,224,3,1,2,1,0,5,1,0
F,25,19,741,5,3,1,3,0,5,5,0
M,35,8,525,2,4,1,0,0,2,3,0
M,45,0,836,5,2,5,1,4,0,4,5
M,45,0,942,4,3,4,1,1,0,0,3
F,45,15,396,4,0,1,1,2,4,3,2
M,1,5,282,5,3,0,0,4,2,4,3
M,1,5,544,1,4,4,1,0,1,0,2
M,25,13,946,0,2,0,1,1,3,2,3
M,25,17,333,5,1,0,0,2,3,5,0
M,35,8,402,0,4,5,3,4,0,4,3
M,1,5,840,5,4,0,0,3,0,3,0
M,35,12,708,3,2,1,2,4,3,3,3
M,45,19,606,4,3,0,3,3,1,3,2
F,45,3,967,5,3,0,1,5,3,0,2
M,50,3,171,1,4,0,3,3,2,3,3
F,1,16,285,4,1,0,2,0,2,1,3
M,35,0,345,5,5,0,3,2,2,5,2
M,25,0,820,5,2,5,1,4,3,4,0
F,50,9,949,3,4,5,5,0,2,2,2
F,56,15,226,3,0,3,3,3,0,5,3
F,1,16,244,1,5,0,5,0,0,0,4
M,1,15,975,3,1,0,2,2,3,0,5
M,18,1,833,4,1,0,4,0,1,4,0
M,35,18,132,5,1,0,4,5,2,0,0
F,50,2,992,2,4,5,1,0,1,0,5
M,50,9,226,1,0,2,2,0,1,5,4
F,1,19,486,4,0,0,3,1,4,3,4
F,50,4,223,5,0,0,1,3,2,1,1
M,56,4,450,1,0,2,2,5,2,4,0
F,45,9,334,5,3,0,0,3,4,2,3
F,25,7,834,4,1,4,0,0,1,3,0
M,25,10,704,2,0,0,0,5,2,0,0
F,25,20,452,1,5,2,2,5,3,0,0
M,56,11,275,2,4,0,4,0,3,1,1
M,50,15,982,4,0,0,3,3,4,2,0
M,25,17,42,5,1,0,3,2,0,0,3
M,1,14,79,2,1,0,4,3,3,4,2
M,25,18,62,0,0,3,1,0,4,0,3
F,25,9,222,2,2,3,5,5,4,1,3
M,25,20,912,4,5,0,5,4,0,3,5
M,25,16,292,5,0,4,2,5,4,3,0
F,50,14,405,1,3,2,1,0,5,1,4
M,45,13,524,4,3,3,5,2,2,4,2
M,18,6,610,5,4,5,1,5,0,4,4
M,50,9,756,0,2,3,3,3,5,0,0
F,25,19,211,5,4,0,4,2,0,4,3
M,56,6,262,2,1,5,2,4,2,0,4
F,56,5,837,4,1,3,5,3,0,4,0
M,1,17,490,3,5,0,4,0,0,3,0
F,18,12,331,5,4,5,3,0,2,5,4
F,35,14,132,1,1,3,2,2,0,0,4
F,18,7,131,2,2,1,0,0,1,2,1
M,25,8,328,3,1,1,2,3,2,0,4
M,45,16,780,2,0,3,2,4,2,0,2
M,56,0,554,4,3,0,2,0,4,1,4
F,45,4,758,1,4,4,2,0,1,0,2
M,35,8,544,0,2,0,2,5,1,1,0
F,25,14,109,3,0,0,3,4,0,4,5
M,35,0,473,5,5,0,0,5,3,5,0
F,56,2,108,4,1,0,5,5,2,1,0
F,25,1,450,1,2,0,2,0,0,0,4
M,1,5,441,4,5,0,5,3,0,3,2
F,50,9,430,5,3,0,3,5,5,5,0
F,25,17,672,5,2,5,4,5,0,0,1
M,18,10,826,5,2,0,2,0,0,4,5
M,25,14,660,3,0,3,3,4,2,1,1
M,35,17,236,1,5,1,3,3,5,4,3
M,50,4,483,5,3,2,5,3,5,5,2
F,18,4,22,0,0,0,3,0,0,1,5
F,45,4,982,5,1,1,2,0,3,2,4
F,50,17,62,5,0,0,4,0,5,0,3
M,18,5,131,5,2,0,1,0,0,2,0
F,18,2,232,5,4,3,0,4,2,0,3
M,25,3,328,5,3,0,2,0,5,5,4
M,25,6,265,3,2,4,3,0,2,5,1
F,25,17,222,5,5,3,2,0,0,2,1
M,18,4,933,0,5,0,5,0,0,3,0
M,18,3,333,4,5,1,0,0,1,1,4
F,35,18,15,1,4,0,0,0,1,2,1
M,25,15,928,5,2,0,0,0,4,0,2
F,45,9,16,3,4,1,5,0,3,0,5
F,45,4,935,4,5,5,3,0,5,0,2
M,56,11,275,4,5,0,0,0,2,0,5
M,25,5,402,2,2,0,3,3,1,4,1
F,1,0,437,5,1,2,0,5,0,4,5
M,18,16,975,0,1,0,0,5,0,5,3
M,50,2,830,4,1,0,4,5,4,3,0
F,1,14,971,5,0,5,0,4,0,0,3
F,18,11,486,3,5,2,5,2,4,1,4
F,25,4,928,5,2,0,0,0,5,3,0
M,50,1,939,4,3,4,0,0,0,4,3
M,56,9,492,0,2,0,2,0,5,2,2
M,25,1,601,3,2,1,1,0,2,0,2
M,18,6,604,3,2,0,4,2,4,4,5
M,1,0,334,3,0,2,1,0,2,5,0
F,35,7,802,4,0,0,3,0,1,5,5
F,18,7,770,1,3,3,5,4,5,0,0
F,25,4,930,5,0,0,0,5,0,2,0
M,50,0,15,4,2,0,0,0,4,4,0
M,25,14,523,5,1,0,1,2,0,2,3
M,1,0,54,3,1,0,0,0,4,0,2
M,1,5,945,3,0,0,5,0,3,4,3
F,25,11,314,0,2,2,2,0,5,0,5
F,25,3,181,4,2,4,5,3,4,1,3
M,56,15,503,3,3,0,5,0,1,2,0
M,18,15,752,5,2,0,5,0,5,5,0
M,45,0,157,3,2,2,0,0,3,0,3
F,18,3,362,4,0,0,2,0,3,0,2
M,25,9,212,5,0,3,1,0,0,0,2
M,50,17,843,2,0,0,3,0,0,1,2
F,18,20,18,4,4,1,5,4,3,4,3
M,50,15,590,2,4,2,0,5,0,4,0
M,18,1,417,4,3,1,0,3,4,3,4
F,45,10,928,5,1,0,1,2,0,4,0
M,18,11,338,5,3,3,1,3,5,0,3
M,56,18,307,3,5,2,3,4,2,1,1
M,18,5,804,4,3,0,1,2,5,1,2
F,25,7,803,5,1,2,2,0,4,1,0
M,50,15,280,5,5,2,0,2,5,3,0
F,45,2,112,5,5,4,2,0,3,3,1
M,25,14,913,5,2,3,3,3,5,3,4
M,45,0,346,4,1,0,4,0,2,5,1
F,25,15,953,4,3,0,1,3,0,2,2
M,35,7,175,5,2,0,4,0,0,1,2
F,50,4,273,3,1,0,4,3,3,3,5
M,56,20,750,3,4,0,3,3,4,4,3
F,50,20,141,2,4,2,5,3,2,0,5
M,1,20,123,0,0,4,3,0,5,5,0
M,35,9,65,1,1,5,1,3,0,2,1
M,1,12,253,5,1,3,2,2,3,2,3
F,50,20,161,2,2,0,4,1,0,4,1
M,45,20,181,5,1,2,5,2,0,3,3
M,25,19,726,1,2,3,1,5,2,0,4
F,56,0,226,2,1,3,3,0,0,4,5
M,56,17,54,5,1,4,5,0,3,1,5
M,45,14,652,5,2,2,5,4,2,2,3
M,35,2,224,2,4,3,0,0,2,5,0
M,25,8,445,4,3,0,3,4,3,5,1
M,18,1,396,3,2,0,0,0,0,5,2
M,35,8,360,0,2,0,0,0,3,3,5
M,56,4,333,2,4,0,0,4,4,5,1
M,35,15,307,4,1,0,0,4,0,4,2
M,45,19,730,3,2,0,3,2,2,0,3
M,18,12,908,2,0,0,3,0,1,0,1
F,56,9,786,4,3,5,5,4,0,5,2
M,56,5,111,5,5,0,2,0,3,4,5
M,35,7,777,5,2,1,0,1,2,5,1
M,56,11,338,5,1,1,1,0,0,0,0
M,50,19,17,5,3,0,4,4,0,4,2
M,25,5,910,1,5,2,0,0,5,1,3
M,35,5,76,5,2,0,3,3,3,4,0
F,45,17,121,4,3,0,0,5,3,0,2
M,25,19,826,3,0,3,4,0,0,4,5
M,35,7,226,3,2,0,4,2,4,0,0
M,25,15,782,5,0,3,5,5,2,0,1
F,35,14,402,5,3,2,1,4,2,4,4
M,25,5,89,1,5,4,2,0,3,4,1
F,1,15,143,4,5,2,3,3,5,3,1
M,45,11,352,3,3,0,1,5,1,0,3
M,1,9,127,5,2,5,5,3,5,0,4
M,45,1,462,0,3,2,5,0,0,3,0
F,56,10,161,5,4,0,0,3,4,2,0
M,35,10,132,4,1,4,1,2,1,1,3
M,1,10,830,1,2,2,4,4,4,5,5
M,45,11,181,1,2,4,2,0,0,0,4
M,45,12,53,5,2,0,5,0,5,5,3
M,50,12,196,5,2,0,4,0,5,0,3
F,25,16,462,5,5,2,1,2,0,3,0
M,25,2,951,4,2,0,1,0,3,3,1
M,1,11,946,0,0,0,0,0,4,3,4
F,45,9,912,2,1,1,0,1,5,5,3
M,25,3,914,1,2,0,4,0,0,4,0
F,50,7,358,2,0,1,3,0,1,4,2
M,25,15,27,3,2,5,0,0,0,2,0
M,45,7,82,2,4,0,0,0,4,2,3
M,18,20,170,1,1,0,4,3,2,2,5
M,25,4,180,2,1,5,3,0,2,2,1
M,50,4,875,5,1,0,0,0,5,1,2
M,25,0,328,5,5,1,4,2,3,0,5
M,1,11,489,3,0,0,1,5,0,2,5
F,18,5,402,5,4,0,4,4,3,0,3
F,35,8,19,5,4,4,3,0,2,4,2
M,1,6,70,5,1,0,0,2,1,5,3
F,56,8,492,5,4,1,4,1,4,5,1
M,25,2,296,5,4,5,5,0,1,4,2
F,1,0,908,3,5,4,2,5,2,0,1
M,25,11,532,3,5,0,2,2,1,0,3
M,18,17,602,3,4,4,5,0,5,5,4
M,25,0,230,5,3,5,4,3,4,2,0
M,25,5,201,5,0,1,0,5,3,2,1
F,56,11,441,1,0,1,2,5,2,3,0
M,35,17,740,3,0,2,3,3,0,4,0
M,50,15,201,1,3,0,4,3,1,4,2
M,35,0,997,2,3,0,4,3,4,1,0
M,56,20,212,1,2,1,4,2,2,4,1
F,56,11,127,3,1,3,0,0,2,2,0
F,25,16,820,3,1,0,2,5,0,0,0
M,25,5,265,5,2,0,0,0,5,4,0
M,35,11,813,2,0,2,2,0,0,5,5
M,50,13,82,4,4,2,1,2,1,1,0
F,50,1,598,1,2,0,0,0,1,0,1
F,56,17,326,3,5,0,4,0,1,0,4
M,56,16,482,5,5,0,1,1,0,0,3
F,18,18,29,0,4,1,0,0,2,0,1
M,35,3,952,5,4,0,0,5,0,0,3
F,56,2,452,0,5,0,4,0,0,2,1
F,56,19,880,4,4,4,3,0,0,0,1
F,56,18,947,1,2,3,2,3,1,1,1
M,50,16,89,5,5,5,4,0,5,4,4
M,1,4,775,4,4,0,3,0,5,3,2
F,35,13,704,1,2,4,0,1,4,2,3
F,35,7,502,3,2,0,1,4,1,3,3
F,56,8,681,5,1,5,1,1,3,0,1
F,25,5,982,5,0,0,1,0,4,4,2
F,50,10,78,5,1,3,0,2,2,5,3
F,35,12,432,5,1,3,2,0,1,1,3
F,56,18,98,5,0,4,0,4,1,4,5
F,25,4,338,0,2,1,4,2,0,4,0
M,50,14,945,5,3,2,0,0,0,1,0
F,1,15,245,2,0,2,5,3,1,3,3
M,50,2,22,3,2,3,2,3,1,3,2
M,18,4,171,0,3,3,0,3,0,5,0
M,56,20,334,4,1,3,0,3,4,4,4
F,50,17,307,0,4,2,4,0,1,5,2
F,1,11,33,5,1,0,2,5,5,1,4
M,25,1,965,3,0,0,2,0,1,1,3
F,18,18,105,2,4,2,0,0,5,0,5
M,50,0,473,5,4,0,0,0,5,0,2
M,25,17,80,1,5,5,5,2,0,0,2
M,25,15,50,5,2,5,1,0,3,2,2
M,35,14,82,2,5,4,1,4,2,4,1
F,50,7,560,5,4,2,3,3,0,0,0
M,1,19,380,2,5,5,1,5,2,4,3
M,25,5,292,5,2,0,2,3,2,4,0
M,45,5,741,4,2,0,0,2,3,5,5
M,45,4,121,1,2,0,1,2,3,4,4
M,35,1,307,1,5,3,0,2,3,4,0
M,35,17,474,0,4,3,5,2,3,5,0
M,35,20,334,3,1,0,5,4,2,4,5
M,35,6,674,5,2,4,3,0,5,0,2
M,50,19,907,1,5,0,3,0,0,5,5
F,56,15,200,4,1,3,4,3,0,4,0
F,18,12,826,4,0,5,0,1,2,1,0
M,25,1,80,5,1,0,0,3,4,1,4
F,18,17,198,5,0,0,2,1,2,5,5
M,1,2,196,5,5,0,0,5,2,0,0
M,35,9,221,4,4,3,5,3,4,5,3
M,25,15,210,2,5,1,2,2,1,4,1
M,35,17,856,5,1,4,0,5,0,5,1
M,25,20,522,3,4,3,0,5,0,3,2
F,56,4,905,5,1,3,1,3,3,3,2
M,45,4,740,0,5,0,1,1,3,1,2
M,50,8,612,4,0,0,4,3,2,1,0
F,35,16,826,1,1,4,4,2,1,5,3
M,25,1,285,4,0,5,0,4,3,2,0
M,50,20,10,5,2,0,1,4,1,3,0
M,18,17,127,2,2,0,0,0,3,4,0
F,1,4,221,0,3,0,3,0,3,2,1
M,35,0,211,5,4,0,1,2,0,3,2
M,35,2,863,2,2,1,4,0,0,4,2
M,56,5,123,5,1,2,2,0,0,3,2
M,45,19,433,5,4,0,0,0,5,4,1
M,45,14,352,3,3,2,2,5,4,2,3
M,45,17,603,4,3,2,3,0,3,5,2
M,18,15,943,4,4,2,0,1,3,3,5
M,56,9,582,1,2,1,5,2,3,0,3
M,50,5,471,5,4,1,4,0,0,0,5
F,25,5,631,5,4,0,0,5,0,0,0
F,56,10,209,5,2,1,0,0,5,3,1
M,45,2,212,4,1,0,1,0,2,0,5
M,25,12,17,3,0,0,0,0,2,2,0
F,18,3,198,2,0,0,4,0,2,0,2
M,45,15,527,5,3,0,4,4,0,3,4
M,50,0,440,2,0,3,1,5,5,3,4
M,50,15,531,5,3,0,0,0,0,4,4
F,18,1,460,4,4,3,0,3,4,3,2
M,56,10,230,1,0,3,5,0,4,0,1
M,50,16,274,4,5,0,0,0,0,5,0
F,50,1,730,0,2,0,5,0,5,3,2
F,56,9,466,1,3,0,5,4,4,3,4
F,45,7,421,5,4,5,1,0,0,0,1
F,35,1,904,2,1,0,5,2,0,5,0
M,1,14,857,5,3,5,0,1,4,0,1
F,45,12,28,1,4,0,0,0,0,0,3
F,18,15,988,0,2,0,0,0,4,4,0
F,1,13,358,4,4,0,5,3,0,0,4
F,25,0,338,0,1,4,0,0,4,0,4
F,56,19,799,2,3,2,4,0,1,2,0
M,45,12,527,4,1,0,0,0,0,4,0
M,45,2,170,4,5,0,3,4,0,1,3
M,1,19,307,4,0,3,0,0,5,0,1
M,35,1,168,5,3,0,0,0,0,0,0
M,25,0,150,5,4,0,0,2,4,0,4
M,50,17,417,5,5,2,0,3,2,4,1
M,18,15,435,5,3,3,0,2,2,2,2
F,45,16,77,4,4,0,4,2,1,0,3
M,35,4,76,5,2,5,2,0,0,0,2
M,18,0,630,3,5,0,2,0,5,1,0
M,35,11,793,1,5,2,4,5,5,5,3
M,25,8,741,5,2,3,3,3,0,4,1
M,50,10,212,5,2,0,0,0,2,3,1
M,25,6,427,5,0,4,5,0,4,1,3
M,1,0,967,1,5,0,4,0,4,3,3
M,1,2,235,5,4,0,1,5,3,5,3
F,45,17,560,3,5,1,1,1,0,5,0
M,45,9,193,5,0,0,5,2,1,2,3
M,25,1,744,4,1,1,0,0,3,4,0
M,18,15,493,5,3,1,0,2,4,0,1
F,18,16,917,5,2,1,0,0,0,0,0
F,25,16,895,2,3,0,0,5,1,2,3
M,18,20,181,4,2,0,5,2,3,2,4
M,1,15,857,5,2,0,0,1,0,0,3
F,56,14,986,3,4,0,0,3,3,4,0
M,1,5,463,1,2,1,4,3,5,0,0
F,50,1,840,0,1,0,4,1,4,1,5
F,35,9,462,3,0,3,2,3,2,0,3
M,35,7,612,3,3,0,1,4,3,2,0
F,45,8,554,4,5,2,5,4,3,4,0
F,50,15,951,4,3,2,2,0,2,2,4
M,56,0,131,4,4,4,0,0,2,5,4
M,50,9,983,5,0,5,1,1,1,2,1
F,50,4,165,3,5,0,5,3,3,5,3
F,50,7,931,5,1,0,3,0,1,0,0
M,25,3,373,5,3,1,0,0,3,3,0
M,35,12,906,5,2,3,2,5,1,3,1
F,45,19,495,5,2,3,1,5,4,0,3
M,25,0,282,0,0,4,0,0,0,4,0
M,1,8,933,5,3,3,5,1,0,0,0
F,35,4,402,5,0,0,0,3,5,5,2
M,35,19,540,2,0,0,0,0,0,5,2
M,1,2,88,5,4,1,0,3,3,0,1
M,18,5,28,3,5,0,1,3,2,5,0
M,25,7,598,1,5,1,0,0,4,3,1
M,25,9,465,2,0,2,2,2,0,4,3
F,18,19,111,3,3,0,0,3,0,0,0
M,56,12,940,0,0,0,2,0,4,4,3
F,25,17,378,5,5,1,4,3,5,0,0
F,56,4,630,3,0,0,1,4,0,0,3
M,25,0,144,5,0,0,0,0,4,3,0
M,1,17,830,5,3,4,2,0,0,4,0
F,25,18,442,5,2,0,3,4,0,1,1
F,35,17,454,1,1,0,4,4,1,1,2
M,1,14,228,5,4,0,1,4,2,4,3
M,56,5,982,3,5,3,4,3,1,4,4
M,25,9,287,0,2,3,3,2,2,0,0
M,25,5,833,5,2,5,5,3,3,3,3
M,25,9,370,5,5,0,0,0,2,4,5
M,50,18,942,2,5,5,2,0,3,3,4
F,25,2,98,4,5,0,2,0,4,1,1
F,1,7,856,1,0,0,4,0,2,4,5
F,25,14,741,5,5,3,0,0,4,0,0
M,56,0,982,1,3,4,2,1,0,4,1
M,50,4,286,3,1,0,0,5,0,4,3
M,18,1,943,5,4,4,0,0,0,0,4
M,35,18,943,5,3,0,1,1,3,3,3
M,1,19,110,1,4,0,0,2,5,3,4
M,25,0,84,1,5,2,4,4,0,0,3
M,45,8,132,3,3,0,0,1,5,0,4
F,35,7,856,5,0,0,2,5,1,4,3
F,1,11,967,4,2,2,1,0,5,0,0
F,45,7,741,5,3,2,0,0,2,4,5
F,45,13,232,5,3,0,3,0,0,5,3
M,50,15,826,5,5,0,1,0,5,5,5
F,35,11,197,5,3,0,0,2,3,3,3
M,56,20,630,0,2,5,0,0,0,5,4
F,1,12,417,5,0,2,4,5,0,5,5
M,50,17,376,4,5,0,0,5,5,5,0
F,50,15,966,0,3,0,3,2,0,4,5
F,25,4,730,0,3,4,4,0,0,0,4
F,18,7,597,4,1,3,0,1,0,4,3
M,25,11,840,1,4,0,0,0,1,1,2
F,18,15,560,3,2,5,0,5,1,2,1
M,25,19,433,2,1,2,5,0,2,5,1
M,25,18,815,1,4,3,0,0,0,0,4
F,18,0,741,2,0,0,0,2,5,4,3
M,18,5,83,4,0,1,2,4,0,3,3
F,56,12,430,0,3,2,2,2,5,3,5
M,25,15,465,0,1,5,4,0,4,2,0
M,56,10,244,5,0,3,0,0,0,5,0
M,45,20,274,5,5,0,0,3,1,0,0
F,1,9,144,2,4,0,3,3,0,0,3
M,25,4,224,3,0,0,0,3,1,0,5
