Gender,Age,Occupation,ZIP-code,673,1881,1920,2087,2138
F,50,14,6,0,2,2,3,5
F,25,8,482,0,5,0,2,0
M,45,8,840,3,0,1,0,0
M,45,16,321,0,1,0,0,1
M,56,2,82,1,1,2,5,0
F,45,14,186,4,0,0,0,0
F,1,0,612,5,1,0,0,2
M,56,5,612,5,0,4,3,3
M,25,19,345,1,2,0,4,0
F,56,18,809,2,5,3,1,0
F,56,4,196,5,4,5,3,0
M,25,3,372,1,3,3,0,0
F,25,4,970,0,5,0,5,0
F,25,0,229,0,1,1,0,4
M,35,2,652,1,2,5,3,4
F,18,10,80,4,3,0,4,4
M,25,7,200,2,2,1,0,0
M,18,20,224,2,3,1,0,1
M,25,9,905,0,0,1,4,1
F,18,11,360,0,1,0,0,0
M,45,20,427,0,0,3,5,0
F,45,20,937,3,1,1,0,0
F,18,9,610,1,0,3,4,1
F,45,8,730,0,2,3,1,0
F,18,18,282,1,5,1,2,0
M,56,7,334,0,3,0,0,0
F,50,4,459,3,4,4,0,5
F,45,2,551,3,5,0,3,1
F,56,3,379,1,0,0,5,4
M,45,9,65,2,5,0,4,1
M,35,20,497,3,5,5,5,0
F,25,20,224,1,1,1,0,0
M,35,1,811,2,1,1,1,0
M,25,10,701,1,4,2,3,1
M,18,3,201,1,3,0,1,1
M,25,10,493,2,2,0,1,5
M,50,18,485,0,5,1,2,3
M,18,7,523,1,2,0,5,1
F,25,4,770,5,1,5,0,0
M,18,19,982,1,5,1,0,0
F,35,10,245,0,2,0,1,0
M,18,14,997,1,3,0,1,4
F,25,8,493,0,3,0,4,1
F,45,5,778,0,4,4,4,2
M,50,0,222,4,4,4,0,2
M,45,19,457,0,3,0,0,0
F,45,2,321,1,0,2,3,3
M,1,2,841,5,4,3,0,3
M,45,16,436,1,0,1,4,2
M,56,7,913,0,1,4,4,1
F,18,9,209,2,3,0,5,0
M,18,7,800,2,5,0,0,2
F,45,19,931,0,4,0,2,0
F,1,5,603,0,2,1,0,0
F,45,9,78,0,3,3,0,0
M,18,3,314,4,1,5,0,0
F,56,17,290,0,4,1,1,1
M,25,7,847,0,1,1,1,2
F,1,19,949,5,0,0,0,1
F,25,11,502,1,5,3,3,2
M,25,17,981,0,3,0,4,4
M,35,20,911,5,5,0,4,2
M,56,9,992,4,4,3,0,4
F,35,1,805,0,2,0,1,3
M,25,15,20,1,2,0,0,1
F,1,4,991,1,3,5,4,1
F,1,20,652,3,0,0,1,0
M,1,9,972,4,3,2,3,2
M,45,9,601,0,3,4,1,1
F,35,19,655,1,3,0,4,4
M,50,18,123,3,3,2,3,0
M,35,9,33,1,0,0,4,0
F,35,20,18,3,1,2,0,0
F,56,7,313,5,0,4,5,1
M,25,14,530,3,0,0,1,0
F,56,6,582,4,0,2,1,3
F,56,3,551,2,0,3,4,1
M,18,1,838,5,3,0,2,4
M,1,2,196,0,1,1,5,0
M,25,14,220,0,4,1,2,3
M,25,19,984,0,0,0,0,0
M,18,10,462,2,4,0,3,3
M,56,10,85,0,1,5,1,0
M,25,0,406,0,0,0,3,2
M,25,12,194,3,2,0,0,3
F,25,5,622,2,0,0,0,1
F,25,14,240,0,3,1,2,0
M,1,8,303,5,0,1,5,0
F,35,16,63,5,4,0,1,0
F,50,12,786,2,2,5,0,0
M,1,14,609,3,4,1,3,0
F,25,3,194,5,2,1,5,3
