Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
F,25,14,549,1,3,0,4,2,4,4,3,2,0
M,45,5,616,3,1,2,3,0,4,5,0,4,4
F,35,20,346,5,4,1,3,2,2,2,3,2,1
M,25,9,76,5,1,0,1,4,5,3,5,1,0
F,56,10,74,1,3,0,5,1,0,0,2,4,5
M,50,15,596,5,0,0,5,5,5,3,4,0,0
F,25,7,907,5,1,2,3,1,4,4,5,3,3
M,35,10,88,5,4,0,1,5,4,0,0,0,5
M,56,8,240,5,4,1,5,3,2,2,1,3,3
M,50,18,396,5,1,1,0,3,2,0,2,2,3
M,56,7,906,0,1,4,0,3,1,4,4,4,5
M,18,1,623,0,4,0,5,4,0,3,4,3,0
M,18,2,655,1,4,1,0,5,3,1,2,2,5
F,1,20,915,1,3,2,0,5,2,0,4,0,0
F,56,18,820,5,5,4,1,0,3,3,2,3,3
M,45,15,66,4,4,1,1,4,0,2,5,5,2
M,1,14,914,3,4,5,1,0,2,5,0,4,2
F,45,12,704,3,2,0,0,2,3,3,4,1,5
M,56,16,522,1,0,3,5,5,5,4,0,3,1
M,45,10,966,2,5,0,0,4,4,0,2,0,5
M,1,14,427,4,2,4,0,1,0,0,4,2,4
F,35,7,875,5,2,0,2,1,4,0,1,2,1
M,35,8,802,0,3,1,2,0,5,0,0,3,0
M,18,11,173,4,3,3,2,1,4,5,5,0,1
F,56,9,15,5,4,0,0,1,0,0,3,2,0
M,25,8,480,3,1,0,0,0,0,5,0,0,0
F,35,9,282,1,2,5,1,3,0,1,1,4,3
M,18,5,906,4,5,4,5,1,5,0,2,0,4
F,35,4,618,5,0,4,2,0,4,0,5,5,0
M,50,12,501,3,0,1,4,3,2,3,2,0,0
F,1,8,539,5,0,0,1,5,2,0,5,3,5
F,50,2,181,0,3,0,3,4,2,3,4,3,5
F,18,9,786,1,0,0,1,1,1,0,5,0,5
M,25,3,181,2,3,3,2,2,3,5,0,5,1
M,50,15,272,5,0,3,1,4,0,4,0,0,0
M,25,15,616,0,1,3,5,4,4,0,0,4,0
M,45,8,326,3,0,3,0,0,0,5,0,2,3
M,1,3,965,5,3,0,1,4,3,0,4,3,5
F,1,15,641,1,3,4,4,4,1,4,4,0,2
M,50,5,765,3,3,3,2,4,2,5,1,2,1
M,25,10,530,5,4,0,4,5,0,4,4,3,0
F,45,8,301,3,2,4,2,3,2,5,5,0,3
F,56,9,345,1,1,0,1,1,3,0,5,5,5
M,56,19,307,5,0,2,0,1,0,4,4,3,3
M,18,17,41,5,5,0,5,2,5,0,3,0,0
F,45,9,878,1,4,3,3,1,5,4,5,5,5
F,56,16,24,1,5,4,1,0,1,5,4,0,3
M,25,15,610,3,3,5,0,3,0,2,4,3,0
M,56,17,871,4,0,1,0,0,5,0,4,5,0
M,1,19,547,2,5,2,0,4,4,1,3,2,0
M,45,9,406,1,2,0,3,5,3,0,0,2,5
F,25,7,406,2,4,0,1,3,4,1,0,4,0
M,18,4,143,4,5,4,1,0,1,0,1,0,2
F,50,6,54,5,1,0,2,2,5,4,0,2,4
M,50,9,90,3,1,0,0,5,5,2,0,0,3
F,56,20,436,4,1,3,0,0,1,4,1,5,0
M,50,18,13,0,1,4,5,0,1,4,4,4,4
F,45,18,908,3,2,0,5,4,4,5,0,0,0
M,18,8,77,0,2,0,2,3,4,3,1,0,1
M,25,2,601,0,4,0,0,4,1,3,2,0,5
M,18,0,708,5,2,4,4,1,4,0,0,5,0
M,1,17,442,5,0,3,4,4,2,5,1,5,1
M,18,7,522,5,1,2,0,1,1,4,3,5,3
M,50,4,758,5,4,0,4,5,0,0,3,2,5
M,25,12,297,5,5,3,4,3,0,3,1,2,0
M,18,5,127,0,1,3,5,4,2,4,4,2,5
M,18,5,77,0,3,4,2,2,4,4,2,1,4
M,25,0,847,5,2,4,0,4,5,4,3,1,5
F,18,0,928,5,0,4,4,3,0,0,5,5,0
M,18,20,758,1,1,5,0,0,5,4,0,3,1
F,25,5,312,0,5,5,3,0,1,2,1,3,4
F,25,10,836,5,0,0,5,4,2,0,0,4,0
M,35,9,735,5,1,0,4,4,0,2,3,0,0
M,25,2,13,4,4,3,3,1,1,5,4,2,1
F,50,0,780,1,0,0,4,3,5,2,0,2,0
M,25,3,209,5,0,3,4,2,0,0,0,3,3
F,50,9,328,5,1,1,1,3,2,4,2,2,0
F,35,14,171,5,0,2,2,2,0,2,3,5,0
F,56,14,765,1,4,1,0,3,2,3,0,5,4
M,25,17,131,5,4,3,0,0,0,0,4,5,0
M,50,3,809,4,3,5,1,0,5,1,1,5,4
F,35,7,582,5,4,1,4,2,5,0,5,5,3
F,45,6,131,5,4,4,2,5,1,4,1,1,5
F,18,8,307,3,1,5,1,4,1,5,4,5,5
F,25,16,286,5,4,0,0,2,2,2,4,2,2
F,56,6,880,4,2,3,0,4,1,5,4,5,1
M,25,15,493,1,4,4,4,3,1,5,3,1,3
M,50,10,132,5,5,5,3,0,1,4,2,3,4
M,35,6,563,5,4,4,2,5,0,4,0,0,5
M,18,13,272,3,0,0,2,3,0,0,0,0,5
M,1,15,118,3,4,5,0,2,3,4,3,0,5
M,18,11,522,3,3,1,1,4,4,5,3,0,4
M,25,17,493,4,2,2,0,0,3,5,2,2,4
M,50,10,485,5,4,0,3,4,0,1,3,5,0
M,25,20,143,4,1,0,0,3,4,4,0,3,0
F,50,2,123,2,3,2,4,1,1,5,3,1,4
M,56,20,956,4,2,5,4,5,1,2,2,1,4
M,45,7,551,4,0,1,2,4,5,1,1,2,5
M,56,14,582,0,2,4,4,5,5,4,4,4,4
M,1,5,704,3,2,1,3,3,3,2,3,3,3
F,50,15,655,1,5,4,3,0,4,1,2,3,3
M,18,4,132,5,3,4,4,5,5,0,3,2,0
M,18,4,78,2,4,2,4,2,4,4,0,0,3
F,35,4,53,3,4,2,3,5,0,2,3,3,0
M,56,20,805,0,3,4,0,5,2,1,4,0,3
M,45,19,603,4,0,5,5,0,3,3,3,0,4
M,45,18,64,5,2,4,5,4,0,4,4,2,2
M,25,16,287,2,4,2,5,2,0,4,0,5,3
M,50,3,331,1,4,0,1,1,1,0,4,5,3
M,18,12,906,4,0,1,0,5,0,3,0,2,0
M,1,4,495,4,2,0,2,4,4,0,4,5,0
F,25,4,752,5,2,4,4,2,1,5,2,5,3
M,56,2,833,3,3,4,0,1,4,5,0,0,3
M,25,13,307,1,3,5,0,1,0,5,2,4,2
M,50,4,674,2,4,3,2,0,2,5,2,5,1
F,18,1,277,5,5,3,3,4,4,4,3,2,0
F,1,14,957,2,3,1,0,1,3,0,0,0,3
F,50,0,933,3,5,3,0,4,1,5,0,5,0
M,45,13,857,2,3,1,0,0,1,5,5,3,4
M,45,3,329,2,0,0,0,4,2,0,2,0,5
M,18,12,756,5,4,1,4,0,3,0,3,1,0
F,1,15,24,3,2,0,4,0,0,3,0,0,0
M,1,13,597,1,2,4,3,0,2,1,5,0,1
F,25,10,170,5,1,4,4,0,1,0,4,4,4
M,25,14,466,1,5,0,1,2,1,0,4,4,2
M,35,9,445,5,4,1,1,4,1,0,0,2,0
M,25,0,720,5,3,3,4,0,4,0,3,3,0
M,1,6,430,5,4,0,5,4,1,3,1,4,5
F,25,10,431,1,0,0,4,1,1,0,3,0,3
M,56,1,775,1,1,4,2,4,2,4,2,4,2
M,56,9,223,2,3,0,0,1,4,0,2,4,5
F,56,12,81,3,0,2,1,2,1,4,0,3,3
F,35,15,325,1,4,5,0,0,4,3,0,3,4
F,45,19,833,5,5,4,4,0,0,4,3,0,1
M,25,17,820,0,1,3,0,0,0,0,4,2,0
F,35,8,82,3,1,3,0,4,0,5,2,2,5
M,25,5,437,1,4,1,5,4,4,5,0,3,4
F,45,3,88,1,5,0,5,5,0,0,3,0,5
M,50,0,952,5,2,0,4,3,5,0,2,3,5
M,56,1,442,5,0,3,3,0,0,3,4,2,3
M,45,12,442,5,0,5,5,2,3,3,2,4,0
F,1,4,396,4,2,0,0,1,2,0,4,4,5
F,18,15,433,5,1,4,0,0,0,0,0,0,0
M,50,12,974,3,3,0,5,2,0,3,4,2,0
M,56,17,165,1,2,1,4,1,0,1,3,0,5
M,45,20,925,1,3,5,3,3,0,0,4,1,1
