Gender,Age,Occupation,ZIP-code,247,2100,2143,2872,3479
F,45,12,705,0,0,3,5,5
F,1,14,453,5,1,0,4,2
M,50,3,532,2,5,0,0,4
M,56,5,972,1,4,1,0,2
F,56,13,166,4,1,4,1,0
F,35,20,800,0,1,5,1,3
F,56,0,74,2,4,4,5,1
F,25,16,913,5,0,1,0,4
M,50,5,82,0,3,0,0,0
M,45,10,6,0,4,3,0,2
M,45,2,984,5,3,3,4,2
F,25,4,371,0,1,0,0,0
F,35,19,701,2,3,5,4,2
F,56,18,287,1,0,3,0,0
M,25,1,330,4,3,0,0,0
M,45,8,74,5,1,0,1,3
F,35,14,796,2,4,5,3,0
M,35,0,16,0,0,4,5,2
M,1,13,871,0,5,1,3,2
F,56,3,970,1,0,1,0,1
M,1,10,434,1,4,2,3,1
M,18,5,584,5,5,0,1,0
M,50,11,211,1,2,0,2,1
F,18,11,758,0,2,4,4,4
F,25,1,371,4,3,2,3,5
F,35,13,98,5,0,0,1,2
F,35,4,292,0,0,2,3,3
F,35,17,623,2,2,0,2,0
F,50,20,70,2,5,0,4,0
M,25,2,907,0,0,0,0,5
F,50,3,424,0,0,5,1,1
F,1,14,231,0,3,1,4,4
F,35,10,104,1,1,3,3,0
M,25,6,83,5,3,5,0,2
F,18,17,262,2,1,4,5,4
M,18,0,301,1,0,5,1,3
M,45,16,481,5,4,0,1,0
M,1,7,211,5,5,0,2,5
F,1,14,523,1,1,3,4,0
M,50,18,601,5,4,5,0,1
M,50,1,424,0,3,2,4,3
M,56,1,908,0,0,4,3,4
F,45,3,919,4,0,1,3,5
M,18,3,975,2,0,4,3,5
F,25,3,968,2,4,4,0,4
M,50,15,577,5,3,1,3,3
F,35,9,30,1,1,5,4,2
F,50,4,37,0,4,1,5,0
M,1,10,857,1,4,0,3,1
M,1,9,236,0,3,2,1,1
M,1,8,836,5,1,0,1,4
M,1,8,525,2,3,1,4,0
F,18,19,612,0,4,0,0,3
M,18,4,465,0,4,0,2,4
F,50,9,502,2,0,4,3,3
M,35,14,276,0,1,3,1,1
M,56,11,466,4,3,1,0,0
M,56,11,931,0,1,3,4,3
M,45,10,190,0,0,2,5,3
M,25,11,655,0,1,4,1,3
M,45,18,27,1,5,1,2,0
M,35,7,952,3,0,0,1,0
M,45,12,410,0,2,4,5,0
F,1,9,662,0,3,3,4,0
F,45,15,445,1,3,3,4,2
M,50,6,921,2,4,1,2,3
M,1,14,128,0,0,2,5,1
M,50,10,190,4,0,5,4,5
M,25,11,633,1,2,5,4,1
F,50,18,161,5,0,0,1,2
F,18,18,983,4,2,0,0,3
M,18,4,946,1,3,0,4,3
F,45,17,700,5,0,5,2,1
M,25,14,18,0,3,5,2,5
F,18,18,85,1,2,3,1,2
F,25,17,549,0,4,2,2,2
F,18,3,727,3,5,4,3,1
F,18,17,805,0,0,0,1,0
M,18,17,54,0,4,1,3,0
F,18,14,946,5,0,3,5,4
F,18,3,143,3,4,0,0,2
F,18,19,286,3,3,3,5,2
F,35,2,79,0,0,0,2,1
M,25,10,193,0,0,0,3,0
M,35,12,146,4,3,0,4,4
M,18,6,362,2,3,0,5,0
M,45,9,443,0,4,0,3,3
M,50,18,180,0,3,3,0,2
F,25,5,198,4,4,5,0,5
F,50,13,330,3,5,0,3,3
M,25,6,986,3,3,0,5,3
F,50,1,602,5,0,4,0,0
M,25,19,141,5,0,2,1,4
M,35,16,598,1,2,0,0,1
