Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
M,50,20,778,4,0,2,5,5,1,0
M,1,18,115,3,2,1,0,0,2,1
M,35,19,433,0,0,2,0,0,0,5
M,56,2,173,0,0,4,0,2,0,0
F,35,3,473,0,0,5,0,0,0,2
F,56,17,815,4,2,4,3,0,1,4
F,25,2,433,0,0,3,5,0,2,2
M,25,16,750,0,0,4,3,4,0,0
M,35,10,405,0,1,4,0,2,0,0
M,25,4,841,0,3,0,4,4,5,0
M,56,14,992,0,0,2,0,2,0,1
M,35,3,704,0,0,1,0,0,2,0
M,25,0,222,1,0,0,1,0,2,0
F,50,5,338,5,3,4,0,2,1,3
F,25,13,65,2,0,2,0,2,3,0
F,1,10,870,0,0,3,1,4,0,3
F,50,16,705,0,0,3,0,0,0,0
M,45,15,940,5,2,1,1,0,4,5
F,56,3,161,4,3,0,0,0,5,0
F,56,0,65,0,0,3,0,4,1,3
M,1,14,850,0,2,2,0,2,3,5
F,45,4,856,0,0,5,2,3,0,5
M,50,6,782,1,0,2,2,2,0,4
M,25,17,354,3,0,3,0,0,0,5
F,50,11,601,0,0,5,4,0,1,0
F,25,19,894,1,1,1,0,2,2,0
M,35,11,443,0,2,1,5,0,1,3
M,18,17,223,0,0,3,5,0,1,2
M,50,12,484,3,1,2,0,0,2,5
F,18,20,458,0,4,3,0,0,0,0
M,35,13,946,2,0,5,2,3,3,5
F,25,14,29,0,0,3,0,3,3,3
F,35,20,949,0,0,1,2,2,0,0
M,1,15,924,0,2,0,0,4,0,0
F,25,10,612,4,5,2,3,3,0,2
M,18,9,303,0,3,4,0,4,0,0
F,56,13,988,0,0,0,0,0,3,1
M,56,17,41,4,2,0,0,5,0,0
M,18,19,234,5,3,3,3,5,0,1
F,45,2,207,3,3,2,2,2,0,2
M,56,6,360,1,0,0,1,0,1,3
F,1,8,49,2,0,4,2,0,2,4
F,56,9,988,0,2,1,0,0,0,0
M,35,16,114,2,3,1,0,3,0,0
M,45,20,50,4,4,1,0,4,4,0
M,50,18,982,0,0,4,0,0,2,2
F,1,4,934,3,0,0,0,0,0,5
M,56,10,224,0,2,0,0,0,0,0
M,18,1,108,0,5,2,0,0,5,5
M,45,12,752,4,2,3,2,2,2,1
M,35,13,912,2,3,1,2,0,1,5
F,56,5,378,0,2,3,0,2,2,5
F,18,6,201,5,0,3,1,5,0,0
M,18,18,549,2,0,5,0,0,5,0
M,25,0,131,0,3,5,5,0,3,3
M,35,13,581,3,0,0,0,3,4,2
M,35,12,319,4,0,2,0,3,0,3
M,35,11,492,0,0,1,0,0,0,4
M,35,13,421,1,0,5,5,0,0,0
F,35,0,580,2,0,0,0,4,4,0
F,35,20,744,4,0,4,4,0,5,5
M,18,13,297,5,1,4,0,0,0,0
M,45,13,333,0,0,3,5,4,5,0
M,25,11,457,0,3,4,0,0,0,3
M,18,13,161,4,2,5,4,2,4,0
F,18,16,336,2,3,0,1,0,0,3
M,56,10,539,4,0,5,0,2,5,2
M,18,2,109,0,0,4,0,0,0,0
F,50,20,662,5,0,3,0,0,1,2
F,50,0,427,4,3,5,3,2,3,2
F,25,1,232,2,0,0,0,0,0,0
F,35,16,727,0,1,4,0,4,4,3
F,25,13,801,5,0,1,0,0,3,5
M,35,1,65,0,0,5,3,0,0,0
M,35,8,453,0,0,3,5,0,0,1
F,50,5,910,0,5,5,2,0,0,0
M,1,17,912,4,0,1,0,0,4,0
F,45,12,926,0,1,2,3,4,0,2
F,35,20,941,4,0,2,0,0,5,0
F,1,3,175,2,0,5,0,0,4,0
F,45,16,236,0,2,2,1,0,0,4
M,25,0,21,2,0,5,0,0,0,0
F,25,9,339,3,3,1,0,5,4,1
F,35,16,63,0,4,1,2,2,0,1
F,1,1,551,2,4,0,1,5,0,4
F,45,8,870,4,4,2,5,4,4,1
M,1,13,537,4,2,2,4,5,5,3
F,35,11,301,4,2,1,0,0,0,0
F,35,11,971,0,2,2,0,0,0,5
F,45,7,531,0,0,4,0,2,0,3
F,50,7,544,3,0,1,0,5,2,0
F,35,5,16,0,0,2,2,0,2,2
M,50,13,29,5,0,3,1,4,0,5
F,25,14,908,4,0,1,4,3,2,5
F,56,5,465,0,0,0,0,0,0,5
M,35,2,910,2,0,3,0,3,1,1
F,50,6,701,0,1,0,0,0,1,3
M,35,5,815,4,2,3,5,3,2,4
M,25,12,630,0,4,0,4,0,1,5
F,35,16,660,3,3,4,0,5,4,3
M,1,14,79,0,5,2,0,2,0,1
M,25,7,782,0,0,1,0,0,3,0
F,45,17,83,4,3,0,0,3,4,5
F,18,1,934,2,2,5,1,4,0,3
F,45,16,493,2,0,2,0,3,0,0
F,25,0,627,0,2,0,3,4,0,2
F,35,10,62,2,0,2,3,2,3,0
F,35,13,975,0,0,0,1,0,0,0
M,45,14,924,4,2,4,1,4,5,3
M,35,17,760,5,0,4,0,0,0,5
F,1,19,313,0,2,4,0,5,0,0
F,25,0,681,3,0,2,0,0,1,5
M,56,2,19,0,0,3,0,0,1,3
M,56,8,190,0,4,0,0,2,0,4
M,35,12,87,4,0,2,0,2,1,4
F,45,1,497,2,0,5,0,2,5,0
M,56,7,190,4,0,5,5,4,0,4
F,45,1,471,1,0,2,0,0,0,2
F,18,10,944,2,0,2,1,0,0,4
M,45,18,773,4,3,4,5,3,0,0
M,45,3,705,0,2,4,0,2,0,5
F,50,18,627,4,3,4,1,3,0,1
F,35,18,140,4,5,0,0,4,1,0
M,18,16,551,0,0,2,1,0,0,0
F,1,3,6,0,0,2,4,5,1,0
F,45,14,23,4,3,4,1,0,5,0
F,25,18,201,0,0,2,3,0,2,2
F,18,7,45,1,0,2,1,4,5,5
M,35,12,89,2,0,0,0,0,0,4
M,56,5,453,1,0,2,2,4,5,0
F,56,19,127,0,0,0,0,0,0,0
F,50,13,809,0,0,5,0,0,0,3
M,18,2,809,0,0,1,0,0,5,4
M,25,4,301,1,0,5,0,0,0,0
F,35,7,211,0,0,1,0,0,0,0
F,35,8,462,0,0,3,4,4,0,0
F,1,19,301,1,0,3,0,0,1,4
F,35,20,726,2,0,2,0,3,0,3
F,35,5,372,2,3,0,2,3,1,2
F,50,4,150,5,3,3,3,3,1,0
M,35,12,760,4,0,4,3,0,2,3
F,50,8,913,0,2,0,5,0,1,5
F,35,3,826,0,0,3,0,0,0,4
F,56,17,852,4,0,5,5,0,0,1
M,18,5,959,5,4,3,0,3,1,0
F,25,4,211,0,0,1,0,3,2,1
M,50,19,320,0,0,1,3,0,0,0
M,35,18,354,3,0,4,4,0,1,2
F,18,17,334,2,0,3,0,5,3,5
M,35,9,826,0,0,3,0,0,0,1
F,35,18,988,0,1,3,0,3,5,1
F,1,9,231,2,4,3,1,0,5,0
F,35,18,553,3,2,5,2,5,0,0
M,50,11,870,0,0,1,0,0,0,0
F,35,5,208,0,0,3,0,4,1,1
M,25,15,605,4,0,2,0,3,5,2
M,1,17,972,0,2,4,3,4,1,0
M,25,16,442,0,1,3,0,0,0,4
M,18,1,925,5,0,4,0,0,0,0
F,50,19,853,0,1,4,0,0,4,0
M,35,11,85,0,5,5,0,4,1,1
F,35,16,76,0,0,3,2,5,0,0
F,56,6,78,4,0,0,0,3,0,5
F,56,14,132,0,0,3,0,0,4,1
F,45,19,580,3,2,2,2,3,2,5
M,1,19,801,4,3,1,5,3,0,0
F,35,1,946,0,5,0,4,4,5,3
M,35,3,443,0,5,5,3,5,2,0
F,35,11,453,3,1,5,0,0,2,4
F,25,15,171,0,4,4,5,0,3,4
F,50,11,704,2,0,1,5,4,3,5
M,35,6,433,0,3,4,4,4,0,0
M,25,14,433,0,0,5,5,0,0,3
M,56,8,813,0,0,4,0,0,0,1
F,18,0,191,2,2,4,0,5,1,0
F,35,15,85,0,0,4,0,4,0,0
F,45,8,524,0,0,1,0,0,0,3
F,50,18,965,3,0,4,0,5,5,1
M,56,14,191,5,2,4,4,0,0,3
F,56,19,481,0,0,2,2,0,0,4
F,1,2,826,2,0,5,4,2,0,0
M,18,5,971,4,0,0,0,4,0,3
M,35,18,701,0,1,0,2,0,0,1
M,35,12,532,0,3,2,0,2,5,5
F,35,16,833,5,3,5,1,0,1,0
F,25,19,793,0,0,3,0,4,4,5
F,18,8,443,0,5,3,0,4,0,4
M,50,13,382,4,4,4,5,0,0,0
F,56,8,878,4,1,5,0,2,3,5
F,56,3,856,0,2,5,4,2,3,0
F,56,6,793,0,0,3,0,0,3,0
F,35,0,69,2,0,2,3,0,1,4
F,35,8,988,0,4,3,0,0,0,4
M,35,0,319,0,4,4,0,0,0,0
M,50,13,492,2,0,3,3,3,0,4
M,1,11,672,5,5,4,0,2,0,2
M,45,9,381,2,0,4,0,3,1,0
M,1,17,453,0,0,5,0,5,0,4
F,35,9,223,2,0,2,0,5,0,2
F,1,11,303,0,1,0,0,0,1,2
M,56,8,811,0,2,3,0,4,0,0
F,1,14,26,2,2,1,1,3,5,0
M,56,6,334,4,4,1,0,2,0,0
M,50,0,378,0,2,4,0,0,5,5
M,1,12,870,0,5,4,0,0,0,0
M,35,15,77,0,0,5,0,0,0,3
M,25,0,68,0,0,4,4,4,0,2
M,35,17,934,3,4,4,2,0,2,5
M,50,16,53,0,0,1,0,0,0,3
M,45,12,931,0,0,4,3,3,3,4
F,25,19,240,0,0,4,4,0,0,0
M,56,0,493,5,0,3,5,0,0,0
M,1,11,925,0,0,4,0,4,0,0
F,1,10,148,4,0,5,0,4,3,1
M,56,6,443,4,0,0,0,0,5,1
