Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
F,1,10,98,0,2,1,0,5,5,1,4,0,3
F,25,20,927,0,5,0,0,2,4,4,3,2,1
F,25,1,871,0,0,5,1,4,5,0,2,4,0
M,50,17,349,3,5,0,1,2,5,4,3,2,0
M,56,8,539,5,0,2,3,5,5,2,1,0,5
M,50,2,974,4,0,2,3,5,3,4,4,2,5
M,1,17,66,0,2,4,3,3,1,5,4,3,4
M,56,4,584,4,3,3,0,3,4,4,0,3,4
M,50,11,100,2,1,3,3,4,1,0,2,5,0
M,18,4,142,3,0,5,5,0,5,0,0,5,0
F,25,5,87,2,2,3,3,4,4,0,4,3,1
M,35,15,78,0,0,1,1,0,5,0,1,3,0
F,45,3,850,1,0,3,3,1,2,3,4,2,0
M,25,4,292,5,0,4,2,5,1,3,3,3,2
F,1,14,77,5,5,2,2,4,4,2,1,3,0
F,1,12,452,0,5,5,5,2,0,3,1,1,5
F,18,15,987,3,1,0,3,2,5,0,4,4,0
M,18,10,469,5,1,4,0,2,3,1,1,4,1
M,56,2,12,5,0,0,0,3,5,0,1,2,3
M,45,14,132,5,0,1,2,4,4,4,0,0,0
M,50,14,720,1,5,2,1,4,1,0,5,3,2
M,50,15,372,1,3,4,0,3,4,0,1,5,2
F,25,8,40,1,5,3,1,4,5,3,2,3,2
F,50,0,972,2,1,3,1,0,0,0,4,3,3
M,25,2,984,5,0,5,4,3,4,2,2,3,1
F,56,4,38,3,5,1,0,0,2,1,3,2,4
M,45,7,926,0,1,1,4,2,3,4,0,3,0
F,18,8,230,5,2,4,3,4,0,0,5,3,3
M,50,13,983,1,5,0,1,1,4,0,3,3,5
F,18,7,775,3,0,0,4,4,5,4,1,0,0
M,25,17,944,3,1,1,5,5,5,0,3,2,4
M,25,0,652,3,3,1,3,3,3,4,4,0,0
M,56,12,590,2,3,5,1,0,5,0,0,5,0
F,25,14,190,3,5,4,0,5,5,0,1,1,4
F,18,2,560,2,2,0,5,3,0,0,4,2,1
M,18,9,211,2,1,4,4,4,0,4,5,2,3
M,50,4,282,5,3,4,3,5,0,4,0,4,3
M,18,11,503,0,1,0,2,5,0,4,0,3,3
M,50,9,930,4,2,3,5,3,0,5,1,5,4
M,25,3,907,0,3,2,3,5,2,0,1,1,4
F,45,0,290,5,5,3,5,1,5,0,0,3,0
F,18,7,90,0,5,3,3,5,3,4,0,0,0
M,25,15,727,1,1,3,0,0,4,0,0,4,5
F,18,5,209,0,1,4,1,0,5,4,3,2,4
M,56,10,853,5,1,0,0,4,0,4,1,2,4
F,45,9,982,0,1,0,5,4,1,4,2,0,5
M,25,12,460,4,2,1,2,0,5,0,0,2,5
F,25,7,346,1,3,2,1,2,0,2,4,4,0
M,50,11,730,1,3,2,4,0,4,0,1,5,0
M,45,7,554,5,1,4,5,2,3,1,4,3,0
M,1,12,274,3,1,4,2,4,0,3,4,2,0
M,56,13,801,5,1,4,3,0,2,4,4,0,0
M,25,2,840,4,3,0,1,1,5,1,4,3,3
M,1,20,633,1,1,5,0,0,0,5,4,3,4
M,50,4,503,5,1,3,2,0,2,0,0,3,4
M,1,8,537,1,5,4,0,3,1,4,4,1,1
M,50,10,537,5,5,3,5,0,0,3,0,3,0
M,25,7,531,1,2,0,1,0,1,5,0,2,0
F,18,4,68,4,0,3,1,2,1,1,2,3,4
M,1,4,286,3,2,4,3,1,3,0,1,3,0
F,25,6,68,3,0,3,0,0,5,0,5,4,0
F,50,17,503,1,4,4,0,3,1,3,0,2,4
F,45,2,166,1,4,1,4,2,5,2,0,5,1
F,56,4,109,3,3,2,2,2,5,5,5,0,5
M,1,6,911,0,3,0,3,5,0,2,4,5,0
M,1,9,326,1,4,3,2,4,2,5,4,0,0
M,18,11,338,5,0,0,3,2,0,1,0,3,3
F,56,7,584,1,0,4,5,2,1,4,3,5,0
F,25,20,339,5,0,4,1,1,4,2,3,3,0
F,56,15,190,0,0,3,2,1,4,0,0,4,4
F,18,2,157,3,5,3,3,3,5,0,1,0,2
F,56,15,975,2,2,3,3,0,3,4,4,0,4
M,50,15,274,5,4,0,0,3,5,0,1,4,5
M,56,4,473,0,2,3,5,2,4,0,5,5,4
F,18,0,597,0,3,5,1,2,3,4,1,0,0
M,35,4,48,4,0,0,4,0,4,3,3,4,4
F,45,4,933,5,2,0,3,4,2,3,5,0,1
M,25,15,917,0,0,4,4,2,3,3,0,5,2
M,1,17,674,1,3,1,1,0,4,0,0,4,4
M,50,18,446,2,4,5,0,0,2,1,3,2,3
F,25,5,550,2,0,0,2,3,2,0,3,1,3
M,56,11,481,2,1,1,2,3,1,0,1,0,1
F,25,10,31,1,3,5,0,0,0,3,5,5,4
M,1,8,286,5,4,3,4,3,2,0,1,3,4
M,1,17,750,3,5,3,3,4,0,4,1,3,2
F,50,5,434,5,4,4,4,5,2,5,1,4,4
M,35,18,942,2,3,0,4,3,4,2,5,0,2
M,1,0,372,0,0,1,0,1,2,0,5,0,1
M,25,20,229,4,0,3,4,1,0,0,4,0,5
M,45,17,81,5,2,0,3,5,0,2,1,0,0
M,25,17,927,4,0,4,5,2,3,0,2,0,4
