Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
M,18,10,231,2,0,0,4
M,25,17,557,0,0,0,3
F,56,7,24,1,4,0,3
M,45,12,114,4,5,5,0
F,1,17,26,3,0,3,4
M,45,15,773,1,2,0,4
F,1,20,402,2,5,3,5
M,18,9,82,4,0,3,0
M,18,18,900,0,0,0,4
M,25,18,837,3,0,0,0
M,56,7,284,4,0,3,3
F,25,17,405,1,2,5,2
F,50,5,540,0,4,4,2
M,50,13,447,2,5,2,3
F,18,4,441,1,4,5,4
M,50,11,912,0,0,2,0
M,25,0,840,0,0,1,4
M,1,9,220,2,4,3,3
F,18,2,826,1,0,0,0
M,50,13,813,2,1,2,4
F,35,0,122,4,3,3,0
M,25,18,105,0,0,0,0
M,25,10,928,0,0,0,4
M,25,3,45,0,0,0,2
F,18,11,452,2,5,0,4
M,25,12,193,0,2,0,0
M,35,4,917,3,2,0,0
M,25,14,553,0,0,0,5
F,35,4,751,2,1,3,3
M,18,18,907,0,0,3,5
M,18,6,120,5,2,4,4
F,25,15,820,4,0,3,4
F,25,7,915,2,4,2,0
F,25,14,700,2,1,0,3
F,25,5,170,5,3,0,5
M,18,8,373,4,1,0,3
F,18,10,833,4,5,0,3
M,25,5,465,0,1,0,0
F,25,4,577,0,3,0,1
M,18,14,915,3,0,0,3
M,56,18,782,0,3,4,2
M,56,19,336,4,2,3,3
F,18,5,777,4,0,4,0
M,25,11,550,0,0,2,0
M,1,10,735,0,5,0,4
F,35,19,307,4,5,0,2
M,18,12,132,2,1,4,2
M,50,8,173,1,2,0,3
F,50,8,424,4,5,3,1
M,45,4,328,5,3,0,1
F,1,6,104,0,2,2,0
M,18,4,48,2,4,4,4
M,50,12,435,2,3,0,4
M,50,10,581,3,0,4,4
F,25,20,201,1,0,5,0
F,50,4,616,0,2,4,1
M,45,12,534,0,4,1,4
M,25,4,74,1,0,0,3
M,25,2,265,0,4,0,2
M,56,4,919,1,0,3,1
M,35,17,813,0,0,3,0
F,18,15,582,1,0,0,5
F,56,16,12,0,3,4,2
M,18,7,230,0,3,0,0
M,35,8,89,0,4,5,3
M,18,5,906,0,2,0,0
M,18,0,815,2,0,0,4
M,18,11,83,0,2,4,1
M,56,15,744,0,0,4,2
M,1,9,290,0,0,3,4
M,45,12,306,4,4,1,4
M,1,8,622,3,0,3,2
F,1,19,89,0,2,0,4
M,1,2,750,3,0,4,0
F,35,1,911,5,4,3,3
M,18,2,358,3,5,5,0
M,25,7,946,1,0,0,5
M,25,17,544,4,2,2,0
M,35,2,152,0,3,0,0
M,45,2,625,5,0,3,0
M,56,14,63,2,4,4,0
M,45,7,45,3,0,0,2
M,18,4,563,0,0,0,0
F,50,0,799,2,1,4,0
M,18,11,333,2,0,0,2
M,25,4,801,0,0,0,0
M,25,4,662,0,0,0,2
F,18,18,837,2,0,3,1
M,56,10,522,3,0,0,4
M,50,9,372,0,0,4,3
M,45,18,610,0,0,4,0
F,25,19,427,4,0,5,0
M,25,2,764,0,3,2,0
M,56,3,915,5,4,0,4
M,50,15,26,1,0,2,4
F,18,14,840,0,0,4,0
F,35,7,309,4,2,0,4
M,25,11,274,3,1,5,3
F,45,16,923,4,5,4,3
M,25,15,81,0,3,0,0
F,1,15,618,5,5,0,5
F,18,18,230,0,3,5,4
