Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
M,56,0,290,5,4,0,2,0,1,4,0,3,3
M,45,8,81,5,0,3,2,3,0,2,3,1,0
M,56,15,143,1,3,2,5,2,0,4,3,4,0
M,35,16,600,1,1,4,0,3,0,0,2,2,4
M,25,17,765,3,3,4,0,5,4,4,2,2,3
M,1,12,74,4,5,3,4,0,5,5,1,2,5
F,25,17,331,5,1,1,4,2,0,1,3,5,4
M,50,7,984,5,2,3,1,1,0,1,3,2,2
M,45,7,972,5,0,3,4,4,2,0,5,4,4
M,1,1,111,4,2,4,3,2,3,0,1,1,4
F,18,5,118,4,0,2,2,2,1,1,1,1,0
M,56,1,435,4,1,5,4,0,2,5,0,2,5
M,18,4,301,5,3,5,2,4,4,5,4,1,5
F,50,2,971,0,1,0,4,0,5,0,4,0,0
M,1,12,77,1,4,2,3,5,2,5,1,0,3
M,35,0,666,5,2,2,4,3,5,1,1,0,3
F,18,13,462,2,0,5,2,2,2,1,1,0,1
M,56,5,454,5,3,2,5,4,0,5,1,3,0
F,1,9,630,5,5,0,4,0,4,0,0,0,0
M,50,14,333,5,1,4,0,5,5,0,3,1,0
F,18,20,128,0,1,2,2,4,0,1,0,4,4
M,18,13,211,5,3,0,3,0,1,1,0,0,0
M,45,20,741,5,3,5,5,4,0,3,0,4,5
M,35,15,290,2,1,0,1,3,4,0,0,2,3
M,18,10,319,0,2,3,3,2,4,4,0,4,1
M,18,15,720,0,4,1,1,2,1,4,0,4,0
M,50,10,452,5,5,3,5,3,4,4,0,1,0
M,35,2,853,5,0,0,3,4,3,3,1,0,0
M,56,4,652,4,1,5,1,1,2,0,4,0,0
F,45,17,660,4,5,2,5,2,5,1,0,5,0
M,25,14,537,3,5,4,0,4,1,2,5,4,2
M,25,3,952,3,2,4,4,5,0,1,3,3,1
M,50,7,300,2,4,4,3,4,2,0,0,0,0
F,18,0,959,4,3,3,3,0,4,0,1,0,2
F,18,9,905,4,3,0,3,2,5,1,0,0,0
M,35,4,328,2,2,0,2,5,4,5,0,3,0
M,25,14,708,5,5,0,5,0,4,3,2,1,0
F,18,3,54,4,0,0,3,5,3,4,0,3,2
M,18,12,847,5,0,1,0,3,3,0,0,4,5
M,56,12,223,4,5,3,4,1,0,2,2,2,1
M,1,15,358,1,5,4,0,2,4,4,0,4,1
F,56,3,928,2,1,0,4,3,1,3,4,0,5
M,56,12,473,3,5,0,5,0,1,1,0,3,4
F,35,5,236,2,2,3,4,4,0,2,2,0,0
F,50,0,489,4,3,3,3,4,2,5,0,0,1
M,25,14,480,0,3,3,0,2,0,3,0,2,0
F,25,4,33,1,2,4,1,2,4,0,0,5,1
F,35,2,445,4,3,5,5,3,4,5,0,2,3
M,50,1,486,4,3,0,2,5,4,3,3,0,5
F,1,5,314,2,3,2,2,0,4,4,0,4,1
M,56,10,442,1,3,4,4,5,2,3,2,4,1
F,50,0,21,5,3,1,4,1,0,2,2,4,3
M,50,0,277,4,4,3,4,1,0,1,2,3,3
M,45,4,813,3,1,5,2,5,2,4,1,1,5
M,35,17,708,1,0,3,3,1,1,0,1,2,0
F,45,0,764,3,3,4,1,5,0,0,2,2,0
M,18,17,235,5,4,1,4,4,2,5,5,3,3
M,25,7,434,1,0,4,3,1,4,2,0,0,0
F,45,8,616,3,1,0,3,0,5,3,3,3,3
F,35,0,826,1,2,4,4,0,1,0,3,3,4
F,1,17,226,1,4,5,5,2,1,3,5,0,3
M,45,2,758,4,1,5,0,3,2,2,4,5,4
M,25,20,98,3,1,3,2,4,0,3,0,1,5
M,35,4,547,3,3,2,2,5,0,5,0,1,5
M,56,6,333,2,1,1,4,5,0,3,2,1,0
M,56,4,551,1,5,4,4,5,3,3,2,2,5
M,18,9,445,0,1,5,5,5,0,3,3,4,0
M,35,9,210,2,5,0,4,4,4,3,1,5,1
F,18,4,482,5,0,0,3,3,0,0,2,5,0
M,25,12,326,2,2,5,4,1,2,5,3,4,0
M,1,7,244,5,4,4,3,2,5,1,4,2,0
F,45,14,228,0,1,4,0,0,1,4,3,2,1
M,35,9,212,2,5,0,2,4,5,0,3,1,3
M,50,18,708,3,0,0,4,2,2,0,3,1,5
M,35,14,193,5,2,3,5,3,2,4,2,3,3
M,56,4,88,2,4,0,4,2,1,1,4,2,3
M,18,12,337,5,0,2,3,0,2,4,4,0,1
M,50,9,459,4,3,1,2,0,5,0,3,5,1
F,25,0,756,3,3,1,2,2,0,3,0,0,1
M,35,10,16,2,2,0,3,3,2,0,0,5,5
M,25,15,113,5,5,3,0,5,5,0,1,0,1
M,25,4,211,3,1,0,3,2,3,0,5,0,1
M,25,16,940,2,0,4,1,3,4,3,2,4,2
F,50,3,377,0,1,4,0,3,3,4,2,0,5
M,50,4,322,4,0,4,4,4,0,0,1,2,4
F,45,2,450,4,5,0,0,5,4,1,0,0,0
M,18,11,300,5,4,4,3,0,5,0,3,2,0
F,35,11,580,3,0,0,1,3,1,3,2,1,0
M,18,9,61,5,4,1,3,5,5,0,5,4,4
F,45,2,772,1,1,3,1,4,5,3,0,1,1
F,56,1,744,5,4,0,2,1,5,1,1,0,2
M,1,20,926,4,3,0,2,4,3,1,0,3,4
F,18,16,453,4,1,5,5,0,0,5,0,0,5
M,25,11,940,1,3,3,1,4,1,4,2,2,4
M,18,11,741,0,1,1,0,0,3,1,1,4,4
M,18,5,274,5,2,3,0,0,5,5,2,5,0
M,25,9,940,2,5,5,2,5,2,0,4,1,2
M,56,7,581,2,3,5,5,0,0,1,1,3,4
M,50,20,970,4,1,2,1,1,4,3,4,3,3
M,1,11,454,3,5,1,0,5,1,3,0,0,5
M,35,19,959,5,4,5,1,2,3,3,4,3,0
F,1,17,373,4,0,3,2,5,1,5,1,0,0
