Gender,Age,Occupation,ZIP-code,260,1097,1750,2021,2093,2105,2628,2968
F,50,6,300,5,3,0,1,5,0,1,2
M,35,0,253,4,2,0,0,0,4,3,4
F,35,12,223,3,3,1,1,0,5,4,5
F,35,20,911,1,0,3,5,4,4,0,5
F,1,14,277,3,5,0,1,0,2,4,4
F,45,3,118,5,0,0,0,5,5,5,5
M,25,17,610,4,4,0,2,0,0,0,5
F,35,2,947,4,5,4,1,3,4,5,5
F,35,20,90,4,3,3,5,4,3,2,3
M,50,0,751,2,4,0,0,3,3,0,5
F,45,3,672,1,5,1,4,0,3,3,0
F,25,18,804,0,5,0,0,4,4,0,4
M,45,3,325,4,4,0,4,0,2,0,3
F,35,0,488,4,3,5,2,0,0,0,2
M,35,4,452,0,0,2,1,2,5,4,1
F,1,19,157,0,1,4,5,0,1,0,3
M,25,0,17,5,4,0,0,1,1,2,0
M,56,14,301,3,0,0,4,2,0,2,4
M,25,1,852,2,2,0,0,2,0,4,1
M,35,14,431,2,3,2,4,3,4,4,0
M,35,11,253,5,5,0,0,2,2,3,2
M,18,9,28,2,0,3,0,0,4,4,1
M,56,17,402,0,4,2,0,2,0,4,4
M,50,1,440,0,3,4,5,4,4,4,4
M,45,4,878,4,5,5,5,1,3,4,0
M,18,12,301,1,1,1,2,0,0,1,5
M,35,14,950,0,5,5,2,3,0,3,0
M,35,0,178,4,0,2,2,1,2,4,2
M,50,0,82,2,3,1,4,5,2,0,4
F,50,3,756,4,4,5,4,5,3,2,4
F,25,4,454,4,3,1,3,0,4,5,0
M,18,13,986,5,2,0,0,3,2,2,5
F,45,0,530,4,4,1,0,0,3,5,3
M,35,15,705,4,5,5,2,0,0,2,4
M,25,0,966,0,4,4,3,4,3,1,0
F,18,14,596,5,0,0,4,0,4,0,5
F,50,0,549,0,4,0,5,3,5,3,4
F,35,1,782,2,3,3,2,0,4,5,5
M,35,0,524,5,0,4,4,5,1,4,4
M,18,7,911,0,5,4,5,0,2,5,0
M,18,12,114,2,4,1,1,0,4,4,5
M,50,8,547,3,2,1,1,3,3,4,0
