Gender,Age,Occupation,ZIP-code,673,1881,1920,2087,2138
F,1,9,76,5,1,3,2,2
F,18,7,54,2,5,4,0,1
M,45,19,524,5,1,4,1,3
M,1,6,602,1,4,5,1,2
M,25,20,943,1,2,5,0,4
M,18,0,104,5,0,1,2,4
F,50,12,974,4,2,3,4,4
M,35,4,980,3,3,3,2,3
M,35,4,977,0,3,2,3,4
F,18,2,871,1,1,2,0,3
M,45,2,333,1,0,2,1,1
F,18,11,666,4,1,2,3,2
F,18,17,196,2,0,0,0,3
M,45,0,928,0,2,2,2,5
F,18,4,436,3,2,4,4,1
M,18,9,958,2,2,3,1,1
M,25,16,224,0,4,1,0,5
M,50,16,168,3,2,0,3,2
F,25,6,191,2,5,2,3,1
F,18,11,211,2,1,1,4,5
F,35,8,300,0,4,3,5,2
M,1,10,26,4,4,1,5,5
M,18,8,956,1,0,0,3,3
M,1,2,77,0,4,0,4,4
F,56,13,285,3,4,5,4,1
M,25,9,773,1,1,2,5,5
F,18,7,37,5,5,2,5,4
F,45,19,870,2,2,5,0,5
F,25,2,685,1,0,1,4,5
F,1,3,432,0,1,1,3,2
M,1,5,430,5,5,0,4,5
M,35,4,943,0,3,2,0,2
M,25,9,590,3,1,2,4,4
F,35,11,197,1,1,3,5,1
F,18,11,196,2,0,2,1,5
M,45,10,985,0,5,3,5,4
M,18,0,597,4,2,1,1,1
F,18,4,843,4,5,3,2,4
F,1,9,930,4,4,1,3,2
F,25,5,372,1,3,3,5,2
F,1,12,358,3,5,3,5,0
F,25,8,236,5,2,0,0,4
M,45,17,666,1,4,2,4,3
M,25,1,520,5,0,0,3,5
F,45,18,773,5,3,3,3,4
F,25,9,337,5,2,2,0,1
M,50,4,320,0,3,0,3,0
M,35,0,465,5,2,3,1,5
M,1,7,622,0,5,5,2,0
M,25,14,801,2,3,1,2,5
M,35,17,977,5,0,2,5,2
F,50,8,981,0,5,4,0,4
F,25,3,992,5,2,3,4,2
M,18,10,206,1,3,0,1,5
M,25,20,61,2,5,1,3,5
M,18,14,80,1,1,0,4,0
M,25,17,22,5,2,3,1,3
F,25,2,333,0,4,5,3,5
M,45,4,26,4,3,3,2,1
M,18,4,813,5,3,1,2,3
M,25,6,115,2,4,2,2,2
M,50,5,85,1,5,0,2,0
M,35,1,88,5,0,0,5,4
F,45,1,803,0,0,1,5,5
F,18,13,672,5,5,5,1,0
F,1,15,970,5,1,3,2,4
M,56,4,838,0,5,0,3,1
F,25,1,421,1,1,1,5,3
M,18,13,279,5,1,1,3,4
F,25,1,933,4,2,0,0,4
M,35,6,951,0,0,4,4,2
F,45,2,531,1,2,3,2,1
F,1,0,934,4,1,3,5,3
F,45,4,60,0,1,0,3,2
M,18,0,447,2,1,5,1,4
M,56,4,927,5,4,5,0,0
F,50,9,937,5,5,1,1,4
M,50,20,501,4,3,0,3,3
M,25,15,447,2,4,3,1,1
F,1,2,580,5,1,2,1,3
M,18,2,744,4,5,0,3,1
M,45,17,18,2,4,3,3,1
M,25,11,804,4,3,2,1,5
F,25,6,60,1,2,1,4,2
M,25,1,84,1,3,0,2,1
M,1,16,983,2,5,3,4,5
M,35,15,906,3,5,1,5,5
F,18,6,285,3,0,0,0,2
M,45,10,534,5,0,2,1,3
M,25,4,741,1,3,3,2,0
F,1,17,170,1,2,3,4,4
M,18,2,701,4,5,0,4,5
M,25,16,421,4,1,2,4,0
F,56,0,618,5,0,5,1,0
M,1,7,912,3,2,1,0,1
F,1,7,847,0,0,5,1,4
F,35,6,985,2,1,3,2,1
M,25,3,547,3,5,1,3,4
F,1,20,940,3,0,4,5,1
F,45,7,939,2,1,3,0,1
M,1,12,988,1,1,4,5,5
F,25,11,372,4,3,1,2,5
M,56,7,986,1,3,3,4,0
M,18,5,847,5,4,3,4,0
M,45,14,22,1,5,2,0,0
F,18,10,18,0,1,1,1,2
M,45,16,285,1,4,2,1,0
F,56,7,123,0,2,2,1,5
F,45,5,558,1,0,1,1,2
F,35,15,132,4,3,1,5,0
M,25,8,906,5,4,5,3,3
F,25,15,700,1,1,1,2,5
F,25,5,447,1,1,0,0,5
M,45,14,345,0,3,3,5,3
F,1,17,319,3,4,1,3,1
F,56,9,171,0,4,2,2,4
F,56,7,758,3,3,5,3,4
M,25,3,977,4,4,5,0,5
M,50,19,142,4,4,1,1,3
M,1,5,986,1,5,3,2,0
M,45,12,220,0,1,4,2,3
F,25,17,200,2,3,0,5,2
M,35,0,296,2,1,3,2,1
F,18,18,370,3,4,5,4,1
F,1,4,10,1,2,5,5,2
M,45,4,56,0,1,3,5,1
M,35,13,430,2,0,0,0,5
M,35,1,928,5,3,1,5,2
M,1,0,524,2,1,2,1,4
M,1,5,520,4,1,2,4,1
M,1,7,16,1,5,0,4,1
M,50,12,142,0,0,1,4,0
M,25,18,933,1,1,1,2,4
F,25,5,231,4,4,3,5,4
F,25,15,194,5,5,4,5,1
M,25,8,430,2,3,1,1,5
F,1,2,853,5,0,1,5,0
F,1,4,942,1,1,2,0,2
M,25,1,240,4,3,4,5,3
F,18,17,947,4,5,4,0,2
M,18,6,947,4,1,5,1,3
M,45,9,33,2,4,4,3,1
F,1,4,760,1,3,3,1,4
M,18,13,633,3,5,0,0,1
M,25,10,764,4,5,1,3,2
M,35,14,954,0,3,5,5,2
M,35,4,173,0,3,3,5,1
M,56,5,142,1,5,0,4,0
F,25,7,165,3,1,0,0,4
M,1,20,244,0,1,4,3,2
M,45,19,894,4,3,5,3,2
M,56,8,957,1,2,4,5,5
M,25,9,38,5,1,5,1,3
M,35,7,286,3,2,2,4,5
M,45,4,756,2,5,3,1,0
M,45,10,194,3,3,4,2,5
F,25,1,681,1,1,5,3,0
M,18,2,441,5,2,1,0,5
M,45,6,969,3,1,4,1,4
F,25,1,56,5,5,4,4,3
M,25,16,194,3,0,1,1,3
F,25,7,914,4,5,1,1,2
F,1,14,157,0,1,3,0,0
F,35,4,122,4,0,1,5,3
M,25,4,132,4,5,5,5,2
M,25,12,980,5,5,2,2,1
F,45,12,915,4,0,2,1,5
M,56,6,700,1,5,2,0,4
F,50,6,655,4,0,4,1,1
F,50,4,274,0,5,4,0,2
F,35,2,802,5,4,3,4,4
F,35,16,166,4,0,2,1,1
M,25,3,146,5,2,1,1,0
M,45,6,927,0,3,2,1,4
F,18,12,560,2,2,1,0,2
F,18,13,245,5,1,4,5,0
F,45,4,975,3,2,5,0,4
F,25,16,988,0,2,4,1,0
M,35,8,223,5,4,1,0,0
M,50,2,850,4,0,4,0,3
F,35,12,730,3,5,2,0,3
F,18,7,973,2,2,1,5,4
M,18,11,143,3,5,3,5,4
M,18,9,870,5,0,4,3,4
F,1,6,144,1,2,3,3,1
M,25,5,382,2,2,0,5,0
M,45,0,454,4,2,2,0,0
F,18,7,301,4,3,4,5,0
F,1,10,190,0,1,0,0,0
F,18,16,121,3,2,0,1,5
M,18,20,115,1,4,4,1,3
M,25,10,652,5,3,2,0,0
F,1,12,224,4,5,0,2,3
F,45,17,330,3,3,5,2,0
M,45,6,22,1,1,5,0,1
M,1,8,437,2,2,4,3,4
M,25,17,497,3,0,2,4,2
M,45,17,279,2,0,5,3,5
F,35,11,598,2,0,0,5,5
M,35,1,221,4,2,0,1,4
M,25,16,685,5,3,0,4,1
M,25,10,405,3,3,2,4,4
F,56,8,209,4,5,4,4,2
M,45,12,443,1,5,5,5,2
