Gender,Age,Occupation,ZIP-code,260,1097,1750,2021,2093,2105,2628,2968
M,18,12,584,5,3,4,0,4,3,2,0
F,50,3,143,2,0,0,0,1,2,1,4
F,56,5,489,1,2,4,2,0,3,0,5
F,50,5,600,5,5,0,0,0,1,4,1
M,25,18,987,0,4,0,0,0,0,1,3
M,56,13,376,1,0,0,0,0,0,5,4
M,56,0,931,2,4,5,1,3,0,1,4
F,50,4,559,5,5,0,5,0,5,4,2
F,35,9,140,3,1,3,2,4,5,5,5
M,35,12,551,4,0,0,0,0,0,1,2
F,50,13,912,4,5,2,4,1,1,1,5
M,35,19,457,5,4,0,1,4,4,2,3
F,45,11,88,5,2,0,0,0,4,5,2
M,35,15,65,2,5,0,0,0,4,4,2
M,45,3,495,0,1,0,0,4,3,4,5
F,1,12,534,0,3,4,0,2,4,2,0
F,45,11,220,2,0,0,3,2,2,5,5
M,56,2,986,4,1,5,2,3,5,0,0
F,56,12,220,1,0,0,0,0,0,1,3
F,25,15,458,4,5,0,3,4,0,4,0
M,45,11,560,5,1,0,2,1,0,5,1
M,56,19,215,1,2,4,5,2,1,5,4
M,35,3,560,0,3,3,5,5,0,0,4
M,25,14,465,2,0,5,0,0,0,4,3
F,25,12,557,5,2,0,3,3,5,1,1
F,35,17,436,1,1,0,0,0,3,3,2
F,50,5,627,4,5,4,4,1,5,0,2
M,35,5,907,5,2,0,0,1,4,1,2
M,35,14,379,2,5,4,0,0,0,4,2
F,45,14,925,3,5,1,5,0,4,4,2
M,25,12,604,1,4,0,0,4,3,5,2
F,50,0,468,2,5,1,4,0,0,3,2
F,35,10,372,1,3,1,5,0,0,4,0
F,45,6,65,5,3,0,2,2,0,3,1
F,45,0,770,0,4,2,3,1,0,1,2
M,35,14,370,5,4,0,4,4,2,5,5
F,56,8,69,5,4,5,0,4,1,3,5
F,50,19,379,0,3,5,4,5,0,1,2
F,35,14,836,3,0,4,1,3,3,4,5
F,50,15,220,5,5,0,1,5,0,5,3
F,1,13,826,0,4,0,0,0,0,1,5
F,50,19,460,3,2,4,5,0,4,2,1
M,35,1,894,1,3,4,2,1,2,3,2
F,1,0,672,4,5,2,0,0,0,3,1
F,45,8,990,4,3,0,2,5,4,0,1
M,35,8,926,0,3,0,1,5,3,1,0
M,35,8,959,4,3,0,2,0,0,1,1
M,35,17,222,3,4,0,4,3,2,5,5
M,18,1,15,4,1,2,0,0,0,4,5
F,35,20,760,1,0,5,3,3,3,2,0
M,50,10,81,1,1,0,1,1,0,1,4
F,25,17,197,0,1,0,0,4,3,4,2
F,50,8,894,1,3,1,2,1,2,3,5
F,56,17,326,5,0,0,0,0,4,1,4
F,25,8,360,1,3,2,4,1,1,4,1
F,45,6,78,0,2,5,0,2,3,5,2
F,45,16,466,0,0,4,4,5,3,5,2
F,1,19,128,1,1,0,0,0,0,1,2
F,56,14,681,2,2,0,4,3,0,1,4
F,35,14,285,5,4,2,1,0,3,4,2
M,18,8,942,2,3,5,5,0,4,5,2
M,50,7,597,0,0,0,4,4,0,0,5
F,25,12,482,2,4,0,2,5,0,1,5
M,18,19,973,4,1,4,2,4,4,2,0
M,45,6,80,4,2,0,3,0,4,1,3
F,1,19,131,4,5,0,0,1,0,3,0
F,1,9,894,3,3,4,0,0,0,5,0
M,35,14,222,5,3,1,4,3,2,5,5
M,35,1,935,4,1,5,2,0,3,2,4
M,35,19,437,0,4,4,3,4,5,2,3
F,45,7,468,4,4,0,0,2,0,1,3
M,18,1,912,0,1,0,0,0,3,1,5
M,35,14,907,4,5,4,4,3,2,1,1
F,50,13,878,3,0,4,3,3,0,2,1
M,35,10,928,2,5,4,5,4,5,2,3
F,35,3,114,2,2,0,5,2,0,2,3
M,45,11,334,4,4,5,0,0,0,4,1
F,35,4,916,4,5,0,4,0,0,3,0
M,35,17,750,0,4,4,2,4,1,5,5
F,18,19,758,1,1,3,0,0,3,1,0
M,35,9,553,4,3,0,2,2,1,1,0
M,56,1,919,3,2,2,4,1,1,5,0
M,25,17,891,2,2,5,3,2,2,1,0
F,35,2,949,0,5,4,0,3,4,4,3
M,56,19,21,0,5,0,0,0,4,5,1
M,1,14,148,2,0,1,2,0,4,5,5
F,56,0,447,3,5,4,0,0,0,5,1
M,35,2,631,0,5,0,0,2,0,5,5
M,50,7,21,5,0,0,1,0,5,0,4
M,50,8,79,3,4,5,3,1,3,1,0
F,45,14,65,5,1,0,3,3,2,0,4
F,1,13,811,3,2,4,0,5,3,1,1
F,50,15,852,1,3,1,5,0,0,0,4
M,1,5,980,4,5,2,0,0,3,1,2
M,25,7,354,0,1,0,0,1,3,0,2
F,1,2,100,0,3,4,3,4,1,0,0
M,45,6,360,0,0,3,0,0,5,4,5
M,18,2,655,3,0,0,2,0,4,2,4
F,45,16,482,2,4,4,0,0,4,1,4
M,56,10,191,0,4,0,0,0,0,4,2
F,25,14,973,3,2,0,1,5,3,3,5
F,56,19,320,0,5,5,3,1,0,2,1
F,35,14,773,1,4,0,1,1,0,4,0
M,25,19,971,2,1,0,4,0,3,4,5
F,25,10,458,1,5,1,0,0,0,1,1
F,50,9,782,5,5,2,1,2,2,5,3
M,50,9,354,2,3,0,2,5,3,1,5
M,50,11,121,5,4,0,4,0,0,1,0
M,25,16,705,5,0,0,2,3,5,0,2
M,45,11,198,4,3,0,4,0,4,0,1
M,18,9,358,0,5,0,0,0,1,5,2
M,18,9,62,1,3,0,2,3,2,4,1
F,25,11,108,4,5,3,4,3,2,1,3
F,50,19,811,4,4,0,0,0,1,0,5
F,45,9,326,1,5,0,5,4,4,1,1
M,18,19,435,1,3,1,2,1,2,0,2
F,35,10,988,0,3,0,5,2,1,4,1
F,56,7,618,4,4,5,0,0,3,2,3
M,50,20,432,0,3,0,0,0,0,4,3
M,35,9,10,1,2,0,0,0,3,4,3
M,25,16,473,4,0,0,0,0,3,1,4
F,1,6,975,3,3,5,0,0,0,1,4
