Gender,Age,Occupation,ZIP-code,673,810,1073,1126,1702,2100,2174,2253,2797,3393,3466
F,35,16,23,0,3,3,0,0,5,0,4,1,3,0
F,18,13,49,4,4,0,2,5,4,2,0,5,2,0
F,18,6,161,0,0,0,2,0,0,3,1,1,4,1
M,35,3,79,0,0,5,5,3,4,0,3,5,1,3
F,35,0,915,0,0,0,0,0,4,4,1,3,0,0
F,50,9,201,5,1,1,2,3,1,0,0,2,4,3
F,35,20,856,4,0,4,2,0,4,5,5,4,5,0
F,50,2,549,1,2,2,0,4,5,0,0,1,1,0
M,18,13,437,4,2,0,0,0,1,4,0,5,0,0
M,35,8,980,5,0,2,0,0,0,2,0,0,0,0
F,1,12,878,2,0,1,1,1,2,0,5,3,0,0
M,1,17,121,5,4,0,0,3,3,0,1,3,0,2
M,35,5,672,0,0,0,1,0,3,4,5,4,1,0
F,35,1,600,3,1,3,2,0,2,4,3,0,2,4
M,25,17,939,3,1,1,2,0,1,2,2,4,4,0
F,18,18,81,3,0,3,3,3,0,2,3,2,0,3
F,56,12,597,4,4,5,5,0,0,3,2,0,4,0
M,25,16,471,5,1,1,1,4,0,4,3,4,2,3
M,35,12,666,0,0,0,0,0,4,5,3,4,4,0
M,35,6,549,4,0,4,1,0,5,0,5,4,3,0
F,56,6,212,2,3,4,2,1,0,1,3,5,5,2
F,50,11,372,5,2,5,2,0,3,5,2,4,1,1
F,56,9,309,0,2,5,2,3,4,4,1,2,4,3
F,50,20,432,5,3,5,2,1,0,0,4,5,3,4
M,1,9,959,0,0,0,2,0,3,0,0,4,2,0
F,50,5,965,2,3,5,0,4,0,0,4,0,1,3
F,56,3,847,0,0,5,0,1,1,2,4,4,2,3
F,1,6,627,5,0,2,4,2,4,3,5,3,5,1
M,18,4,442,0,0,4,0,0,3,0,5,0,2,0
F,35,11,220,3,0,1,0,2,4,4,0,2,0,0
F,1,4,194,0,0,1,0,0,0,2,0,0,2,0
F,50,1,161,0,0,5,0,0,0,0,4,5,4,0
M,18,16,809,4,2,5,0,2,1,0,0,0,2,2
F,50,18,122,0,0,0,3,0,5,4,0,4,0,0
F,50,9,975,2,1,0,0,0,3,1,3,3,1,0
F,1,18,880,3,4,3,5,0,2,0,1,2,5,0
F,56,1,582,2,0,2,3,3,0,1,3,2,4,3
F,35,3,433,1,0,0,1,1,2,1,5,5,1,2
F,50,19,990,0,4,4,1,4,3,2,4,0,3,3
F,18,5,65,4,3,4,2,0,2,4,4,0,3,0
M,50,19,838,0,0,3,5,0,2,0,4,2,1,0
F,56,17,326,0,1,1,0,0,2,1,4,4,1,0
F,25,16,863,1,0,3,5,0,5,0,4,5,5,4
M,50,7,309,1,4,0,1,3,1,3,5,0,4,3
M,35,9,452,4,1,0,0,0,3,5,1,3,0,0
M,56,14,381,3,1,1,2,1,0,4,4,1,5,0
M,25,7,606,0,0,2,0,0,5,1,1,1,1,0
F,35,16,148,3,1,4,0,1,0,1,1,1,2,3
M,35,11,337,2,0,3,0,1,2,4,3,3,0,1
M,50,10,980,4,2,5,0,0,4,5,0,2,5,0
F,18,5,21,0,0,2,2,0,4,0,0,0,4,0
F,50,2,483,1,0,4,3,0,2,5,1,2,0,0
F,18,20,912,0,0,4,0,0,0,0,4,0,1,0
F,1,19,577,1,4,2,1,3,1,3,4,5,2,2
M,56,9,292,0,4,0,3,0,5,1,5,0,1,0
F,56,16,234,2,1,4,4,5,0,5,4,2,1,0
F,35,4,62,0,0,0,2,0,3,5,2,5,4,0
M,25,1,942,1,0,5,5,5,2,3,2,2,5,4
F,45,8,320,0,0,0,0,5,3,2,1,0,5,4
M,56,10,764,0,2,1,4,4,2,1,2,1,5,0
M,25,13,959,2,0,1,0,0,0,1,3,0,3,0
F,1,9,197,2,4,4,5,0,2,1,4,4,1,0
M,50,9,539,1,0,2,5,0,4,0,3,5,4,5
M,25,12,171,0,0,0,0,4,3,3,1,4,4,4
M,56,10,928,5,4,3,5,3,5,4,0,0,0,1
F,45,20,446,0,3,1,5,3,4,3,0,4,0,3
M,35,5,704,0,4,4,0,0,4,5,3,0,1,0
M,18,2,947,5,0,5,0,2,0,0,4,2,4,1
F,18,1,534,0,0,0,0,0,0,0,5,1,1,5
M,50,9,680,5,4,0,1,3,0,2,5,0,4,2
M,50,8,294,5,0,2,0,2,2,0,1,5,4,1
F,35,0,296,4,0,4,2,1,5,5,4,5,5,4
M,50,20,847,4,4,3,0,2,2,3,1,2,3,1
M,56,16,280,5,4,1,0,4,5,4,4,2,5,0
F,25,3,13,5,1,0,3,5,3,0,3,1,4,3
F,18,4,80,5,1,2,5,2,0,2,2,5,1,3
F,18,11,641,5,4,3,5,5,1,2,4,4,3,5
F,1,8,63,0,0,0,5,1,0,0,1,3,4,3
M,1,5,965,3,1,5,2,5,3,2,3,5,1,2
F,35,16,127,5,1,0,5,0,4,5,5,0,0,0
M,56,0,6,0,0,4,2,1,2,0,2,2,2,0
F,18,0,31,0,0,2,2,0,2,4,3,0,4,0
F,45,0,141,2,0,4,5,0,2,4,1,1,2,3
M,56,10,6,3,3,0,0,0,5,3,5,4,5,3
F,50,15,913,5,0,4,1,5,4,5,5,0,1,0
M,25,3,555,2,4,0,4,3,5,3,3,4,4,1
F,45,19,544,1,0,3,0,3,4,3,1,1,5,3
M,56,10,141,2,0,5,5,3,4,3,2,2,4,3
M,56,1,352,2,3,1,0,0,1,3,3,0,0,0
F,35,14,878,2,4,1,3,4,2,4,2,1,5,3
F,25,14,750,3,4,3,4,1,3,3,4,0,2,1
M,1,14,319,1,3,0,3,0,0,2,5,4,2,1
F,45,15,303,1,2,3,2,1,2,2,1,3,5,1
F,25,11,934,5,3,1,3,0,2,3,3,0,2,0
F,56,13,279,0,1,0,5,0,4,1,5,4,5,5
