Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
M,25,4,937,4,0,0,5
M,50,12,705,4,0,5,2
F,35,18,983,2,3,0,3
M,25,19,433,3,0,0,3
F,18,12,800,4,4,0,4
M,25,2,336,5,3,0,0
M,56,11,912,4,3,3,4
F,35,19,554,5,2,0,3
M,50,18,240,0,0,0,1
F,50,11,895,5,4,4,0
F,1,12,801,2,0,0,5
F,25,17,580,1,4,5,3
M,25,8,584,1,3,5,3
M,18,20,402,5,1,0,0
M,56,4,236,1,5,4,4
F,35,8,221,0,4,0,5
M,50,9,498,0,3,0,3
M,45,13,465,0,0,0,1
M,25,13,321,0,0,0,0
M,45,1,933,0,0,4,0
M,18,5,957,1,1,0,0
M,18,1,436,4,0,5,3
F,1,12,279,2,3,0,3
F,56,1,988,0,3,5,0
M,35,12,465,0,1,4,4
M,25,17,77,5,4,0,4
M,1,0,843,0,3,3,5
M,56,16,49,2,1,4,4
F,50,15,277,2,4,5,5
M,18,13,537,2,1,4,0
M,45,2,131,1,0,1,1
M,50,10,10,4,0,3,5
M,45,18,488,4,5,3,0
M,1,19,276,0,0,0,4
F,18,2,396,5,1,0,4
M,18,11,302,1,0,4,2
M,25,14,701,1,3,2,2
M,50,16,708,4,2,0,5
M,18,16,966,0,0,0,0
M,50,17,726,3,3,5,2
M,25,5,982,2,1,0,3
M,50,3,27,0,0,4,3
F,45,11,193,2,2,1,3
M,25,12,612,0,5,0,3
F,45,2,224,2,0,0,3
M,1,14,920,1,5,4,1
F,50,0,88,5,5,0,2
M,45,5,18,2,0,3,4
M,18,9,970,4,1,4,0
F,50,16,279,2,5,4,0
M,35,8,758,2,2,2,1
F,35,11,62,0,0,3,0
M,1,14,461,1,1,0,4
M,50,20,613,1,0,5,0
F,35,9,820,0,2,0,0
M,56,15,196,3,3,0,3
M,1,20,761,3,0,0,2
M,56,15,559,2,0,2,2
M,25,19,165,0,0,1,0
M,50,19,38,0,0,5,4
M,50,7,336,1,3,0,0
F,56,4,630,0,0,0,1
F,35,18,382,0,1,4,5
M,25,2,981,1,4,2,0
M,25,19,281,5,0,5,4
F,45,1,744,4,3,3,0
M,35,3,463,0,0,3,4
F,25,11,935,3,2,0,5
F,25,17,612,0,4,0,0
M,18,20,560,1,5,5,0
M,18,2,928,0,2,4,0
M,25,15,625,0,3,0,0
M,25,11,62,0,1,0,0
M,25,17,910,3,0,2,0
F,18,1,973,4,3,3,5
