Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
F,50,6,300,2,2,1,2,0,4,2
M,35,0,253,0,0,1,0,4,1,5
F,35,12,223,4,0,1,1,2,4,3
F,35,20,911,0,3,2,5,0,3,3
F,1,14,277,5,5,0,3,0,5,5
F,45,3,118,0,0,5,0,0,0,3
M,25,17,610,5,0,3,0,5,0,5
F,35,2,947,5,0,2,1,0,2,2
F,35,0,90,3,0,5,0,0,0,0
M,50,0,751,0,4,5,2,5,2,4
F,45,3,672,5,3,3,3,5,5,0
F,25,18,804,0,0,1,3,0,0,3
M,45,16,198,2,3,1,3,0,5,3
F,35,0,488,0,2,1,0,3,2,0
M,35,4,452,0,3,3,1,4,0,0
F,1,19,157,3,2,5,2,2,2,0
M,25,0,17,4,5,1,0,0,0,3
M,56,14,301,2,5,3,3,0,0,1
M,25,1,852,0,1,0,0,0,5,5
M,35,14,431,1,5,1,5,0,2,5
M,35,11,253,0,0,5,0,5,3,0
M,18,9,28,1,4,1,0,3,0,5
M,56,17,402,3,1,1,3,0,0,1
M,50,1,440,2,0,0,3,0,5,0
M,45,4,878,2,2,0,0,4,0,4
M,18,11,301,0,0,0,0,3,0,3
M,35,14,950,4,3,0,0,0,0,0
M,35,0,178,2,3,4,0,4,3,5
M,50,0,82,4,3,1,0,2,4,5
F,50,3,756,4,0,1,2,4,2,0
F,25,7,454,5,3,0,0,0,0,4
M,18,13,986,4,0,2,4,4,0,0
F,45,0,530,2,0,5,2,2,0,5
M,35,15,705,4,2,2,3,5,5,0
M,25,0,966,3,0,5,0,2,0,0
F,18,14,596,0,0,1,4,4,2,2
F,50,0,549,2,0,4,0,5,1,5
F,35,1,782,0,1,1,0,0,0,0
M,35,0,524,1,1,1,0,0,5,1
F,18,7,911,4,0,4,4,5,0,3
M,18,12,114,0,0,2,2,0,0,0
M,50,8,547,2,0,5,3,4,4,0
F,45,3,209,4,2,3,5,0,0,4
M,50,11,550,3,5,1,0,2,0,3
M,25,20,641,4,2,4,4,0,0,0
F,25,4,229,2,1,1,3,0,0,1
M,50,9,850,4,2,4,0,5,0,1
F,45,0,557,5,5,5,3,0,0,0
M,1,3,944,0,5,5,2,0,2,0
F,50,1,328,4,0,3,3,0,0,4
F,35,7,837,5,0,0,3,5,3,5
F,45,19,988,0,0,4,2,0,5,1
M,45,6,603,0,5,2,4,0,4,1
M,35,17,285,0,0,2,0,0,2,1
M,50,19,461,3,0,5,2,4,0,2
M,18,1,468,0,0,4,2,5,5,0
M,25,0,33,3,1,0,0,0,2,5
F,50,9,433,4,0,0,0,4,3,5
M,18,16,181,5,0,4,4,0,5,5
M,18,5,629,4,0,4,0,4,2,5
M,35,4,68,5,3,4,4,0,2,4
F,56,3,64,5,0,0,1,0,2,2
F,45,9,843,4,5,0,4,2,5,2
F,18,19,523,3,0,2,2,0,0,0
F,25,5,951,4,0,4,3,2,0,1
M,25,3,910,0,2,0,0,0,2,4
F,1,5,924,5,5,1,0,4,2,1
F,25,7,61,3,0,0,0,5,0,0
F,35,9,482,0,0,5,4,3,0,0
M,45,12,212,3,0,1,2,5,0,4
M,18,3,63,4,5,3,3,2,0,2
M,35,12,224,0,1,3,1,0,1,2
M,1,2,200,0,2,2,0,3,5,5
M,35,5,554,0,3,2,2,0,0,0
F,35,16,522,0,1,0,1,0,0,1
F,50,5,265,4,4,4,2,0,0,5
F,56,17,584,5,0,0,0,0,4,0
M,45,7,361,3,0,4,2,0,3,2
M,35,20,232,0,0,4,2,0,1,3
F,35,3,265,2,0,5,3,0,4,2
F,25,18,433,3,0,4,4,0,2,4
M,25,17,452,5,0,1,0,5,3,1
M,25,9,421,0,0,2,0,0,2,3
F,18,20,152,5,1,4,2,0,0,0
M,45,16,604,0,0,3,5,0,0,4
M,35,7,262,0,2,2,0,0,0,5
F,18,7,931,0,2,3,3,0,3,1
F,1,17,652,4,0,1,2,0,0,2
F,35,10,871,4,2,2,0,2,2,0
F,56,6,950,2,4,0,3,0,0,3
F,45,7,815,0,4,5,1,4,0,0
F,18,7,826,4,5,4,0,0,1,5
F,50,17,486,2,0,5,4,0,4,3
M,35,20,946,0,0,5,0,0,0,0
M,35,6,148,5,0,0,0,0,2,4
M,45,8,215,5,3,0,2,0,0,2
F,45,9,786,2,2,2,1,3,1,4
M,45,17,64,4,0,5,4,3,4,4
F,50,6,297,0,0,3,0,0,5,3
F,35,19,942,5,1,1,5,0,0,2
M,45,11,610,5,4,4,2,5,1,4
F,25,0,82,0,0,0,0,0,1,0
M,35,14,943,0,5,0,0,0,0,2
M,25,11,923,0,0,1,0,0,0,0
M,25,11,207,2,0,5,2,0,4,4
F,18,3,320,1,5,3,0,0,0,2
F,56,12,582,0,2,4,0,0,1,4
M,1,10,215,0,0,0,3,0,0,3
M,35,3,532,1,5,2,2,3,2,0
F,35,5,949,2,0,1,0,0,2,0
F,1,1,482,5,0,1,1,0,0,5
M,50,4,287,1,0,0,2,0,0,0
M,50,17,453,0,4,3,1,2,4,5
M,50,5,221,0,2,3,3,2,1,5
M,56,7,45,0,0,1,4,2,3,0
F,25,10,577,3,0,5,2,5,5,0
M,45,17,152,0,0,1,3,5,1,1
F,25,11,15,1,0,3,5,0,3,0
M,50,16,603,5,0,2,1,0,5,0
M,50,6,13,4,0,0,5,2,0,4
M,35,16,633,5,3,4,5,0,4,5
