Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
F,1,9,76,0,3,2,2
F,18,7,54,1,4,1,0
M,45,19,524,0,4,2,1
M,1,6,602,2,5,5,1
M,25,20,943,5,5,2,0
M,18,0,104,5,1,2,2
F,50,12,974,2,3,4,4
M,35,4,980,1,3,0,2
M,35,4,977,2,2,0,3
F,18,2,871,5,2,3,0
M,45,2,333,5,2,0,1
F,18,11,666,1,2,2,3
F,18,17,196,3,0,1,0
M,45,0,928,5,2,0,2
F,18,4,436,2,4,2,4
M,18,9,958,4,3,3,1
M,25,16,224,0,1,3,0
M,50,16,168,3,0,1,3
F,25,6,191,3,2,4,3
F,18,11,211,2,1,4,4
F,35,8,300,1,3,0,5
M,1,10,26,3,1,2,5
M,18,8,956,4,0,5,3
M,1,2,77,2,0,1,4
F,56,13,285,3,5,3,4
M,25,9,773,5,2,1,5
F,18,7,37,2,2,5,5
F,45,19,870,1,5,3,0
F,25,2,685,2,1,5,4
F,1,3,432,3,1,0,3
M,1,5,430,5,0,3,4
M,35,4,943,3,2,4,0
M,25,9,590,0,2,1,4
F,35,11,197,0,3,3,5
F,18,11,196,0,2,2,1
M,45,10,985,5,3,2,5
M,18,0,597,5,1,2,1
F,18,4,843,0,3,5,2
F,1,9,930,1,1,4,3
F,25,5,372,4,3,1,5
F,1,12,358,0,3,4,5
F,25,8,236,5,0,5,0
M,45,17,666,1,2,3,4
M,25,1,520,2,0,1,3
F,45,18,773,5,3,0,3
F,25,9,337,0,2,0,0
M,50,4,320,2,0,2,3
M,35,0,465,0,3,3,1
M,1,7,622,1,5,1,2
M,25,14,801,3,1,5,2
M,35,17,977,3,2,5,5
F,50,8,981,2,4,1,0
F,25,3,992,2,3,2,4
M,18,10,206,5,0,5,1
M,25,20,61,5,1,2,3
M,18,14,80,4,0,3,4
M,25,17,22,4,3,0,1
F,25,2,333,0,5,4,3
M,45,4,26,2,3,3,2
M,18,4,813,3,1,4,2
M,25,6,115,4,2,3,2
M,50,5,85,5,0,4,2
M,35,1,88,4,0,5,5
F,45,1,803,5,1,3,5
F,18,13,672,5,5,4,1
F,1,15,970,0,3,3,2
M,56,4,838,0,0,2,3
F,25,1,421,5,1,5,5
M,18,13,279,1,1,0,3
F,25,1,933,1,0,5,0
M,35,6,951,4,4,4,4
