Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
F,50,6,300,3,0,3,0
M,35,0,253,5,4,0,1
F,35,12,223,1,0,0,1
F,35,20,911,1,0,4,4
F,1,14,277,4,0,3,4
F,45,3,118,0,5,5,0
M,25,17,610,0,2,0,0
F,35,2,947,2,0,0,3
F,35,20,90,0,3,0,0
M,50,0,751,0,0,2,5
F,45,3,672,4,0,5,4
F,25,18,804,3,5,0,4
M,45,0,198,0,1,3,4
F,35,0,488,4,0,4,5
M,35,4,329,1,0,4,5
F,1,19,157,4,3,4,5
M,25,0,17,0,5,0,4
M,56,14,301,4,3,3,0
M,25,1,852,0,0,0,0
M,35,14,431,4,4,4,3
M,35,11,253,2,4,4,4
M,18,9,28,3,1,0,0
M,56,17,402,3,2,5,5
M,50,1,440,5,1,0,2
M,45,4,878,5,0,3,5
M,18,12,301,0,4,0,1
M,35,14,950,0,0,5,0
M,35,0,178,0,0,1,4
M,50,0,82,0,4,0,0
F,25,3,756,5,4,3,3
F,25,4,454,4,2,2,0
F,18,13,986,5,4,4,0
F,45,0,530,5,0,3,4
M,35,15,705,5,5,1,3
M,25,0,966,5,0,0,4
F,18,14,756,3,0,4,2
F,50,0,549,0,0,4,4
F,35,1,782,2,0,3,0
M,35,0,524,0,4,2,4
F,18,7,911,5,2,3,0
M,18,12,114,2,5,4,4
M,50,8,547,5,0,0,0
F,45,3,209,4,0,2,0
M,50,11,550,4,0,0,2
M,25,20,641,0,4,0,5
F,35,4,229,3,2,2,3
M,50,9,850,0,0,0,3
F,45,0,557,0,4,5,4
M,1,3,944,0,2,0,0
F,50,1,328,0,0,0,4
F,35,7,837,3,1,0,3
F,45,19,988,1,1,0,3
M,45,6,603,4,0,0,0
M,35,17,285,5,3,0,2
M,50,19,461,5,2,3,3
M,18,1,468,4,0,4,0
M,25,0,33,5,5,3,0
F,50,9,433,0,3,4,4
M,18,16,181,0,3,1,4
M,18,5,629,3,5,4,0
M,35,4,68,5,4,4,2
F,56,3,64,4,3,0,1
F,45,9,843,5,0,2,5
F,18,19,523,1,0,1,3
F,25,5,951,0,2,0,0
M,25,3,910,3,2,0,0
