Gender,Age,Occupation,ZIP-code,247,2100,2143,2872,3479
F,45,12,253,4.0,4.0,1.0,1.0,0.0
M,25,14,563,5.0,4.0,1.0,1.0,0.0
F,1,8,198,0.0,5.0,3.0,5.0,0.0
M,35,9,843,4.0,5.0,2.0,4.0,3.0
M,56,9,967,4.0,5.0,5.0,0.0,2.0
M,18,3,990,5.0,5.0,3.0,1.0,0.0
M,56,8,925,0.0,0.0,0.0,4.0,4.0
M,45,5,323,3.0,3.0,5.0,3.0,4.0
F,25,20,336,0.0,5.0,2.0,4.0,0.0
M,50,1,307,4.0,4.0,2.0,4.0,1.0
M,50,20,803,4.0,5.0,0.0,4.0,4.0
M,45,8,56,0.0,4.0,0.0,0.0,4.0
F,50,18,40,4.0,5.0,2.0,0.0,5.0
M,56,1,923,3.0,4.0,5.0,4.0,4.0
F,35,18,437,2.0,4.0,1.0,1.0,0.0
M,35,17,582,2.0,1.0,0.0,0.0,5.0
M,56,15,950,2.0,0.0,4.0,4.0,3.0
F,56,11,613,0.0,1.0,4.0,5.0,0.0
M,18,13,560,4.0,3.0,5.0,0.0,3.0
M,56,17,77,5.0,3.0,2.0,0.0,2.0
M,35,5,991,0.0,3.0,2.0,5.0,0.0
M,35,10,54,0.0,2.0,0.0,5.0,1.0
M,56,0,229,2.0,5.0,0.0,1.0,3.0
M,35,2,300,0.0,3.0,2.0,5.0,4.0
M,25,0,90,2.0,2.0,0.0,5.0,1.0
M,45,17,215,2.0,5.0,4.0,2.0,1.0
M,45,7,191,0.0,3.0,4.0,5.0,3.0
M,50,13,957,2.0,4.0,4.0,2.0,3.0
F,25,1,911,2.0,1.0,1.0,0.0,3.0
M,1,3,13,0.0,3.0,3.0,4.0,0.0
M,56,20,609,0.0,3.0,1.0,0.0,2.0
F,56,15,945,0.0,0.0,0.0,2.0,3.0
F,25,9,488,5.0,1.0,3.0,1.0,3.0
M,35,4,212,0.0,0.0,0.0,3.0,0.0
M,25,7,804,5.0,5.0,0.0,1.0,3.0
M,25,20,13,1.0,4.0,1.0,5.0,0.0
M,35,12,474,2.0,0.0,0.0,0.0,4.0
M,18,4,937,3.0,3.0,0.0,4.0,3.0
M,18,13,984,3.0,0.0,0.0,0.0,0.0
M,25,16,900,4.0,3.0,1.0,5.0,1.0
M,56,9,115,5.0,2.0,0.0,3.0,0.0
M,45,4,22,1.0,1.0,1.0,3.0,1.0
M,45,6,19,3.0,1.0,1.0,1.0,2.0
M,25,6,559,4.0,3.0,1.0,2.0,0.0
M,35,4,144,2.0,1.0,1.0,4.0,3.0
M,25,7,558,0.0,2.0,4.0,3.0,4.0
F,18,2,744,0.0,3.0,1.0,2.0,4.0
M,18,1,555,5.0,5.0,1.0,1.0,3.0
F,35,3,924,0.0,4.0,3.0,0.0,0.0
F,35,19,421,0.0,2.0,0.0,5.0,5.0
M,25,5,577,2.0,3.0,0.0,4.0,4.0
M,18,11,104,5.0,2.0,3.0,5.0,3.0
M,50,20,840,5.0,5.0,2.0,1.0,3.0
F,56,2,802,1.0,4.0,4.0,4.0,0.0
M,45,20,432,4.0,3.0,0.0,0.0,0.0
F,18,8,280,5.0,4.0,5.0,2.0,2.0
M,35,16,850,1.0,5.0,4.0,5.0,1.0
F,18,19,405,0.0,1.0,3.0,1.0,3.0
M,45,9,730,5.0,3.0,1.0,1.0,3.0
M,35,9,550,5.0,4.0,2.0,2.0,5.0
M,25,2,836,2.0,4.0,0.0,0.0,0.0
M,45,16,463,5.0,0.0,0.0,0.0,2.0
