Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
F,25,20,547,1,1,5,2,5,0,3
F,56,9,912,1,2,0,4,3,4,1
M,18,0,445,5,0,2,4,0,1,5
M,45,6,314,1,0,2,0,1,3,4
F,35,14,775,5,4,1,0,0,0,1
M,18,9,923,3,1,2,2,2,1,1
F,25,13,750,4,2,5,0,0,5,2
M,25,19,840,0,2,3,4,4,2,3
F,25,16,197,0,0,0,4,0,0,5
M,25,9,6,0,0,2,3,5,2,3
F,25,11,190,2,0,1,1,0,0,2
F,56,2,708,3,5,5,3,3,3,0
F,45,13,602,5,2,4,5,0,2,0
M,1,7,603,4,3,1,0,3,1,0
F,1,0,379,0,0,1,5,5,0,1
M,25,5,98,1,0,2,1,0,0,1
F,25,7,987,4,2,3,5,3,2,5
F,25,16,837,5,2,4,4,4,0,2
M,35,19,708,5,0,1,3,5,0,0
M,18,20,279,5,0,4,4,4,0,0
F,35,14,345,1,3,0,3,0,3,2
F,45,0,875,0,4,0,5,1,0,3
M,18,4,758,0,5,4,4,0,2,4
M,56,3,793,5,1,2,1,0,1,0
F,18,10,454,3,3,0,4,0,0,3
M,25,20,925,0,4,5,1,0,0,0
M,25,8,77,0,5,0,0,0,3,3
F,35,4,934,0,4,5,0,4,3,3
M,25,20,655,0,3,1,2,5,4,1
F,50,2,79,0,0,3,2,1,1,3
F,45,8,969,2,4,0,0,0,1,0
F,56,17,244,4,3,0,0,5,0,4
M,35,13,466,5,0,4,4,4,0,1
F,25,16,915,2,1,3,1,3,4,0
F,18,5,378,0,0,3,2,4,3,5
F,25,2,131,0,5,4,2,3,4,0
F,25,4,970,2,0,4,1,3,1,0
M,35,4,186,0,2,3,0,0,1,3
F,18,6,430,4,3,1,1,5,0,2
F,56,12,840,4,4,3,2,5,0,3
M,25,8,435,5,0,4,2,0,0,1
F,45,8,925,5,1,3,0,0,1,3
F,56,4,937,3,2,0,5,2,1,0
M,35,13,352,2,4,2,1,4,5,1
M,18,7,912,0,2,4,3,4,0,0
M,45,0,24,2,2,4,4,0,0,0
F,56,12,226,4,1,4,4,0,0,0
F,56,3,244,0,0,1,2,0,1,0
M,25,12,484,1,0,4,4,4,2,1
F,45,17,927,1,1,5,0,2,1,0
F,45,2,33,0,2,3,3,2,4,4
F,56,6,290,4,2,1,4,0,4,3
M,25,16,314,0,1,4,0,0,0,1
M,25,12,606,5,0,3,2,0,3,0
F,45,14,245,2,5,2,1,5,0,0
M,56,1,53,0,2,5,0,2,0,3
M,35,5,24,4,3,0,2,2,0,4
M,25,20,434,5,0,5,0,2,1,0
M,35,15,85,2,4,1,3,5,0,4
F,56,17,633,0,0,5,4,4,5,4
F,1,16,319,2,4,5,4,4,3,0
M,56,9,913,2,0,1,1,4,4,1
F,25,17,330,3,4,1,2,4,0,1
F,35,9,484,0,2,3,5,4,5,3
M,35,7,79,0,0,0,0,4,0,0
M,25,7,143,0,3,0,4,4,1,4
M,18,19,937,2,3,4,0,3,0,0
M,18,9,949,2,5,2,5,4,2,1
F,50,19,361,3,0,3,5,0,5,0
F,35,7,527,3,1,1,0,4,0,5
M,18,9,103,1,0,0,4,0,5,0
M,56,8,777,5,4,1,3,4,0,2
F,25,16,325,0,1,1,0,0,0,3
F,45,9,105,1,1,4,2,4,1,0
M,18,2,563,0,0,3,2,2,0,0
F,1,19,540,1,0,0,2,4,5,0
F,18,1,347,5,0,0,0,4,1,4
M,25,16,480,2,0,5,0,2,0,3
M,45,9,609,4,0,3,0,5,5,5
M,25,13,371,2,3,1,2,0,1,3
F,35,18,972,0,0,3,4,0,1,2
M,56,12,919,0,4,1,5,1,1,0
M,35,0,549,3,3,5,0,4,4,0
M,56,9,142,2,1,4,0,0,0,3
M,18,5,735,1,2,4,0,2,2,0
F,35,16,83,3,4,5,0,2,1,3
M,50,12,37,0,0,3,5,2,2,0
M,1,0,549,2,2,1,5,4,3,4
F,25,3,990,0,5,2,0,0,0,5
M,18,19,371,0,1,5,0,0,1,3
M,18,8,949,0,1,0,0,4,0,3
M,35,19,190,5,2,4,2,5,0,5
M,50,5,280,2,1,0,5,2,0,3
F,1,2,863,3,3,5,5,0,0,5
F,1,9,37,3,0,5,4,0,1,5
M,18,11,27,0,0,4,2,4,2,0
M,50,13,761,3,4,5,4,4,0,2
F,56,16,64,5,0,1,2,0,2,4
M,50,16,274,2,4,5,0,5,4,1
F,25,16,157,0,0,0,1,2,5,5
M,25,4,100,2,0,5,2,2,0,2
M,25,20,985,0,0,2,4,3,1,0
M,25,2,284,4,2,4,0,4,0,0
M,45,9,87,0,3,2,5,4,0,0
F,45,9,307,1,0,4,2,3,5,0
F,1,0,990,0,0,0,3,4,0,4
M,56,6,997,1,0,4,2,0,0,4
F,56,16,110,3,3,3,0,4,0,0
M,45,2,740,0,0,1,2,0,1,5
M,56,7,652,5,4,0,2,0,0,0
F,25,15,523,0,1,0,1,0,1,0
