Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
M,18,19,321,2,3,3,1,1,4,4
M,18,5,70,0,2,1,5,0,0,5
M,50,2,54,5,4,0,2,1,5,3
F,35,14,198,0,0,5,0,0,0,4
M,56,13,53,2,1,0,5,2,4,3
M,50,16,132,1,2,4,0,3,0,0
M,45,15,915,1,0,0,0,3,0,4
M,35,5,81,5,0,4,0,4,2,2
M,45,16,430,4,1,0,1,2,4,0
F,45,18,843,3,0,5,0,0,4,1
M,35,12,111,1,0,1,3,0,5,3
F,45,17,307,0,2,3,1,5,0,0
F,18,2,281,3,0,0,2,0,0,3
M,25,18,803,3,0,3,3,4,3,3
M,18,20,232,1,1,4,3,1,4,1
M,56,17,631,0,0,1,0,1,5,5
F,35,18,904,2,3,3,0,0,0,0
F,35,9,240,5,0,2,0,0,4,0
M,45,3,777,0,5,1,3,0,0,0
M,25,15,41,5,4,2,3,5,1,0
M,18,3,379,5,4,0,4,0,4,2
M,18,4,780,1,5,3,4,5,1,3
F,18,14,813,1,0,3,1,4,5,0
M,45,8,410,1,0,5,5,0,0,5
M,45,9,70,5,3,2,0,3,5,4
M,35,0,220,3,0,3,3,0,1,2
M,56,2,41,4,0,0,5,0,3,1
F,25,6,358,4,4,5,0,4,2,3
M,18,11,431,4,2,1,2,3,2,1
M,18,5,947,1,0,4,0,0,2,5
F,18,2,82,5,0,2,4,3,0,5
M,56,7,66,4,0,2,3,0,1,2
F,35,0,919,4,4,5,5,0,1,5
M,35,18,431,4,4,2,1,4,3,3
M,18,7,796,3,5,2,3,0,0,0
F,45,9,501,0,4,1,0,0,5,4
F,18,0,191,0,3,4,0,5,1,0
M,50,17,794,1,0,2,4,0,2,3
M,18,9,904,5,2,0,4,0,0,0
M,25,5,114,5,2,4,2,2,0,0
M,18,14,928,1,0,0,1,0,0,1
F,18,9,15,0,3,1,3,0,1,5
M,50,5,563,3,3,4,3,5,0,3
M,35,11,454,0,0,2,5,2,0,2
M,35,20,309,4,2,3,4,3,3,4
F,56,2,772,0,2,3,3,5,0,3
M,50,14,146,2,0,5,5,1,4,4
F,25,9,128,5,0,3,4,0,2,0
F,18,8,143,2,0,3,0,0,5,3
M,35,7,320,3,3,5,0,4,5,5
M,45,12,751,2,0,4,4,0,2,4
M,25,7,443,5,4,5,5,3,0,4
F,45,9,69,4,2,4,1,3,5,0
F,45,13,666,3,1,5,3,3,0,0
F,25,2,45,1,4,2,0,3,1,0
M,56,4,905,0,0,4,0,5,4,1
M,35,20,527,3,2,4,4,2,2,0
M,25,0,191,3,0,5,0,5,2,1
F,45,17,483,1,1,5,2,4,5,0
M,1,3,201,0,4,4,1,0,5,0
M,1,7,797,0,2,1,2,5,3,5
M,25,3,907,3,4,1,2,2,1,2
F,18,19,907,2,0,1,2,4,0,0
M,50,20,473,5,1,2,0,1,3,3
M,18,11,103,2,0,1,1,0,5,5
F,35,16,223,5,3,4,0,0,0,3
M,35,14,856,2,4,0,1,0,0,0
M,35,13,744,3,2,1,1,3,2,3
F,18,20,128,1,2,4,1,4,3,1
M,1,17,530,0,4,3,3,5,4,5
M,45,17,540,0,1,1,5,2,3,1
M,1,5,382,2,0,0,3,5,5,2
M,35,18,337,2,0,0,2,3,3,3
M,50,0,29,2,0,5,5,0,4,1
M,25,3,970,5,4,0,3,0,4,1
F,18,12,149,3,0,1,1,1,1,5
M,25,3,130,2,1,1,2,0,2,5
M,25,10,537,1,4,4,2,4,5,4
F,25,6,537,1,2,3,4,0,5,3
F,45,8,358,2,0,4,0,2,2,2
M,25,12,165,0,4,3,0,3,4,1
F,18,16,558,3,1,4,1,0,2,3
M,50,12,144,1,0,3,1,3,0,1
M,45,2,983,5,4,2,5,0,0,4
M,45,20,740,2,0,4,2,0,5,0
M,25,17,421,0,1,1,3,2,2,1
M,50,16,531,1,2,4,3,0,0,5
F,25,3,537,5,2,1,2,0,4,5
M,50,6,180,4,4,1,0,3,1,4
M,45,17,437,3,2,0,3,0,2,3
M,45,0,782,4,2,2,0,0,1,4
F,18,4,309,0,0,3,5,0,3,3
M,35,9,602,4,0,1,5,3,0,3
M,35,4,485,1,0,3,4,4,0,0
M,18,0,772,5,1,4,4,2,0,3
M,25,16,811,0,4,5,2,5,2,2
M,56,5,136,1,0,3,1,5,3,0
M,45,3,452,4,3,0,1,0,0,4
M,18,11,809,3,0,2,1,4,5,2
M,45,19,708,2,0,0,1,1,1,0
M,35,15,850,5,4,4,0,2,0,0
M,45,1,45,1,3,2,1,0,0,2
F,50,1,601,2,2,3,4,4,2,2
M,50,1,770,3,1,3,1,0,0,5
M,25,17,631,3,5,0,3,0,0,1
M,50,4,974,4,5,0,0,0,4,1
M,56,17,943,2,3,2,1,3,1,0
F,25,14,913,5,0,2,0,0,5,5
F,25,20,571,3,1,3,0,0,0,0
M,45,3,838,2,2,5,5,4,5,2
M,45,18,726,4,4,5,1,1,1,2
F,18,4,559,0,0,0,4,4,0,1
M,56,11,751,5,3,2,2,4,0,0
M,45,5,277,3,5,0,2,4,5,5
F,25,4,261,2,0,2,4,3,0,0
M,45,14,319,3,0,5,4,0,0,2
F,25,20,432,0,3,0,0,1,0,0
M,25,20,802,0,5,1,0,0,0,0
M,18,6,926,3,4,4,2,0,2,3
M,45,6,17,1,1,0,2,3,0,3
M,25,12,231,5,0,0,0,5,4,2
M,25,16,198,0,1,3,3,1,5,0
M,18,13,104,3,5,5,1,2,4,5
M,35,18,211,0,5,5,1,0,4,2
M,45,13,773,3,0,2,1,0,3,0
F,18,14,89,5,0,0,1,0,4,2
M,45,2,10,1,0,3,1,1,4,1
F,25,6,457,4,2,5,0,0,0,0
F,25,2,38,3,2,5,1,0,4,4
F,35,0,193,1,0,1,0,2,5,0
F,56,14,290,2,5,2,3,0,0,2
M,18,12,454,0,4,0,4,4,5,4
M,45,10,780,2,2,1,4,1,0,1
M,1,4,427,3,3,0,1,0,1,0
M,25,16,226,2,3,4,0,3,0,0
F,56,6,622,2,1,1,5,0,2,1
F,18,11,705,3,2,3,4,0,0,0
M,35,9,208,5,5,3,3,0,1,1
M,56,5,337,0,5,5,3,4,0,1
M,56,1,279,2,0,2,0,0,0,0
F,50,17,605,4,5,1,3,3,3,0
M,25,20,622,0,4,3,0,4,0,0
F,25,6,730,3,2,0,1,0,0,5
F,45,14,42,0,0,2,5,0,0,0
F,35,14,314,0,5,5,1,4,5,5
M,50,18,921,2,1,1,1,2,3,0
M,35,20,970,0,0,1,3,3,0,3
F,18,1,672,0,5,5,1,5,5,4
F,35,6,112,0,0,4,1,0,0,0
M,56,4,221,2,0,4,1,0,1,4
M,18,12,208,0,0,5,3,0,3,2
M,35,3,775,0,0,5,5,3,1,0
F,25,4,530,0,5,2,1,0,1,0
M,35,3,29,3,0,5,2,0,0,0
F,25,16,303,1,3,2,5,5,3,0
F,25,1,334,1,5,4,0,0,1,3
M,25,16,337,0,1,4,5,1,0,1
F,56,10,88,0,3,3,3,5,1,0
M,45,3,65,1,0,4,0,2,2,0
F,50,14,606,0,2,0,1,4,1,1
F,45,20,935,3,4,5,1,0,0,4
F,45,3,165,5,1,1,2,3,5,0
M,35,13,850,3,0,4,3,4,4,2
M,25,13,947,2,0,1,4,4,1,1
F,35,12,89,2,4,2,1,0,5,0
M,18,7,571,4,4,5,3,4,5,5
M,25,1,970,0,5,3,0,0,0,2
M,50,20,319,3,5,5,0,2,2,2
M,1,11,23,4,2,2,3,0,2,1
F,45,3,826,3,4,5,0,0,0,3
M,35,6,622,2,0,4,1,5,0,5
M,25,0,744,0,0,3,5,0,0,0
M,35,0,813,4,0,4,5,3,0,0
M,35,8,221,0,0,5,0,0,3,3
M,35,7,222,4,1,4,1,2,2,3
F,45,11,65,0,1,4,1,0,4,5
M,50,0,54,2,1,2,5,2,0,2
F,45,1,772,0,1,4,0,0,2,2
M,18,0,544,4,3,5,2,0,0,1
M,56,5,198,2,4,0,1,0,5,5
M,18,13,33,0,0,2,4,3,3,0
M,50,0,641,5,4,3,4,2,0,3
M,56,20,497,4,0,1,3,5,0,3
M,45,20,329,1,5,4,0,5,0,3
F,45,3,705,0,3,3,0,0,4,1
M,25,17,200,0,2,4,0,3,1,5
M,1,16,966,0,2,5,3,4,1,5
F,18,2,482,5,0,1,1,5,5,3
F,35,15,988,0,3,3,0,0,0,0
M,50,3,66,1,0,3,2,3,0,0
F,25,2,410,3,0,2,2,0,0,0
M,25,17,674,3,3,5,5,0,3,4
F,1,20,969,4,5,1,3,1,5,4
M,18,9,114,0,0,3,0,0,0,0
F,1,4,544,5,1,0,5,3,3,4
M,18,9,207,5,0,4,1,2,0,3
M,45,0,937,3,0,1,4,0,0,0
M,56,7,331,0,2,3,1,5,1,4
F,25,4,168,4,2,5,3,0,0,0
M,25,14,914,1,3,4,3,0,3,4
M,45,7,104,4,5,3,3,3,1,3
M,45,20,488,5,5,2,2,0,4,3
F,56,0,914,2,5,5,3,0,4,1
M,35,20,190,3,2,0,1,4,0,4
M,18,9,89,0,0,4,1,0,5,0
F,56,4,462,0,4,4,5,5,3,4
M,18,20,232,0,0,5,4,5,0,4
M,18,3,303,4,2,5,3,2,3,0
F,35,10,633,4,4,5,2,4,5,2
M,45,10,681,2,3,0,5,4,1,3
M,25,14,596,0,0,1,1,0,1,5
M,45,20,54,1,0,2,0,0,3,3
M,35,15,863,5,2,4,0,0,2,5
M,56,20,618,4,1,1,2,4,0,4
M,50,6,525,1,5,5,2,1,5,0
M,18,8,207,1,4,5,3,0,5,1
M,35,12,143,0,0,2,5,2,3,0
M,25,8,469,1,0,5,2,5,0,0
M,50,6,945,0,2,0,0,1,2,5
M,18,6,837,3,4,3,0,5,1,3
M,35,8,376,3,0,4,0,1,5,0
F,45,7,837,4,1,1,0,2,2,1
M,35,12,905,0,5,3,5,4,4,5
M,18,2,161,3,3,4,0,2,0,3
M,18,7,457,0,2,1,4,5,0,1
F,50,12,68,4,4,0,2,0,2,2
M,18,1,88,1,4,1,2,0,0,0
F,50,14,282,4,3,1,5,0,2,4
