Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
M,56,0,115,0,5,4,1
M,25,4,630,0,0,0,0
M,18,2,13,0,5,0,0
F,45,13,959,5,0,3,3
M,35,17,334,4,1,0,4
M,1,17,580,3,0,3,4
F,18,10,354,1,4,4,4
M,1,9,471,4,2,2,2
M,45,13,481,3,0,0,4
M,25,17,229,0,5,5,3
M,35,16,985,0,0,0,5
F,45,14,149,3,3,0,3
M,35,9,196,5,5,2,1
M,25,4,623,0,1,2,5
F,50,19,532,5,2,0,1
M,25,0,319,2,0,1,0
M,25,6,913,0,5,0,5
F,18,16,63,1,5,3,4
F,25,0,786,0,0,0,5
F,18,12,641,2,4,2,5
M,35,12,522,1,0,5,3
F,45,16,208,3,0,3,0
M,35,0,28,4,0,4,0
F,25,3,231,0,0,0,0
M,50,16,130,3,1,0,3
M,45,9,212,1,4,4,3
F,25,10,105,0,0,2,2
M,25,13,38,3,1,1,4
F,45,17,900,4,0,3,0
M,25,19,658,2,0,4,2
M,35,7,144,3,3,3,2
M,45,11,582,5,4,0,0
M,18,6,336,1,0,0,2
F,25,19,625,0,3,1,1
M,50,2,226,0,0,2,1
M,45,0,705,5,2,0,0
M,35,12,871,5,4,3,4
M,50,7,502,5,3,0,5
M,25,0,878,0,3,3,2
F,45,0,894,4,1,3,1
M,18,20,347,5,0,1,2
M,50,5,878,4,5,5,5
F,35,2,959,0,4,0,5
M,25,2,902,4,3,0,3
F,18,9,631,0,3,3,3
M,56,5,261,4,0,0,4
F,18,3,770,0,0,0,1
M,25,5,604,5,0,0,0
M,25,17,471,2,1,3,0
M,25,16,261,1,0,5,1
M,35,16,672,4,5,1,1
M,50,1,720,1,3,0,4
M,18,4,841,1,5,3,0
M,18,15,40,1,4,1,0
M,35,13,953,4,0,0,4
M,50,3,240,3,5,2,0
M,25,14,402,0,0,4,4
M,45,11,488,4,0,2,0
M,35,3,522,0,4,0,0
M,35,19,751,3,3,5,4
F,25,9,453,0,5,3,1
M,25,7,376,1,0,2,3
F,45,2,623,4,4,4,5
M,35,8,616,3,1,2,3
M,18,7,360,0,0,2,0
M,18,20,878,0,2,1,3
F,35,6,741,2,5,0,0
M,56,2,122,4,1,0,4
M,25,6,622,4,0,0,4
M,18,2,190,5,3,4,4
M,25,0,347,0,1,3,1
F,35,19,813,3,1,0,1
F,18,2,469,5,0,2,1
M,1,20,750,1,1,4,1
F,1,3,765,3,0,0,5
M,1,16,726,1,0,0,4
M,25,14,804,0,3,3,0
M,45,17,986,4,4,4,0
M,25,19,224,0,4,5,0
F,35,7,113,2,1,0,5
F,45,3,937,2,0,0,4
M,56,2,285,0,0,0,0
F,1,4,18,4,2,3,0
F,50,4,31,4,5,5,4
F,45,7,773,0,3,1,5
F,56,18,132,5,0,1,0
F,45,0,993,3,3,4,3
M,56,9,198,2,3,3,0
F,45,12,618,1,4,5,0
F,50,8,655,4,4,0,2
F,45,9,490,3,2,5,3
F,25,6,336,5,0,4,4
M,25,7,559,2,5,1,4
M,25,17,273,0,0,2,0
M,56,17,193,5,1,5,0
M,25,16,535,4,4,4,1
M,35,18,914,3,3,2,0
F,35,11,208,5,0,2,4
F,35,4,701,5,4,5,0
F,45,11,460,1,5,0,5
M,45,7,945,2,2,3,0
M,18,8,402,1,0,3,4
M,35,15,261,4,4,3,2
M,25,6,631,1,0,3,2
F,50,1,148,0,1,3,5
M,1,5,18,3,4,0,0
M,56,4,531,0,3,5,4
M,1,12,765,0,0,5,0
F,18,3,486,0,0,5,2
F,25,15,19,4,2,5,5
M,25,20,265,5,0,4,4
M,35,6,362,4,4,3,2
F,50,1,280,2,1,1,0
M,35,6,296,3,5,3,0
F,50,17,640,4,5,1,4
M,18,16,77,0,5,5,2
M,45,8,940,1,3,0,1
M,18,3,378,0,5,1,4
M,45,10,432,0,4,2,5
M,35,5,38,4,2,0,4
M,18,7,840,1,3,3,1
F,18,9,235,0,4,4,0
M,25,15,547,5,5,3,4
F,56,4,296,4,0,3,4
F,18,15,804,1,1,4,3
M,1,0,629,1,0,4,0
F,18,2,220,4,0,1,0
M,45,8,764,0,5,2,0
F,45,17,815,2,2,0,5
M,35,7,362,0,0,0,1
M,45,16,30,2,0,3,0
M,35,1,708,0,2,0,1
M,25,20,485,5,0,2,0
M,35,20,902,3,1,0,4
M,18,3,148,0,3,2,4
M,25,1,797,1,4,5,0
M,25,13,146,0,0,2,4
M,25,13,915,4,0,0,0
M,1,0,284,2,0,5,3
F,50,0,805,3,0,2,2
M,50,10,111,4,0,0,0
M,56,5,454,2,3,0,5
F,1,3,560,5,0,1,1
M,45,14,830,0,3,1,0
F,18,7,522,0,1,0,0
F,35,16,431,4,4,0,0
M,25,6,906,3,5,0,2
