Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
F,35,10,150,0,0,4,0,3,3,1,1,2,4
M,35,3,640,5,0,4,3,3,5,1,1,5,4
F,56,16,193,0,4,4,5,5,1,0,0,2,1
M,1,17,940,0,1,2,2,2,3,3,5,3,0
F,18,13,336,0,1,0,0,3,2,5,5,1,5
F,1,12,590,3,2,5,0,5,2,3,5,3,4
F,50,10,118,1,3,3,2,4,4,3,2,2,0
M,56,3,323,4,4,3,2,5,0,1,0,5,4
F,50,20,486,4,2,4,0,3,0,0,2,4,4
M,50,0,19,0,1,4,4,4,5,2,1,5,5
M,56,12,492,3,3,0,5,0,2,3,4,5,1
F,25,2,813,4,5,0,5,2,1,0,0,0,5
M,18,6,215,0,0,4,1,1,0,2,3,0,4
M,56,12,802,4,4,1,3,2,5,0,0,2,1
M,25,12,69,4,0,3,0,0,2,1,3,4,3
M,50,13,61,5,3,2,3,4,5,3,4,1,0
M,56,17,215,5,2,3,5,0,4,5,4,0,0
M,50,9,967,0,1,5,1,0,3,4,5,1,5
F,25,7,103,5,1,1,3,0,5,2,3,2,3
M,50,8,947,2,1,4,5,5,0,2,5,3,3
M,18,20,434,4,2,4,4,2,2,2,2,4,4
M,56,9,143,3,2,3,5,2,5,1,3,5,1
F,56,4,484,2,2,4,0,4,1,2,0,5,0
F,50,4,700,2,2,5,5,5,2,0,2,5,1
M,18,1,56,4,1,0,0,3,4,1,2,4,5
F,25,3,240,4,4,4,5,3,0,5,0,0,3
M,45,3,286,4,4,1,4,1,5,5,0,5,2
M,50,9,990,1,4,1,5,2,2,1,0,5,3
M,18,7,525,4,5,4,0,0,0,4,5,1,1
M,45,15,297,5,4,5,0,0,3,0,4,0,1
F,18,2,878,2,2,5,5,5,4,3,4,5,4
F,25,15,933,5,5,0,3,1,2,0,0,1,0
F,56,6,434,2,4,5,0,2,4,3,2,0,5
M,1,8,347,1,2,4,5,1,5,3,3,3,4
F,35,6,547,5,1,3,4,5,3,4,1,3,5
F,1,17,140,5,5,3,2,2,4,1,1,1,5
F,25,16,560,1,1,3,5,3,3,1,5,4,4
M,50,1,103,5,2,3,3,2,5,0,4,5,0
F,50,17,285,5,4,0,3,2,5,1,3,5,4
F,45,16,613,3,0,4,4,3,0,5,3,3,4
F,35,8,377,3,3,1,3,5,3,1,5,5,3
F,50,16,90,0,5,4,5,0,0,5,4,3,5
M,18,13,402,0,4,4,3,0,5,4,4,0,4
F,1,7,41,5,2,1,0,3,0,2,2,2,0
F,18,19,229,5,3,0,0,5,1,3,2,4,5
F,45,18,800,3,5,1,0,3,3,5,3,0,4
M,25,4,544,4,3,0,3,3,3,1,1,1,4
