Gender,Age,Occupation,ZIP-code,673,810,1073,1126,1702,2100,2174,2253,2797,3393,3466
F,35,6,442,3,0,3,1,3,3,4,3,2,4,0
F,35,3,144,2,0,0,0,0,2,5,4,0,0,0
M,45,20,935,0,1,5,5,5,2,3,5,1,5,0
F,25,14,157,5,3,3,0,5,4,5,3,0,4,0
M,1,15,146,5,0,0,0,0,5,0,4,1,3,4
M,35,9,120,0,4,4,3,0,3,2,4,3,0,5
M,25,10,787,1,0,5,5,3,0,3,4,1,1,0
M,1,14,196,0,3,5,3,3,3,3,3,5,0,4
M,25,20,983,0,0,0,5,0,2,3,0,3,2,1
F,56,18,128,0,0,3,1,0,4,3,1,4,4,5
F,25,4,279,2,4,4,1,1,5,0,3,2,1,0
M,56,2,261,1,0,2,0,1,0,1,1,0,3,2
M,45,19,168,1,2,1,1,4,0,2,3,4,2,0
F,45,11,286,4,1,0,4,3,0,0,4,2,5,4
M,25,2,786,0,0,4,0,0,1,0,0,0,0,0
M,35,15,191,2,0,3,0,0,3,3,1,4,3,3
F,1,17,484,0,0,3,0,3,3,2,1,3,2,0
M,50,5,165,0,0,0,5,0,5,3,0,3,0,2
M,45,2,920,2,1,3,5,4,0,4,4,4,4,0
F,45,1,430,4,1,2,0,0,4,2,0,3,0,0
F,35,12,838,2,0,0,5,0,4,0,3,0,2,3
M,18,20,212,2,1,5,3,0,0,2,1,5,1,2
F,35,6,468,2,0,4,1,4,2,3,4,1,2,3
M,50,17,190,3,0,1,5,0,3,5,3,2,0,0
F,50,17,165,0,0,5,0,4,0,0,2,4,2,2
M,25,19,286,0,0,2,0,0,3,3,0,5,2,0
F,1,0,193,0,0,1,0,0,3,2,2,5,0,5
F,35,4,146,5,0,3,5,1,0,2,1,3,0,4
F,35,2,297,1,3,2,5,4,0,0,4,0,0,0
F,1,16,123,3,3,1,5,0,3,4,2,5,1,0
F,18,7,253,0,4,4,1,0,0,0,0,0,5,5
F,35,9,50,1,0,0,0,0,0,2,0,5,4,3
M,45,4,45,4,1,5,0,0,3,0,0,5,4,0
M,45,20,900,3,0,4,5,0,4,3,5,4,5,3
F,25,7,627,0,4,1,0,1,5,0,0,0,0,3
F,25,0,584,2,0,2,5,0,3,4,0,1,3,4
M,50,6,968,2,0,4,4,0,4,4,2,2,2,5
M,25,1,991,0,4,4,1,1,1,0,4,5,2,4
M,45,12,346,5,2,5,3,0,4,4,0,4,5,3
F,45,2,943,3,1,2,3,0,2,2,2,1,2,0
M,45,10,522,2,4,2,1,2,4,4,0,5,4,0
M,50,0,770,2,2,4,0,0,3,0,4,2,5,0
M,50,5,131,0,0,0,0,0,0,3,2,1,2,1
F,56,9,959,1,4,4,0,4,4,4,1,4,0,0
M,45,1,66,5,2,0,4,3,0,4,0,4,2,0
F,56,1,843,0,0,1,0,1,1,1,0,4,1,0
M,35,10,421,0,1,1,2,3,3,3,1,4,2,5
F,35,7,953,3,4,4,5,0,3,4,3,2,0,0
F,35,17,993,1,3,1,0,0,3,4,2,4,0,0
F,18,16,314,4,0,0,5,3,3,2,0,3,0,3
M,56,13,443,3,0,1,0,3,0,4,0,0,3,0
M,18,10,6,4,1,4,0,1,4,3,4,4,5,2
F,56,20,221,2,0,5,0,0,2,4,0,4,0,0
F,18,2,559,1,4,5,1,4,0,3,3,4,5,3
F,35,15,465,3,2,5,0,4,3,1,4,4,1,4
F,50,16,272,3,2,3,5,4,3,4,1,2,3,4
M,18,12,313,3,1,2,0,0,3,1,1,4,2,3
F,18,3,598,4,3,1,2,1,0,0,4,0,0,5
F,50,9,987,5,4,4,4,2,1,0,0,0,2,4
F,25,18,334,0,1,1,3,0,2,2,2,0,4,0
M,25,18,220,4,3,4,4,0,2,5,1,2,1,0
M,35,15,949,0,0,4,2,0,4,4,4,2,0,0
F,25,20,801,0,2,3,0,5,4,0,3,2,1,2
F,1,0,780,1,4,3,0,0,3,0,3,1,2,1
F,18,8,354,4,4,4,1,3,1,2,1,4,0,0
M,50,18,741,2,1,0,0,0,1,2,1,5,0,4
F,35,1,609,4,2,5,0,4,0,2,1,0,3,0
F,25,3,200,0,0,0,0,0,5,4,0,2,1,3
M,35,11,128,2,1,2,3,4,3,4,2,2,0,4
F,25,15,833,1,0,3,5,1,0,1,5,0,0,1
M,35,8,532,2,2,0,3,5,0,3,1,4,1,3
F,45,14,925,3,0,5,0,0,0,2,0,5,0,2
M,35,6,916,3,0,1,0,0,0,3,0,1,0,4
M,25,9,813,3,3,1,2,0,3,5,0,3,0,3
F,56,20,319,5,4,1,1,0,1,0,4,3,1,0
F,35,16,458,4,1,3,4,1,4,3,0,4,0,0
M,45,11,275,0,0,5,4,1,3,2,2,0,5,4
M,35,7,165,0,0,5,4,1,4,3,0,0,0,3
F,25,3,358,0,0,3,0,3,4,4,0,5,0,0
F,25,2,912,1,1,0,0,2,0,0,0,3,0,0
M,45,4,895,0,4,4,0,0,0,5,1,3,0,4
F,35,8,524,0,0,4,0,0,2,3,5,0,2,2
F,50,15,76,0,2,5,2,0,0,0,0,4,4,0
M,1,9,312,2,3,4,3,1,3,3,2,1,2,3
F,1,13,427,1,2,5,3,0,3,3,4,0,0,5
F,50,12,744,2,1,2,3,2,3,4,5,0,0,5
F,35,17,12,5,2,3,1,3,1,0,1,2,0,2
F,25,6,600,2,0,5,3,2,0,4,0,5,4,0
F,18,1,498,2,0,1,1,4,0,4,4,4,0,4
F,45,11,329,0,3,5,0,0,3,2,3,2,0,4
F,18,8,180,2,0,0,0,0,4,4,0,5,2,5
F,50,10,421,0,0,4,5,0,2,3,5,5,0,0
M,45,2,655,2,0,5,3,0,0,0,3,4,4,0
F,50,1,330,2,0,5,0,5,0,3,4,3,1,3
F,1,19,441,5,0,1,2,0,0,1,0,0,0,0
F,45,5,26,0,0,2,5,0,0,3,5,2,1,3
M,25,4,235,1,0,2,0,1,2,2,0,5,1,1
F,18,9,69,0,3,0,3,0,2,5,0,4,5,5
M,45,0,952,1,0,0,0,1,0,4,1,0,2,0
