Gender,Age,Occupation,ZIP-code,673,810,1073,1126,1702,2100,2174,2253,2797,3393,3466
F,50,16,871,5,4,1,2,1,3,2,2,5,3,4
M,25,20,797,5,3,4,4,3,1,3,4,4,5,0
F,45,17,559,2,2,5,5,5,4,1,4,4,1,0
F,18,2,447,0,0,2,5,2,4,4,4,3,0,3
M,25,4,223,0,0,3,1,3,4,4,5,4,4,0
M,18,19,26,1,4,3,1,5,1,3,5,3,2,0
M,45,18,105,0,5,4,4,0,5,1,0,4,1,4
M,25,19,493,2,3,3,1,2,2,5,0,4,0,0
M,18,5,756,4,1,3,0,4,4,1,3,1,0,5
F,56,11,115,1,2,2,1,3,3,1,2,5,2,0
M,35,7,320,2,2,3,2,1,5,1,1,4,3,3
F,56,7,41,1,3,5,3,0,4,4,1,5,4,5
F,18,16,77,2,0,1,5,2,5,4,0,4,3,1
M,1,13,230,1,0,0,1,2,4,5,1,4,3,3
M,1,8,482,2,4,0,0,5,4,3,4,1,4,2
M,18,10,952,0,0,3,0,0,1,5,1,3,1,0
F,45,0,339,0,4,4,3,0,4,4,0,4,0,4
M,18,14,42,5,3,4,5,3,2,4,0,1,1,0
M,25,7,360,0,2,2,0,3,2,3,0,4,1,3
M,25,1,630,2,0,0,1,0,2,1,5,5,0,0
M,25,4,454,0,0,5,1,3,1,2,1,5,1,5
F,35,19,744,5,2,1,1,2,5,3,2,3,4,3
M,35,17,333,0,3,3,5,1,1,1,1,3,5,4
M,35,18,338,1,0,0,1,0,5,2,0,1,0,4
M,35,4,282,0,0,0,0,3,2,2,0,5,5,0
M,50,7,42,2,2,2,5,5,0,1,1,5,1,0
F,25,0,211,3,3,5,0,3,1,1,3,1,0,0
F,50,12,234,0,3,1,0,0,5,1,5,2,1,2
F,18,2,274,2,0,3,0,1,1,2,0,1,4,0
M,25,2,612,0,5,3,3,3,1,2,0,4,0,0
F,45,7,965,2,1,3,0,0,3,3,0,5,2,2
M,35,12,913,2,0,5,0,4,5,5,2,3,4,3
F,56,11,850,0,2,2,5,2,1,1,3,5,1,5
M,25,11,347,0,4,2,2,0,2,1,0,2,0,0
M,35,14,77,1,2,1,4,2,1,3,3,4,1,0
F,56,5,24,1,1,4,5,2,5,1,2,3,3,4
F,18,3,907,1,3,5,4,0,3,2,5,3,0,3
M,56,9,809,4,2,4,2,0,4,3,0,5,0,1
F,45,1,838,4,2,5,3,4,4,4,3,0,2,5
F,1,1,773,2,4,1,1,1,2,2,0,1,2,3
M,25,4,338,3,0,1,5,0,1,4,4,4,5,0
