Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
F,35,1,977,3,1,5,4,2,2,0,0,4,2
F,45,1,934,0,4,1,4,4,1,0,0,5,0
M,18,10,856,0,5,1,3,2,4,5,3,2,1
M,25,0,550,3,1,4,3,4,1,3,2,0,0
F,1,11,230,0,5,0,0,5,4,2,0,0,2
F,25,16,15,4,3,1,4,0,0,0,0,4,3
F,35,2,66,5,5,1,1,0,4,0,4,0,3
F,18,19,105,4,2,5,0,0,2,4,0,5,0
M,35,14,775,0,3,1,0,4,0,5,4,1,0
M,56,15,360,0,1,3,5,5,3,5,2,3,5
M,45,19,170,1,5,0,2,3,5,2,1,3,0
F,35,3,193,2,1,4,5,0,5,5,3,5,4
M,35,11,108,5,0,5,4,1,5,1,0,4,0
F,45,13,554,3,4,5,4,4,5,0,5,4,0
M,18,19,857,5,1,0,0,3,2,0,0,0,4
M,50,7,381,4,4,4,5,0,0,0,0,0,3
M,1,8,672,5,4,4,3,0,1,4,0,3,4
M,1,0,836,0,1,3,1,3,0,1,4,4,4
M,45,9,701,1,0,5,2,2,1,0,5,4,2
M,56,5,895,4,5,5,0,0,0,0,4,0,0
F,18,6,503,5,5,4,4,1,2,2,5,4,4
M,25,15,441,0,0,0,5,2,2,0,0,2,5
F,56,2,460,4,0,4,3,4,1,1,1,4,3
F,1,7,16,1,1,2,1,4,4,4,0,4,2
M,35,6,940,0,0,1,0,0,4,0,5,0,5
F,25,4,840,4,2,3,2,3,0,3,4,3,5
M,1,17,730,1,4,1,4,4,4,3,3,4,3
F,50,6,127,2,5,0,0,1,1,0,5,5,5
M,50,20,793,2,5,0,3,4,3,4,5,0,4
F,56,16,943,3,0,4,5,5,2,4,4,1,0
F,18,3,547,1,5,2,0,0,2,4,0,4,3
M,45,18,6,5,5,2,0,1,0,5,5,3,0
F,25,7,944,0,3,4,0,0,5,5,2,0,0
F,50,1,83,4,4,3,5,2,3,1,0,1,4
M,18,12,805,4,5,4,4,3,1,0,5,1,0
M,25,18,485,5,5,4,1,0,0,0,4,0,2
F,18,10,19,5,2,1,1,0,4,0,2,0,3
F,35,7,640,5,1,5,5,0,0,0,5,0,0
M,50,5,265,0,1,3,3,3,0,1,5,3,0
M,25,7,760,0,0,3,5,4,0,0,1,2,4
M,1,5,982,2,2,5,1,0,4,4,0,3,0
F,45,19,6,4,2,1,4,3,1,0,0,0,0
F,35,10,972,1,2,5,0,3,0,1,4,5,2
F,56,12,610,3,0,1,5,0,0,4,5,1,0
M,50,19,613,2,4,5,0,1,3,0,0,4,3
F,18,13,20,1,3,3,2,4,5,0,1,4,1
F,1,10,975,3,5,2,0,3,4,0,2,0,3
F,35,1,31,5,5,1,0,0,3,0,0,3,0
M,56,5,895,1,2,3,2,0,0,0,4,0,1
M,35,10,800,2,5,2,4,4,2,1,3,0,1
M,25,17,743,2,2,4,5,0,3,0,0,2,4
F,45,1,103,5,5,0,0,2,0,2,0,0,2
F,45,16,953,0,3,3,4,1,3,3,0,0,5
M,25,8,20,3,0,3,0,0,1,3,0,3,5
M,18,8,221,0,4,2,5,3,3,1,0,2,3
F,45,20,281,0,1,3,4,2,5,3,1,4,3
M,25,17,802,3,3,4,4,0,3,0,0,0,4
F,18,5,148,3,1,1,3,3,4,0,4,1,5
M,50,14,406,4,0,3,3,5,0,3,3,0,1
F,35,5,544,1,3,0,2,5,2,1,0,3,1
M,35,4,833,3,4,1,3,0,0,5,3,1,0
M,50,17,146,5,0,1,0,3,5,0,0,5,3
F,18,8,930,2,1,2,4,0,0,0,0,0,1
F,45,6,750,5,5,5,4,1,0,0,2,0,0
M,56,11,253,5,5,0,0,1,3,4,3,3,3
M,25,9,120,0,2,1,1,2,5,5,0,4,0
F,18,13,914,0,3,1,5,0,3,4,0,4,4
F,1,3,830,1,3,2,0,3,0,0,0,0,0
M,25,13,465,4,2,4,4,3,1,0,1,1,2
F,50,16,610,2,5,4,1,5,5,4,1,2,0
M,45,19,778,0,0,3,0,0,5,3,0,4,4
F,25,5,674,0,0,4,1,0,1,4,2,1,0
F,45,11,972,5,2,5,4,2,3,0,0,0,5
F,50,13,900,3,4,5,0,0,1,3,0,2,4
M,18,14,15,5,2,1,0,3,5,3,1,3,0
F,18,20,527,3,0,0,4,4,0,0,1,0,4
M,50,6,622,4,4,4,3,0,3,4,0,0,5
F,35,3,939,5,2,4,4,1,0,2,0,0,1
M,18,16,857,5,1,5,1,1,0,0,3,3,2
F,45,19,782,4,4,3,4,0,0,3,5,0,3
M,35,16,805,3,5,5,1,2,4,4,0,2,4
F,56,17,80,0,3,2,5,0,0,5,2,3,4
M,1,4,555,3,1,3,3,1,5,0,2,2,0
M,45,9,987,5,4,1,4,0,1,2,2,1,1
M,1,6,105,5,4,5,1,4,1,3,4,3,3
F,1,10,497,3,3,1,0,5,4,5,4,1,1
M,56,9,330,2,4,5,3,2,0,5,5,4,3
F,35,19,920,4,1,5,1,2,0,4,0,5,5
M,1,7,966,1,5,2,0,0,4,5,5,4,1
M,45,1,847,4,3,2,1,3,1,3,0,1,0
M,35,16,674,1,5,4,0,0,0,1,4,5,0
F,56,15,140,2,3,0,0,5,0,4,0,1,0
M,18,3,146,2,4,5,4,5,0,3,0,4,0
M,25,19,972,0,1,2,4,0,0,4,5,1,0
M,45,16,622,2,5,4,0,0,5,0,3,0,2
M,25,9,446,4,1,5,0,0,0,4,5,5,4
