Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
F,25,3,191,5,0,0,0
M,25,18,146,0,0,0,0
M,35,10,598,1,0,3,4
F,25,2,103,1,0,1,0
M,25,11,780,2,0,0,0
M,35,12,371,2,4,0,2
F,50,19,197,3,3,2,4
F,18,9,64,3,0,0,0
M,25,17,544,2,0,5,0
F,18,17,488,2,3,4,3
F,56,19,950,0,3,0,0
M,35,14,457,5,1,1,3
F,50,1,279,3,2,0,4
M,18,2,942,1,0,0,0
F,35,14,758,2,4,3,2
M,25,17,773,4,3,5,0
M,25,7,482,0,5,2,4
F,56,16,171,0,3,0,0
F,25,20,338,5,2,5,0
M,18,15,833,0,0,0,0
F,50,10,122,1,5,0,3
M,45,19,977,5,4,4,2
F,18,9,23,5,1,2,3
F,1,20,680,5,1,3,0
M,56,15,272,3,0,1,0
M,18,15,373,3,5,0,3
M,45,14,523,5,0,4,0
M,25,20,983,3,4,0,1
F,45,17,474,4,1,0,3
M,1,16,780,1,3,1,0
M,25,20,660,0,0,0,0
M,25,1,495,2,0,5,0
M,56,11,700,5,3,1,3
M,25,6,540,3,0,0,0
M,25,7,320,2,1,3,2
M,56,12,790,5,5,4,4
M,25,19,178,1,1,0,1
M,50,0,18,3,0,3,0
F,25,17,485,5,1,0,0
M,25,2,180,5,2,0,1
M,56,13,303,2,2,3,3
F,45,12,421,2,2,0,0
M,56,8,79,5,0,4,3
F,35,7,970,3,0,2,4
M,1,1,658,2,4,4,3
M,35,15,193,4,0,4,0
F,35,18,103,5,4,5,5
M,45,11,78,2,0,1,0
F,56,6,906,0,0,5,0
F,56,15,100,2,4,4,4
F,25,7,331,0,2,5,0
M,18,20,431,2,0,5,0
F,25,15,309,2,0,0,0
M,18,12,966,0,4,0,2
M,56,0,228,4,2,3,1
M,56,7,142,1,5,1,1
F,35,6,705,2,0,0,0
F,25,8,551,4,1,0,0
M,25,11,605,5,0,1,0
F,1,13,312,5,5,3,3
M,25,1,966,5,0,0,0
F,25,5,727,0,1,0,2
M,35,8,537,1,1,0,0
F,35,11,891,1,5,0,0
F,25,1,431,3,3,4,1
M,50,2,553,0,1,4,0
M,45,4,461,2,5,0,2
F,18,5,69,5,5,3,5
M,25,15,627,0,4,0,0
F,1,13,372,4,0,3,3
F,1,20,923,2,0,2,3
M,18,3,493,3,0,0,0
F,50,16,111,1,4,3,4
M,25,11,498,5,0,2,0
F,35,0,286,2,5,3,5
F,1,0,208,0,1,5,3
M,45,7,953,2,0,0,0
M,50,11,633,2,4,5,4
F,56,17,931,3,2,0,3
F,45,15,377,2,0,1,1
M,25,3,905,0,0,1,0
F,56,1,540,2,3,3,3
M,50,20,930,0,3,0,2
M,50,7,190,3,0,0,0
M,50,4,674,0,0,5,0
F,45,8,424,3,3,0,4
M,45,1,224,3,0,0,0
F,35,11,900,3,2,1,0
M,56,5,433,2,1,5,4
M,25,15,80,1,5,0,1
F,1,9,347,3,3,1,3
F,18,19,550,1,4,0,3
M,1,11,484,4,3,1,0
M,35,19,273,1,0,0,3
M,25,9,662,0,0,4,0
M,56,4,211,5,0,2,0
F,25,9,486,4,0,5,0
F,56,18,229,1,4,3,2
F,45,18,286,2,5,4,0
F,35,1,333,4,3,1,5
F,25,9,549,1,0,0,1
M,45,17,132,4,3,1,5
M,1,9,501,0,2,2,5
M,25,19,26,2,4,0,3
M,1,9,279,1,2,4,1
M,56,18,557,0,4,0,1
F,18,11,940,4,4,0,0
F,56,15,165,0,4,0,0
M,25,11,191,3,4,0,1
M,1,15,307,5,5,2,2
F,56,10,10,0,2,0,2
M,25,3,954,0,1,0,3
M,1,14,381,3,4,5,1
M,50,18,681,1,0,0,5
M,35,15,741,5,5,3,2
M,18,3,840,2,4,3,0
M,25,15,597,5,0,5,0
F,45,17,914,4,5,4,0
M,1,7,503,1,4,4,0
F,50,17,193,4,0,0,0
M,25,2,805,4,4,0,0
M,25,19,782,4,0,0,0
F,25,7,61,5,0,0,0
M,25,17,166,5,4,0,0
M,56,18,813,1,0,2,5
F,50,15,501,3,2,0,5
M,56,12,13,3,0,0,3
M,18,17,553,0,0,2,5
F,25,9,33,4,0,3,1
F,25,5,503,1,3,5,0
F,50,9,727,0,2,4,0
M,35,11,193,0,0,4,0
F,50,4,811,2,0,0,0
F,50,10,612,5,4,0,3
F,35,5,465,2,1,0,2
F,35,15,191,5,4,0,1
M,50,7,820,1,2,2,2
M,45,7,921,0,3,4,3
F,35,1,12,2,0,0,0
F,25,10,934,1,1,5,2
M,25,18,114,5,3,5,1
M,25,7,553,4,0,0,0
M,25,17,941,4,3,0,4
F,35,19,790,0,2,1,0
F,56,12,89,4,4,3,1
F,50,19,841,3,0,3,0
F,25,16,82,5,0,5,0
M,25,1,836,2,0,0,0
F,1,15,345,0,2,2,4
F,56,10,917,4,4,0,4
M,18,5,503,1,1,2,4
F,50,13,484,5,3,2,3
M,35,13,120,4,4,0,5
F,35,15,406,2,1,4,2
F,25,9,981,1,1,0,0
M,1,10,640,3,5,1,1
F,25,16,943,4,0,0,5
F,56,18,462,2,4,2,0
M,25,8,953,2,5,0,0
M,1,8,631,3,3,5,0
F,1,9,78,2,1,1,3
F,1,14,286,5,1,1,0
M,35,13,582,3,1,0,0
M,35,7,902,5,0,2,0
M,45,9,193,0,4,0,2
F,18,19,863,0,1,4,2
F,25,3,797,0,0,3,4
M,56,17,70,5,2,0,4
F,50,5,727,0,2,1,3
F,18,4,24,4,3,1,0
M,56,8,405,2,1,2,5
M,25,4,554,0,2,2,5
M,18,8,231,3,2,3,0
M,56,2,904,5,2,2,0
M,56,13,100,1,5,3,4
M,25,11,977,5,0,4,4
M,35,2,987,0,0,0,0
M,56,14,380,4,2,0,3
F,18,4,601,2,1,1,3
M,35,7,41,5,2,4,0
M,56,14,15,5,1,4,1
M,25,15,100,4,0,2,0
M,56,18,329,4,2,3,0
F,25,10,223,3,0,0,0
F,35,17,959,0,2,2,4
M,25,4,685,4,0,0,1
F,25,4,672,1,0,0,0
M,35,18,920,5,4,0,0
F,18,0,853,4,0,0,2
F,1,5,458,5,4,1,0
M,25,13,232,1,5,4,4
F,25,16,88,0,0,2,4
F,25,11,18,0,5,3,0
F,56,6,83,1,2,0,5
F,56,2,705,0,0,2,4
M,56,2,30,5,2,0,0
F,35,0,23,5,0,0,0
M,25,15,453,5,3,0,3
M,50,3,894,3,0,5,0
M,35,9,485,3,4,3,0
F,35,18,64,5,0,4,0
M,35,8,597,2,2,2,4
F,56,19,81,2,5,0,4
F,18,1,968,4,5,2,1
M,25,11,262,3,4,5,0
M,35,11,544,2,2,4,0
M,18,5,358,0,0,0,2
M,56,19,482,3,1,5,0
M,25,17,319,3,4,0,0
F,25,9,302,5,4,0,2
M,50,11,74,5,0,5,3
M,25,7,923,5,1,0,5
M,25,3,143,3,0,3,0
M,1,11,261,5,4,1,0
M,25,20,28,4,4,3,0
M,25,5,907,0,5,0,1
F,56,6,760,0,5,0,0
M,1,17,20,4,0,3,0
F,50,7,520,3,5,3,4
F,25,15,173,3,0,0,0
F,50,0,276,4,1,0,0
M,35,11,912,2,3,5,5
M,56,8,990,5,5,5,4
F,35,16,794,1,5,5,3
M,56,7,358,3,1,0,2
M,56,0,547,1,4,1,0
F,50,10,436,2,2,5,1
F,25,9,272,5,0,5,1
F,56,9,935,4,2,3,3
M,18,20,206,1,0,0,0
F,1,19,336,4,2,1,4
M,18,17,466,4,0,5,1
M,35,8,894,0,5,0,0
M,56,2,452,3,4,5,2
M,56,9,730,1,3,4,4
F,35,2,178,0,2,4,4
F,56,17,958,2,5,4,5
M,18,20,811,4,0,0,0
M,18,7,598,1,0,2,0
F,45,9,232,1,3,3,2
M,35,0,70,4,0,4,0
M,25,0,997,1,0,0,1
M,18,10,891,0,3,1,4
M,45,10,312,1,2,4,2
M,1,11,31,4,5,5,4
F,35,1,674,2,2,5,0
M,25,11,598,1,0,1,0
M,25,5,328,1,0,1,5
F,50,0,990,5,2,0,0
M,1,15,143,1,4,1,5
M,56,0,931,2,1,5,2
F,25,5,209,0,5,0,5
M,18,15,900,2,3,0,4
F,45,6,212,5,2,5,5
F,35,15,171,3,5,3,4
F,25,14,16,2,4,3,2
F,18,8,178,5,3,2,3
F,45,14,275,2,4,0,0
M,18,17,488,0,3,0,0
M,56,15,372,0,0,0,0
M,1,11,31,0,4,3,0
F,18,8,997,1,5,3,0
M,56,10,302,1,5,5,4
M,50,4,965,5,0,0,4
M,18,9,83,5,3,3,1
F,56,5,953,5,3,3,0
F,50,6,378,0,5,5,3
M,50,15,287,3,0,3,0
F,35,20,361,4,5,3,2
F,25,17,194,1,5,4,3
M,18,8,378,2,4,0,0
F,25,1,803,2,1,4,1
M,56,0,627,2,3,5,5
F,56,11,559,3,0,5,0
F,56,8,21,0,1,5,4
F,35,17,329,0,2,0,0
M,35,5,190,5,3,0,3
F,56,14,790,1,5,0,4
M,25,2,379,0,3,0,1
F,1,7,603,2,1,2,3
F,35,13,949,1,3,4,0
M,1,4,503,4,0,2,4
F,25,5,704,0,0,1,0
F,35,17,206,5,0,1,0
M,45,17,42,2,0,4,0
M,45,7,482,4,3,0,0
M,45,7,974,2,5,5,3
M,45,2,902,4,4,2,4
M,18,6,210,4,0,0,0
M,18,11,200,0,0,5,0
M,18,17,443,1,0,0,2
M,56,11,530,5,4,2,4
F,35,0,597,5,3,0,0
F,56,17,313,5,3,4,1
F,35,10,458,3,2,0,4
