1073,798535
1967,319928
1750,529289
1009,228972
2043,367102
1525,945798
673,421713
1525,576498
2628,455856
2043,989004
260,845173
2253,947169
1881,547724
2043,877269
3479,835560
3439,709533
2043,524419
2,339271
260,25436
1967,996983
2043,26864
260,787161
2086,120813
1702,336614
1525,813014
260,556803
260,348662
1525,892210
2105,538347
56,268633
810,242162
2253,970531
2,522982
2105,539771
2253,639843
260,242563
1073,196974
2105,100645
2968,439010
2174,854677
56,371657
1967,374358
260,36114
673,364202
673,661458
2086,796763
885,916355
2043,799071
653,424435
3489,971949
