Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
M,18,19,21,5,5,0,2
M,35,14,489,5,0,0,0
F,45,10,334,5,0,0,0
F,56,10,794,0,0,0,0
F,1,8,462,1,1,2,4
M,25,6,532,4,5,3,2
F,35,9,339,1,5,3,0
M,18,16,531,0,4,3,0
M,1,15,81,2,0,1,4
F,45,8,655,3,0,4,3
F,56,0,987,3,3,5,0
M,56,2,805,0,4,1,3
F,25,12,121,0,0,0,3
M,35,15,325,0,0,2,0
M,50,5,590,4,4,1,2
M,1,12,466,2,0,2,5
F,45,20,443,5,4,3,3
M,25,19,144,3,3,0,1
M,25,6,211,0,0,0,0
F,35,18,944,0,5,3,0
F,1,0,223,1,2,5,4
M,56,16,802,0,3,2,4
F,56,12,911,0,0,2,3
M,56,6,122,0,0,0,4
M,1,5,334,5,3,5,5
F,18,15,630,3,0,0,3
F,25,9,604,0,0,0,1
M,50,12,436,0,0,0,5
F,18,9,940,4,4,0,0
F,45,8,708,0,0,5,4
M,25,0,923,1,2,5,4
M,56,9,49,0,0,5,0
F,45,3,88,5,4,0,3
M,1,16,382,5,2,0,4
M,35,17,469,2,0,0,0
M,35,1,279,0,0,3,0
M,25,4,296,3,0,0,4
M,50,17,287,5,0,4,3
M,18,2,349,4,0,0,5
M,35,15,652,0,0,0,0
F,56,13,312,3,4,2,5
M,25,4,914,0,0,0,0
F,50,9,604,0,0,5,3
M,45,5,720,0,4,4,0
M,18,19,285,0,0,0,0
F,50,9,285,2,4,1,4
F,25,9,434,0,0,0,3
F,56,5,30,5,0,3,0
M,50,8,820,0,2,2,5
F,25,2,613,5,0,0,2
M,25,13,805,0,0,0,4
F,1,13,751,1,0,0,3
M,56,18,382,5,5,3,5
F,45,18,339,3,4,2,0
M,56,15,523,3,2,3,4
M,18,17,836,3,0,0,0
M,1,12,652,0,0,0,1
F,56,13,338,4,0,0,5
M,25,18,773,0,0,0,0
M,50,6,878,1,3,5,4
M,18,5,165,2,2,5,4
M,35,4,328,0,0,3,0
M,50,10,958,4,4,1,2
M,18,4,453,0,0,5,0
M,25,6,537,1,0,0,0
M,25,10,334,2,0,0,0
F,35,17,68,0,0,0,2
F,56,6,560,2,0,0,0
M,35,20,525,0,0,0,0
M,56,11,40,2,4,2,5
M,18,20,209,0,0,2,4
F,18,4,373,0,0,0,0
F,35,15,347,0,0,0,0
F,50,2,434,0,0,0,0
M,50,16,433,0,5,5,4
F,1,14,445,0,3,4,3
M,56,10,10,0,0,5,3
F,25,2,700,0,0,3,5
F,18,3,625,0,0,0,3
F,56,9,997,0,3,4,3
M,56,14,956,4,4,1,4
M,18,0,349,2,0,0,3
F,50,14,743,0,4,0,0
F,25,14,80,5,0,2,4
F,45,18,530,0,0,0,0
F,25,16,197,0,0,0,3
F,35,4,115,0,0,0,0
M,45,16,655,2,4,3,0
F,56,8,65,0,0,0,0
M,25,19,53,2,1,0,1
F,56,9,28,5,2,4,5
M,56,11,520,0,4,3,2
M,18,5,16,0,0,0,0
M,35,3,469,0,0,0,0
F,45,18,312,5,0,3,0
M,35,12,221,0,0,3,4
F,18,14,372,0,0,5,0
F,25,16,19,0,0,5,3
F,56,19,346,0,0,0,4
F,25,14,980,3,1,0,0
M,25,10,431,0,1,2,4
F,25,8,974,0,0,0,1
M,35,5,76,0,0,0,0
M,25,12,914,0,0,0,0
M,1,8,493,4,4,4,4
F,18,0,685,0,0,0,0
M,25,18,847,2,0,0,2
M,35,14,445,0,0,0,0
F,56,1,704,4,1,4,4
M,56,1,803,0,0,2,4
M,18,14,322,2,0,0,3
M,25,5,758,0,0,0,0
M,18,17,919,2,0,5,4
M,18,14,919,0,0,0,0
M,35,6,309,0,0,0,0
M,25,1,378,0,0,0,0
F,45,20,402,0,0,0,0
F,56,16,811,3,3,2,0
F,25,2,555,0,0,0,0
M,50,13,60,1,5,5,0
M,1,0,19,4,4,1,2
F,25,9,17,3,0,0,3
M,56,4,104,5,4,3,2
F,18,6,402,3,1,5,5
F,25,17,970,5,3,0,2
F,45,0,802,0,0,0,0
F,25,7,463,0,0,0,0
F,56,5,474,0,4,0,1
F,25,16,433,2,1,2,4
M,50,20,148,5,4,5,0
M,18,3,173,0,0,0,0
F,1,13,457,2,3,4,2
M,25,16,523,5,0,0,0
F,50,12,915,1,0,0,4
M,45,7,231,0,0,4,5
F,56,14,584,0,1,5,4
M,18,9,236,0,0,3,0
F,18,0,26,5,0,5,4
F,1,0,928,0,3,5,1
F,35,3,878,2,0,0,3
M,18,3,18,0,0,0,0
F,25,14,194,0,0,0,4
F,25,14,175,0,0,0,4
F,35,19,804,5,0,0,3
F,45,14,301,5,3,0,3
F,1,7,123,5,4,0,0
M,56,8,756,0,4,0,1
M,18,12,986,2,0,0,0
M,18,2,813,0,0,0,0
F,35,5,490,1,0,5,0
M,18,3,437,3,4,2,0
M,50,1,37,0,1,4,1
F,50,6,70,3,0,5,4
M,25,20,287,3,0,0,2
M,25,7,273,0,0,0,0
M,56,6,37,5,0,0,0
F,1,9,379,3,0,0,0
M,1,3,672,0,2,0,0
M,18,12,871,2,2,5,2
M,56,14,704,3,4,1,4
M,56,20,939,0,3,0,0
F,56,15,603,2,3,0,3
M,18,15,330,0,0,0,0
F,35,11,142,2,4,1,0
M,1,14,622,1,0,4,3
M,45,4,49,0,3,5,0
F,35,0,840,0,0,0,4
M,50,13,704,0,0,4,0
M,35,7,454,2,3,5,0
F,35,9,623,0,3,0,0
F,45,19,302,2,2,5,4
M,45,8,625,4,3,4,3
M,56,2,493,0,0,5,0
M,45,20,554,0,3,1,4
M,56,17,730,1,4,0,3
M,18,6,469,0,2,1,2
F,25,1,790,2,0,0,0
M,18,9,421,0,0,0,0
F,25,5,489,4,0,3,4
F,45,5,434,4,0,4,2
M,18,13,323,4,5,0,5
M,25,5,914,0,0,0,0
M,18,20,372,4,0,3,0
M,25,7,502,0,0,0,0
F,18,3,285,0,4,0,0
F,18,7,284,0,0,3,0
F,45,2,921,4,0,0,0
F,18,10,501,5,0,2,0
F,56,18,206,5,0,0,0
M,25,8,20,0,0,0,3
F,18,3,352,0,4,3,2
M,45,16,90,4,4,0,2
F,50,14,598,0,0,5,0
F,35,0,580,0,0,0,0
M,35,2,108,0,3,1,5
F,50,5,402,1,0,0,0
M,56,6,402,3,5,2,5
M,18,2,186,0,0,0,3
M,50,8,111,1,3,5,3
F,25,0,275,4,0,3,3
M,25,2,452,0,0,0,0
F,56,12,27,0,0,2,0
F,18,3,840,3,4,0,0
M,45,16,325,1,5,3,0
M,1,1,923,2,3,0,0
M,18,16,110,0,0,0,0
F,25,9,469,0,0,0,0
F,25,1,440,0,0,0,1
M,18,0,88,0,0,0,0
F,18,19,240,2,5,4,5
M,18,2,193,0,0,0,3
F,50,1,947,0,4,3,3
