Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
F,18,0,6,1,3,1,3,0,0,1,0,0,5
F,18,0,6,5,2,1,0,5,3,3,5,1,0
F,50,0,6,4,4,0,5,3,5,0,5,1,3
F,50,0,6,5,0,5,0,0,2,0,0,3,0
F,56,0,6,2,3,3,0,1,3,4,5,1,4
F,35,1,6,0,5,1,4,0,0,3,1,3,5
F,18,3,6,3,5,1,4,4,1,4,4,2,0
M,18,3,6,5,4,2,1,4,0,0,0,4,1
F,25,3,6,5,4,5,0,0,4,0,2,2,0
M,25,3,6,1,1,2,5,4,1,0,0,2,4
F,35,5,6,3,2,0,5,2,1,4,4,5,5
F,50,5,6,2,4,0,3,5,4,0,4,3,0
M,18,6,6,5,5,1,0,4,2,0,4,2,0
M,1,7,6,5,4,1,4,2,0,0,0,2,5
F,25,7,6,3,2,3,2,0,3,4,5,2,4
M,50,8,6,4,1,1,5,2,1,0,1,4,4
F,25,10,6,2,0,4,3,3,1,5,5,1,4
M,25,10,6,5,3,5,3,0,2,2,0,5,0
M,35,10,6,4,1,1,4,2,3,4,1,4,0
F,45,10,6,0,1,5,5,3,1,4,3,1,3
M,50,10,6,1,5,2,5,1,1,2,1,3,4
F,25,12,6,5,4,1,3,4,3,3,2,3,3
M,56,12,6,1,1,5,2,4,5,1,3,4,1
F,50,13,6,2,5,1,2,3,1,3,5,5,3
M,56,13,6,1,1,2,3,1,2,2,1,2,1
F,18,14,6,0,2,4,3,5,5,3,0,4,4
F,18,14,6,0,5,0,0,4,2,0,2,4,3
F,18,14,6,2,1,5,0,5,3,5,4,1,0
F,45,14,6,2,2,5,1,1,5,1,3,5,2
F,56,16,6,0,3,4,5,5,5,4,0,3,3
F,25,0,10,4,0,2,5,0,0,0,5,3,0
M,50,0,10,1,1,4,1,3,0,4,0,1,0
F,45,1,10,5,4,4,1,1,4,3,3,5,3
M,50,1,10,5,4,0,0,2,2,3,2,5,3
F,1,3,10,4,1,3,2,3,2,0,0,5,5
F,45,3,10,5,4,3,5,4,4,4,3,1,2
F,25,6,10,4,1,2,3,2,2,0,2,3,5
F,25,7,10,1,1,3,0,4,0,4,0,2,4
F,35,7,10,1,4,0,0,5,4,0,4,2,3
M,25,8,10,3,0,0,2,2,0,3,0,5,4
M,25,9,10,4,4,2,3,0,0,0,1,0,0
F,50,10,10,4,2,0,5,4,0,1,2,2,1
F,1,12,10,5,4,0,5,1,4,0,1,5,5
F,56,12,10,1,0,1,4,2,0,5,5,0,2
