Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
M,50,12,730,5,4,5,0,2,0,4,0,4,2
M,35,14,627,1,2,3,0,4,0,1,4,1,2
F,35,12,30,4,5,5,2,5,1,4,5,1,1
M,18,6,674,2,0,3,5,1,3,4,0,2,3
M,25,11,354,0,1,4,4,5,0,2,5,0,5
M,50,3,45,5,0,0,2,1,5,2,3,4,3
F,25,1,497,5,4,5,0,4,3,5,4,5,0
F,35,7,522,1,0,0,5,0,0,4,0,0,3
M,45,15,471,2,2,4,3,1,3,3,0,5,1
M,25,20,62,1,3,3,1,5,0,3,0,0,3
F,56,2,765,2,4,4,4,0,1,2,4,0,0
F,35,14,490,2,4,4,4,4,5,2,0,3,0
M,18,12,977,4,4,4,2,5,4,2,0,0,0
M,18,4,50,2,3,5,3,0,4,0,5,4,0
M,25,2,196,1,5,4,5,0,3,3,0,5,0
M,35,7,143,2,5,3,3,0,0,1,0,2,3
F,18,11,534,2,1,3,0,2,3,3,1,5,2
M,45,15,539,1,0,4,0,0,1,4,2,3,3
M,50,14,830,1,2,2,4,0,0,1,0,2,0
F,18,20,333,4,4,4,2,0,5,4,0,5,4
M,18,18,112,0,4,0,4,4,5,4,4,2,5
M,18,17,613,5,1,1,2,3,4,5,4,0,0
M,25,7,525,3,5,3,2,0,5,4,5,0,3
M,56,11,338,2,1,2,4,4,3,5,1,5,0
F,18,17,880,4,0,4,2,3,2,0,5,0,3
F,35,7,330,3,5,1,2,4,1,5,0,1,2
M,18,19,880,3,5,0,2,3,5,0,2,5,1
M,25,12,772,0,3,5,0,0,1,3,3,1,0
M,1,11,142,1,2,3,2,3,1,0,0,3,0
M,45,9,10,5,5,4,3,5,5,3,0,4,0
F,25,4,330,4,5,0,1,4,1,2,5,4,0
M,35,7,917,4,3,4,0,3,1,3,3,4,0
F,45,12,820,4,4,4,3,0,2,4,4,4,0
F,50,11,490,4,4,1,5,1,5,2,1,0,1
F,25,13,442,5,2,1,1,0,3,2,5,5,0
F,25,14,945,2,4,1,5,0,5,0,0,3,0
M,1,17,54,2,2,4,0,4,0,3,5,3,5
F,35,8,48,2,1,4,1,4,0,2,0,1,5
M,50,9,782,4,2,4,1,2,4,3,4,1,3
M,25,17,170,2,1,2,0,4,5,4,3,4,5
M,50,10,924,5,5,2,2,1,3,4,1,3,4
M,18,2,765,0,1,0,0,0,5,5,3,2,4
F,35,0,381,4,3,3,2,3,0,2,3,4,4
M,50,12,660,5,0,0,2,3,1,4,4,4,1
F,50,5,49,0,1,4,4,0,1,1,4,1,2
M,56,17,502,4,0,4,4,3,0,3,5,2,1
F,18,12,442,1,1,2,1,1,3,2,2,3,5
M,45,10,972,4,1,4,0,4,3,0,0,3,0
F,45,0,334,5,3,0,0,1,2,2,4,4,1
M,35,2,752,1,5,4,5,4,3,0,0,1,0
F,56,17,838,4,1,1,1,2,2,4,4,0,3
F,25,11,10,0,5,1,1,4,4,4,3,0,0
M,35,6,223,2,5,4,5,2,4,2,5,2,0
F,1,0,991,0,1,5,2,0,5,2,4,4,5
F,50,19,752,4,5,5,4,2,1,4,1,1,1
M,45,9,265,4,0,0,3,0,2,3,4,5,4
M,1,2,326,3,5,4,2,2,4,3,3,4,4
F,35,7,284,4,0,0,4,4,2,5,4,5,0
M,56,14,447,5,1,4,5,4,0,5,0,4,5
