Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
F,25,0,554,5,0,3,0,2,4,3
M,25,11,904,1,5,4,4,2,0,3
F,1,13,525,1,0,3,3,5,3,0
F,45,8,261,3,0,3,1,3,0,0
F,25,5,273,3,0,0,0,4,4,5
M,50,4,434,1,0,4,0,2,5,5
M,25,13,765,3,0,3,0,3,4,0
M,18,16,445,1,2,0,0,5,2,0
F,35,13,68,1,5,1,3,4,2,0
F,56,19,27,2,5,2,0,1,3,0
M,25,20,741,4,1,1,0,4,5,1
F,25,11,462,4,3,4,2,0,4,0
M,25,7,820,0,2,5,2,0,5,0
F,50,17,222,0,3,4,0,3,3,3
M,1,0,37,2,0,4,2,0,0,5
F,18,17,700,4,4,3,5,2,0,2
F,25,11,424,0,2,5,2,2,0,0
F,35,3,327,1,0,4,2,2,2,2
M,50,2,931,0,3,3,0,5,0,0
M,25,2,965,2,4,2,1,4,4,3
F,18,3,857,2,0,4,0,0,1,0
F,1,18,109,0,5,5,1,3,3,0
F,25,4,462,5,3,2,0,5,0,5
F,50,16,731,2,0,5,5,1,0,3
M,1,18,902,5,0,4,2,2,0,0
F,35,4,836,2,1,0,4,2,3,0
F,18,4,809,5,0,4,1,4,5,4
F,45,2,658,3,2,1,5,2,0,0
M,1,17,197,2,0,5,3,1,5,4
F,18,19,604,2,0,4,0,5,0,1
F,35,2,790,0,1,3,0,0,1,1
F,50,5,100,5,1,5,0,0,4,0
M,18,16,560,3,0,3,0,0,0,5
F,1,7,274,1,1,4,5,5,2,1
F,25,0,50,3,0,1,5,2,0,2
M,56,17,360,0,0,1,3,0,3,5
F,25,20,811,4,2,3,1,5,2,2
F,56,16,794,1,2,5,0,5,4,0
M,35,6,17,5,1,3,1,3,4,5
F,56,10,957,5,1,4,0,3,3,4
M,56,3,997,0,2,0,4,3,4,2
F,45,4,157,5,0,4,4,5,5,0
M,35,9,166,2,5,3,2,3,5,5
M,18,8,152,1,3,2,1,0,2,4
M,50,19,143,2,1,1,0,5,2,2
M,25,14,165,5,4,1,5,4,3,0
M,1,8,229,0,3,2,2,0,4,1
M,45,2,559,0,3,3,3,0,5,1
M,56,12,937,2,5,4,0,0,5,0
M,56,7,66,5,3,1,4,2,0,5
F,35,19,60,1,5,3,5,2,0,1
M,56,16,372,5,0,0,5,5,3,5
M,25,5,830,0,2,2,0,0,0,3
M,56,15,245,4,5,1,1,5,0,1
F,35,19,330,5,4,3,2,5,0,0
M,25,19,786,5,0,5,0,0,5,3
F,35,20,114,3,0,5,0,0,0,0
M,50,11,362,4,0,1,5,3,2,0
F,1,1,65,5,0,2,1,1,0,3
M,25,19,74,0,5,0,5,0,4,0
M,56,8,63,5,2,3,0,4,0,0
M,56,17,130,4,5,0,4,2,4,4
F,56,17,144,3,0,1,2,5,0,4
M,45,15,431,0,5,1,5,2,5,4
M,25,15,66,1,4,1,5,0,4,0
M,18,2,405,4,0,1,2,0,4,2
M,56,3,223,3,5,4,0,0,0,5
M,25,14,523,0,0,0,0,3,1,4
F,45,11,473,2,1,1,0,3,2,0
M,25,0,196,5,1,2,0,1,4,5
F,35,1,382,2,2,0,0,5,0,5
M,56,17,336,3,0,0,0,4,2,5
F,56,20,282,2,0,4,4,2,1,3
F,18,4,503,3,4,4,4,1,3,1
M,18,15,680,4,4,4,3,3,3,2
M,35,5,358,1,4,0,3,1,4,3
M,18,12,627,3,5,4,0,2,2,2
M,56,17,80,0,3,0,0,3,5,3
M,50,15,786,1,0,3,0,2,3,5
M,35,2,319,2,5,5,3,0,4,5
F,50,1,82,4,1,0,0,5,3,2
F,18,1,382,2,0,2,2,2,0,0
M,35,9,122,2,0,3,0,1,0,3
M,56,12,551,1,3,1,4,0,3,0
M,50,15,240,1,0,1,1,1,4,1
M,50,1,111,0,0,2,0,3,0,0
F,50,9,280,5,5,2,0,3,2,0
M,25,0,613,3,0,4,4,0,1,2
F,35,8,524,0,1,4,4,0,4,5
M,1,17,853,4,3,3,0,0,5,3
