Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
F,25,7,221,2,4,4,4,3,5,5,0,4,0
M,35,17,793,5,4,1,4,4,5,2,3,4,2
F,50,14,549,4,3,4,1,1,4,2,4,2,2
F,50,2,22,4,2,0,5,0,4,1,3,0,5
F,18,7,758,1,0,0,4,4,3,3,4,0,3
F,50,16,488,5,0,0,4,4,4,3,4,3,5
M,50,12,30,5,2,3,2,3,0,5,4,4,0
M,45,16,103,2,4,0,2,4,5,5,2,4,3
M,18,7,925,0,3,4,4,0,3,4,3,2,5
M,25,5,450,4,5,4,0,0,2,4,5,1,3
F,56,18,272,3,4,3,0,4,5,0,4,3,1
M,25,14,354,5,2,5,4,2,4,1,4,1,0
M,56,3,301,0,1,2,5,3,2,0,1,4,0
M,56,7,424,1,0,0,2,2,4,0,5,3,2
M,18,7,33,5,2,1,3,4,3,2,0,4,5
F,1,16,450,5,0,0,2,5,5,5,5,4,3
M,50,5,56,4,3,2,2,4,3,3,3,5,0
M,1,19,286,3,0,0,1,2,1,2,1,3,1
F,45,9,652,2,4,3,1,4,0,1,3,3,4
M,56,5,853,5,5,4,1,2,0,1,3,5,0
M,35,1,980,3,3,1,2,0,4,4,4,1,0
F,35,13,302,5,0,5,4,3,4,4,0,1,5
M,1,5,78,5,0,0,5,3,0,0,2,4,3
M,25,15,180,1,0,2,5,2,2,0,0,4,0
M,45,8,915,3,0,2,4,4,2,1,3,0,3
F,35,16,758,1,4,3,4,4,5,2,4,3,0
M,18,1,949,5,2,0,1,2,5,4,0,3,3
F,18,19,598,1,1,1,3,1,2,3,1,0,5
M,18,4,915,5,1,1,5,2,4,3,3,5,0
M,18,5,662,5,3,4,5,2,3,3,0,4,5
M,35,13,915,0,3,3,0,4,0,5,0,0,5
F,18,19,76,4,5,3,4,5,3,5,0,1,5
M,50,13,320,5,3,0,4,0,0,3,4,4,0
F,35,4,811,5,0,3,0,4,4,5,3,3,0
M,45,19,914,5,4,3,1,0,5,0,1,4,0
M,50,17,532,2,1,4,3,5,2,3,2,3,0
F,50,0,535,0,1,5,0,4,1,1,3,5,5
M,50,5,226,2,4,0,2,4,3,2,3,0,5
M,25,11,120,1,3,1,0,0,0,2,5,0,0
F,18,4,161,4,2,1,0,1,2,1,5,5,4
F,18,19,804,2,1,3,0,4,2,4,4,4,2
M,25,8,708,4,1,3,0,3,1,1,4,4,0
