Gender,Age,Occupation,ZIP-code,260,1097,1750,2021,2093,2105,2628,2968
F,1,17,309,1,4,0,3,0,5,0,4
F,25,7,921,5,4,0,0,0,4,3,3
M,45,6,681,1,1,0,3,1,4,4,4
F,25,15,969,0,0,0,0,0,3,1,1
M,18,18,920,3,1,4,4,4,2,4,5
M,45,1,773,5,2,0,0,1,3,4,5
F,25,7,140,5,5,4,0,0,5,3,5
M,35,20,501,4,5,0,0,1,5,2,3
M,18,3,942,3,0,2,4,5,2,0,2
M,35,8,523,1,5,4,3,3,2,4,1
F,45,12,780,4,5,0,0,0,4,2,1
M,45,17,108,1,5,0,2,1,2,1,3
F,35,16,790,1,0,1,3,3,4,3,0
M,18,18,309,3,0,2,2,1,5,4,5
F,25,18,377,3,0,4,2,1,3,3,4
M,18,16,236,4,4,0,0,4,4,3,0
F,50,16,731,4,0,2,0,4,2,5,1
F,35,15,953,5,0,0,0,0,0,3,0
M,25,6,900,5,3,5,0,3,0,4,0
M,25,14,459,1,1,0,0,0,1,1,3
F,45,5,220,5,1,0,1,3,2,1,1
M,45,5,128,3,4,0,5,0,2,4,0
M,25,6,23,2,5,4,5,1,3,5,0
F,45,3,799,2,1,0,0,0,3,4,0
M,18,16,482,5,3,0,3,3,3,0,4
M,56,5,498,1,2,0,0,0,5,0,0
M,50,15,970,5,0,0,0,0,0,0,5
M,1,6,17,0,4,0,0,0,4,2,3
M,50,11,972,3,3,0,4,4,1,2,5
F,56,16,27,3,3,0,1,4,0,0,2
F,25,3,141,0,1,0,4,0,5,1,0
F,56,19,200,2,0,4,0,5,4,4,4
F,56,5,743,4,3,0,0,0,2,4,0
F,25,9,931,0,5,3,4,3,4,3,2
F,1,18,276,0,3,5,2,4,3,5,4
M,45,4,988,5,3,0,0,0,1,5,4
M,56,1,405,1,4,0,0,0,3,3,4
M,1,15,296,2,0,0,0,0,4,4,5
M,1,19,261,1,5,4,5,0,4,3,3
M,45,18,321,5,4,0,4,0,1,2,2
M,35,4,226,1,4,4,3,3,3,5,3
M,18,6,627,1,2,0,3,0,1,4,3
M,25,8,534,3,1,0,4,1,0,1,5
M,56,15,815,0,5,0,1,4,4,4,0
M,25,16,89,4,0,1,2,4,1,4,2
M,35,17,461,1,0,0,0,1,0,2,5
M,50,11,13,3,4,5,1,3,2,0,4
M,45,9,951,5,2,0,0,3,0,3,4
F,50,9,120,5,4,5,3,1,1,2,5
M,1,0,114,0,5,0,4,4,4,4,3
M,35,13,421,1,1,5,0,0,4,5,0
M,1,5,282,4,0,0,0,0,0,3,4
F,50,7,152,3,4,0,0,0,1,0,4
M,56,19,166,3,2,0,4,3,4,0,0
F,50,9,60,1,5,4,5,1,5,3,2
M,45,18,20,5,0,0,4,0,0,1,3
F,50,11,949,4,3,5,2,4,5,4,0
F,1,6,606,5,5,0,0,0,5,3,0
M,35,3,780,4,2,2,5,0,4,4,2
M,35,3,118,1,3,0,0,4,3,4,4
F,35,13,928,2,4,0,1,4,5,5,1
M,18,13,495,0,0,5,2,0,1,5,5
M,1,17,952,3,2,1,5,1,1,5,0
M,50,6,946,4,5,1,2,1,3,3,3
M,56,16,631,2,2,3,4,5,1,5,4
M,25,10,991,2,5,2,0,0,3,3,5
M,45,17,490,5,1,0,0,4,4,4,5
M,45,15,904,3,1,0,1,4,4,1,2
M,18,3,113,2,5,0,4,2,3,4,0
M,50,17,349,5,3,0,0,0,4,5,1
F,56,1,223,3,0,0,4,0,5,5,3
M,50,19,294,0,5,0,0,0,5,0,4
M,56,2,100,1,4,4,3,1,5,1,4
F,1,20,112,4,2,2,0,1,0,2,0
F,56,8,527,4,1,0,0,4,4,3,2
M,25,14,314,0,5,2,4,0,3,5,0
M,25,1,920,1,0,5,3,3,2,4,5
M,25,12,852,0,5,0,1,0,3,3,1
F,50,3,80,3,4,2,4,4,4,3,2
F,50,13,437,0,0,0,2,2,1,2,2
F,45,9,557,4,5,5,1,0,3,5,0
F,50,14,396,0,5,0,2,0,2,3,0
M,18,17,290,5,5,4,1,5,4,4,0
M,18,7,523,3,4,2,2,1,4,3,2
F,25,3,580,3,5,4,3,0,4,0,0
M,56,1,751,2,0,4,5,0,1,2,1
F,50,16,722,1,5,1,1,0,4,0,2
M,45,5,956,5,4,2,2,0,1,1,3
M,18,11,674,5,4,5,0,1,4,2,0
F,18,14,27,2,4,0,2,5,5,0,5
F,1,6,954,4,1,2,4,3,4,5,1
M,1,5,313,0,5,4,1,0,1,4,2
M,56,13,902,0,3,1,4,1,1,0,0
F,1,2,84,5,4,4,0,0,0,4,1
F,35,9,726,3,0,1,0,1,2,1,5
M,50,12,563,4,3,0,0,1,1,3,2
F,45,11,761,1,5,0,0,4,1,4,0
