Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
F,25,11,600,2,3,0,1
F,25,12,81,0,0,0,0
F,25,11,600,2,3,0,1
F,25,6,801,0,2,0,0
F,25,12,81,0,0,0,0
F,56,8,181,0,2,3,1
F,25,6,801,0,2,0,0
F,25,6,801,0,2,0,0
F,25,6,801,0,2,0,0
F,25,11,600,2,3,0,1
F,25,6,801,0,2,0,0
M,35,9,941,0,1,0,4
F,25,12,81,0,0,0,0
F,25,12,740,1,3,0,0
M,56,16,296,1,3,0,0
F,25,12,740,1,3,0,0
F,18,20,285,0,0,0,4
F,25,6,801,0,2,0,0
M,56,16,296,1,3,0,0
M,35,11,983,0,0,0,3
F,18,5,532,0,0,0,0
F,18,15,466,0,5,0,0
F,35,0,48,0,3,0,1
F,18,15,466,0,5,0,0
F,35,0,48,0,3,0,1
F,18,14,811,4,1,0,0
M,25,1,662,0,0,0,0
M,35,5,537,3,3,0,5
F,25,16,230,0,0,3,0
M,35,5,537,3,3,0,5
M,35,10,980,3,3,2,0
M,56,15,950,2,5,0,5
F,56,8,181,0,2,3,1
F,18,14,811,4,1,0,0
M,25,1,662,0,0,0,0
F,25,12,740,1,3,0,0
M,25,1,662,0,0,0,0
M,35,10,980,3,3,2,0
F,56,6,752,3,2,0,4
M,56,15,950,2,5,0,5
M,1,15,6,4,0,5,4
F,35,14,10,5,1,0,4
F,18,20,285,0,0,0,4
M,56,16,296,1,3,0,0
F,56,6,752,3,2,0,4
F,18,13,803,0,2,5,5
M,25,1,662,0,0,0,0
M,18,6,758,2,0,5,3
M,1,4,194,0,0,0,3
M,56,15,950,2,5,0,5
M,35,0,857,2,3,0,5
F,25,14,915,5,1,0,0
M,56,19,452,3,4,5,3
F,35,0,446,4,5,3,5
M,18,6,758,2,0,5,3
M,45,2,152,1,1,5,0
F,25,9,534,4,1,5,0
M,1,4,194,0,0,0,3
F,25,16,230,0,0,3,0
M,50,6,194,0,0,0,3
M,45,14,462,4,0,0,0
M,56,15,950,2,5,0,5
F,18,13,803,0,2,5,5
F,1,9,701,3,1,5,0
F,18,14,811,4,1,0,0
F,45,13,406,1,2,1,3
F,25,6,801,0,2,0,0
F,1,5,370,2,3,1,2
M,50,18,275,4,2,0,0
F,18,20,285,0,0,0,4
M,25,1,662,0,0,0,0
F,25,5,41,0,0,3,5
