Gender,Age,Occupation,ZIP-code,673,1881,1920,2087,2138
M,1,9,558,2,0,1,3,5
M,25,4,523,5,2,5,5,5
M,35,14,328,1,0,4,3,1
M,35,4,942,5,0,2,3,5
F,25,7,630,1,0,0,0,3
F,18,1,20,1,0,3,3,0
M,35,3,81,3,5,0,0,1
F,45,14,378,3,0,1,0,3
M,45,4,988,4,2,0,0,5
M,45,13,775,0,0,2,5,1
M,45,4,959,0,4,4,4,0
M,18,10,346,3,0,1,0,1
M,45,0,613,5,0,0,4,4
F,35,0,328,0,0,5,0,2
F,50,5,50,0,5,1,2,1
M,18,12,286,4,0,0,4,0
F,50,5,965,0,3,2,0,0
F,56,0,613,3,0,3,0,0
M,1,3,904,4,0,5,4,0
M,25,4,171,5,0,2,1,4
M,50,7,327,2,5,4,3,3
M,1,7,596,0,5,3,5,2
M,18,17,465,0,0,0,4,0
M,1,4,609,0,2,0,2,0
M,25,11,338,4,2,3,0,5
F,50,13,984,1,2,4,4,0
M,18,0,321,3,1,5,3,2
F,35,17,142,0,4,0,3,4
M,25,0,482,1,0,0,0,2
M,18,18,609,0,0,0,5,5
M,56,7,333,5,0,3,0,2
M,35,16,10,0,1,5,5,2
M,18,1,782,4,5,5,0,4
F,25,10,502,5,2,0,0,4
M,18,7,468,3,4,0,4,5
M,35,6,265,0,1,3,0,0
M,25,20,987,4,3,3,2,3
F,56,9,502,1,3,3,0,0
F,18,4,527,0,0,4,5,5
F,25,19,105,5,0,4,4,3
F,45,6,750,3,3,3,5,2
M,25,3,70,2,2,0,0,2
M,25,17,951,1,0,0,0,5
F,25,12,450,2,5,0,1,2
M,45,3,930,4,3,5,4,2
M,50,0,498,2,4,0,0,3
M,56,14,226,0,5,0,3,1
M,25,15,281,3,4,0,1,0
F,25,9,381,0,0,0,3,0
F,25,2,334,4,3,4,4,5
F,25,17,132,5,0,0,4,0
M,25,18,349,2,0,5,0,1
M,25,7,837,4,0,0,0,2
F,50,11,612,1,1,0,0,0
M,50,17,83,2,5,3,5,0
F,18,8,931,5,0,3,5,4
M,35,10,30,0,5,0,2,0
M,25,18,969,4,3,5,4,0
M,25,18,50,1,2,3,0,5
M,45,2,282,3,0,0,0,1
F,45,1,563,0,0,0,2,4
M,25,12,672,4,1,4,0,1
M,45,7,917,4,0,0,0,3
M,25,14,21,2,5,0,4,4
M,25,4,603,1,0,1,0,0
F,35,11,314,1,0,0,0,3
F,25,7,971,5,2,5,0,0
F,18,14,577,2,5,3,4,3
M,45,3,910,1,3,3,2,1
M,1,9,870,3,0,3,4,2
M,35,4,115,3,1,1,4,2
M,25,7,171,1,2,0,4,1
M,25,0,957,1,5,4,5,1
F,25,0,836,2,2,0,3,5
M,18,17,131,5,1,4,0,0
M,25,15,531,4,4,1,0,0
M,25,19,354,2,2,4,3,1
M,45,8,435,4,0,4,0,0
F,1,7,539,0,0,4,4,2
F,1,6,427,3,5,1,4,5
F,1,14,969,2,4,1,4,1
M,35,7,489,3,0,1,0,5
M,50,1,20,3,5,3,3,4
M,56,17,830,0,4,0,0,2
M,18,15,15,1,4,2,4,4
M,25,2,815,1,5,0,3,4
M,50,17,274,3,2,1,0,5
F,45,13,894,0,0,5,4,2
F,35,20,993,1,4,0,0,4
M,45,15,616,2,0,5,0,5
M,25,0,539,0,1,0,4,5
M,35,4,970,0,0,5,0,5
F,25,14,410,2,0,5,0,4
M,25,7,969,5,1,5,4,5
F,45,13,950,0,1,1,0,0
F,35,12,584,0,5,2,3,0
M,35,7,323,5,0,2,4,0
M,18,7,165,4,0,2,0,5
M,45,13,358,3,0,0,0,5
M,18,3,181,5,2,2,1,0
F,25,8,430,3,0,3,5,2
M,25,7,501,4,0,1,0,3
M,45,11,320,4,0,0,0,1
M,45,12,469,4,0,4,0,1
M,25,10,930,5,5,0,3,1
M,45,7,752,0,0,3,4,4
M,25,2,80,5,0,3,2,3
M,35,1,406,4,1,5,4,2
M,35,20,489,1,0,4,2,0
F,1,0,880,0,0,0,0,2
M,45,17,540,3,2,0,5,4
M,45,12,610,2,1,1,4,0
M,25,20,334,0,0,5,0,1
M,45,7,968,1,0,2,3,3
M,25,7,880,5,0,3,0,4
M,45,5,231,0,2,2,1,4
M,50,15,560,1,2,2,0,4
M,18,1,115,3,3,4,4,5
M,25,9,49,1,0,2,3,5
M,25,17,211,3,5,3,5,4
M,18,16,805,3,5,5,3,0
M,45,4,840,0,2,0,0,0
M,35,1,480,2,0,0,0,4
M,45,9,307,0,3,1,5,1
M,25,2,973,4,3,0,4,0
M,35,10,600,0,3,1,4,4
F,35,2,69,5,4,4,3,0
M,25,17,197,0,0,0,4,5
M,56,14,465,3,5,4,0,0
F,45,0,114,0,5,3,5,3
M,35,4,152,5,2,1,0,0
M,50,8,302,5,0,0,1,2
M,45,2,294,2,3,2,4,5
M,25,17,630,1,0,0,0,2
M,25,2,830,2,1,0,0,1
F,25,10,123,2,0,5,0,0
F,45,12,553,4,3,5,4,3
F,56,0,18,0,0,2,4,1
M,50,14,358,1,0,0,0,0
M,18,17,833,2,3,4,0,5
F,45,14,325,4,0,4,2,5
M,25,17,338,5,0,0,3,3
F,25,2,741,2,5,0,0,4
M,18,20,337,5,0,1,3,2
M,50,11,672,3,4,3,0,4
M,25,1,74,0,0,0,4,0
M,35,11,277,1,1,0,0,1
F,18,11,150,4,1,0,0,4
F,1,17,966,3,2,2,0,0
M,35,0,200,3,3,0,5,4
F,25,15,796,1,4,0,5,0
F,56,7,722,4,3,2,1,3
F,25,1,494,2,5,0,0,0
M,25,9,62,3,0,0,0,5
F,25,0,462,4,3,5,0,1
M,18,5,525,0,2,1,4,3
