Gender,Age,Occupation,ZIP-code,260,1097,1750,2021,2093,2105,2628,2968
M,35,20,600,4,5,0,5,1,5,5,2
M,35,19,81,0,1,0,0,1,2,3,5
M,35,19,81,0,1,0,0,1,2,3,5
M,35,20,600,4,5,0,5,1,5,5,2
M,35,19,81,0,1,0,0,1,2,3,5
F,18,8,537,0,5,0,3,0,1,4,3
M,35,11,983,1,0,0,5,3,4,1,3
F,56,8,181,1,4,1,0,4,1,5,1
M,35,20,600,4,5,0,5,1,5,5,2
F,1,12,950,2,1,4,1,4,5,2,3
M,35,19,81,0,1,0,0,1,2,3,5
F,18,8,537,0,5,0,3,0,1,4,3
F,56,8,181,1,4,1,0,4,1,5,1
M,45,20,801,0,5,1,1,0,0,5,5
F,18,14,811,3,4,1,0,0,3,4,1
F,18,4,296,5,3,3,5,5,0,5,4
F,18,4,296,5,3,3,5,5,0,5,4
F,18,5,532,0,5,0,0,0,0,0,3
M,35,19,81,0,1,0,0,1,2,3,5
M,45,20,801,0,5,1,1,0,0,5,5
M,35,9,941,3,5,0,1,0,2,0,0
M,35,20,600,4,5,0,5,1,5,5,2
M,35,12,6,5,3,5,0,2,4,0,5
F,25,12,740,2,0,1,2,1,3,0,2
F,18,14,811,3,4,1,0,0,3,4,1
M,45,8,285,5,3,3,4,0,0,1,1
M,35,9,941,3,5,0,1,0,2,0,0
F,25,12,740,2,0,1,2,1,3,0,2
F,45,20,780,1,1,0,5,1,1,3,0
M,56,5,534,1,0,0,0,0,4,2,2
M,56,20,803,0,0,0,0,4,5,1,1
F,25,15,152,5,5,0,5,0,4,2,4
M,56,5,534,1,0,0,0,0,4,2,2
F,18,12,980,1,3,0,0,4,1,0,2
F,18,12,980,1,3,0,0,4,1,0,2
F,18,12,980,1,3,0,0,4,1,0,2
M,1,16,946,3,0,0,0,2,3,1,2
F,56,5,212,0,0,0,3,3,3,0,5
M,35,9,941,3,5,0,1,0,2,0,0
M,50,12,957,2,2,0,1,1,0,5,1
F,18,5,532,0,5,0,0,0,0,0,3
F,56,5,212,0,0,0,3,3,3,0,5
M,56,5,534,1,0,0,0,0,4,2,2
F,56,6,752,4,0,3,0,0,0,4,1
M,35,20,600,4,5,0,5,1,5,5,2
M,56,16,466,3,0,5,2,0,0,5,5
M,50,6,194,3,5,0,0,1,0,4,4
F,35,11,662,4,3,1,2,4,0,0,5
M,25,10,48,3,2,1,0,1,0,1,4
M,35,12,6,5,3,5,0,2,4,0,5
M,1,4,194,2,1,0,3,2,5,0,3
F,18,14,811,3,4,1,0,0,3,4,1
F,18,4,452,5,3,2,0,4,2,1,4
M,50,13,915,1,1,3,0,0,5,2,2
M,56,16,466,3,0,5,2,0,0,5,5
F,56,6,752,4,0,3,0,0,0,4,1
F,35,11,662,4,3,1,2,4,0,0,5
F,45,4,878,5,5,0,1,4,1,0,1
F,56,20,446,0,0,5,3,3,5,4,5
F,25,15,152,5,5,0,5,0,4,2,4
M,56,13,554,0,4,0,0,0,0,5,0
M,35,19,497,2,5,4,5,0,4,2,2
F,35,14,10,0,2,1,3,3,4,1,5
M,35,9,941,3,5,0,1,0,2,0,0
F,18,8,537,0,5,0,3,0,1,4,3
F,18,8,537,0,5,0,3,0,1,4,3
M,45,10,630,4,2,0,1,3,4,1,1
M,56,13,554,0,4,0,0,0,0,5,0
F,50,17,446,0,4,0,0,4,5,3,0
F,18,4,296,5,3,3,5,5,0,5,4
F,35,11,662,4,3,1,2,4,0,0,5
F,25,12,740,2,0,1,2,1,3,0,2
F,35,15,321,1,3,2,1,0,5,2,1
M,50,6,122,0,0,0,0,5,0,2,1
F,45,11,146,1,3,0,3,3,3,3,0
F,45,11,146,1,3,0,3,3,3,3,0
F,50,0,245,4,2,0,1,4,3,1,4
F,35,14,10,0,2,1,3,3,4,1,5
M,45,3,421,0,4,1,3,0,3,2,5
F,1,0,109,2,1,0,2,1,0,3,3
M,50,16,301,3,5,0,0,0,0,2,0
F,35,15,321,1,3,2,1,0,5,2,1
M,50,18,275,5,0,0,0,0,4,0,0
M,50,6,122,0,0,0,0,5,0,2,1
F,45,4,878,5,5,0,1,4,1,0,1
F,25,12,469,5,3,4,0,0,3,0,5
M,35,9,41,0,1,2,2,3,2,4,5
M,56,14,109,2,0,0,0,0,4,4,1
M,45,3,421,0,4,1,3,0,3,2,5
M,56,6,604,1,3,0,0,0,4,2,5
M,35,11,406,0,0,2,5,3,3,3,2
F,18,4,452,5,3,2,0,4,2,1,4
F,50,12,986,5,1,1,5,0,5,2,5
F,25,14,957,5,1,0,1,4,3,3,4
F,1,0,109,2,1,0,2,1,0,3,3
M,1,20,875,4,3,4,3,0,1,2,1
F,1,18,826,0,4,5,2,0,2,1,5
M,50,12,957,2,2,0,1,1,0,5,1
F,45,4,878,5,5,0,1,4,1,0,1
M,45,18,115,2,2,4,0,0,5,5,5
F,35,3,23,0,0,0,4,3,1,5,3
M,45,3,421,0,4,1,3,0,3,2,5
F,18,12,980,1,3,0,0,4,1,0,2
M,35,19,81,0,1,0,0,1,2,3,5
M,50,16,301,3,5,0,0,0,0,2,0
F,18,4,452,5,3,2,0,4,2,1,4
M,35,9,941,3,5,0,1,0,2,0,0
M,18,18,115,0,2,4,0,2,5,0,2
M,50,4,982,2,1,2,0,0,2,3,5
M,35,0,857,4,1,4,2,0,3,0,1
F,1,18,826,0,4,5,2,0,2,1,5
M,45,10,630,4,2,0,1,3,4,1,1
F,35,14,10,0,2,1,3,3,4,1,5
F,56,8,181,1,4,1,0,4,1,5,1
F,25,7,906,0,5,0,3,4,0,5,0
M,50,6,122,0,0,0,0,5,0,2,1
F,25,16,230,4,0,1,4,0,0,3,0
M,35,19,497,2,5,4,5,0,4,2,2
F,35,14,10,0,2,1,3,3,4,1,5
F,35,3,847,1,4,0,0,0,4,3,3
M,45,8,285,5,3,3,4,0,0,1,1
F,35,11,662,4,3,1,2,4,0,0,5
F,35,11,662,4,3,1,2,4,0,0,5
M,45,8,285,5,3,3,4,0,0,1,1
M,50,6,122,0,0,0,0,5,0,2,1
F,50,1,20,2,0,0,1,0,0,3,5
M,35,18,801,4,5,0,3,3,0,1,2
F,50,18,965,1,4,2,0,0,3,2,5
