Gender,Age,Occupation,ZIP-code,260,1097,2628,2174,2797,1073,2100,2968,2105,2193
M,25,18,274,0,3,5,5,3,0,0,1,1,1
F,50,7,973,0,1,4,1,5,0,2,3,5,0
M,45,7,833,4,0,0,3,0,3,0,5,5,1
F,56,14,143,0,0,5,0,4,4,2,0,0,4
M,35,2,910,5,2,4,1,5,3,1,2,5,4
F,25,5,560,0,5,2,2,5,2,5,1,2,4
M,1,3,805,2,3,0,3,5,2,1,0,2,1
M,18,18,900,0,4,0,4,2,4,4,2,2,3
M,25,7,221,2,2,2,3,0,1,0,3,3,4
M,56,14,847,4,1,0,1,5,5,2,1,5,4
M,1,6,275,2,1,5,3,4,2,4,2,4,1
F,45,5,502,4,2,2,5,3,5,2,4,2,0
F,25,1,973,5,5,0,1,4,0,2,0,1,0
M,18,5,700,2,4,5,1,2,2,2,3,4,3
M,35,14,660,1,5,3,4,3,2,3,2,0,5
M,56,4,331,1,4,3,4,5,1,5,3,3,2
M,56,5,813,3,4,4,2,4,3,2,0,0,0
F,56,16,931,3,3,5,4,1,4,1,4,4,4
F,18,14,985,4,5,1,4,0,0,2,3,4,0
M,1,0,625,1,3,5,5,4,3,4,3,0,3
M,35,0,149,0,2,2,5,0,0,1,4,1,4
M,18,2,220,3,3,2,1,1,5,2,0,2,0
M,18,16,680,5,1,2,2,4,4,3,3,2,0
M,45,20,77,0,5,5,3,3,5,2,0,0,4
M,35,17,122,2,5,5,4,3,3,4,0,3,0
F,35,2,421,4,0,2,2,0,3,4,4,4,4
F,35,15,772,3,4,4,4,3,1,0,2,5,2
M,25,2,520,0,4,3,4,0,5,4,4,3,4
M,50,9,336,2,1,3,4,2,1,1,2,3,1
F,25,8,935,4,3,5,0,1,3,2,5,5,4
M,45,5,520,4,1,3,0,5,0,4,1,4,4
M,35,20,495,2,5,0,2,4,1,3,2,3,1
F,18,17,453,1,1,3,1,3,5,5,3,0,3
F,18,17,424,0,4,3,0,2,3,0,4,3,4
M,45,5,12,2,0,0,4,3,2,2,0,2,5
F,18,1,563,3,4,2,5,3,4,1,1,5,1
M,25,13,171,2,0,5,2,5,4,2,0,4,3
M,18,14,380,2,1,0,5,0,4,1,5,1,5
M,35,16,524,3,3,1,1,5,0,5,0,2,2
F,18,8,19,2,4,1,5,0,1,2,4,2,0
M,50,14,109,4,1,0,0,1,5,3,1,5,4
M,25,4,434,2,1,2,0,1,5,0,5,1,0
