Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
F,50,11,443,2,1,1,0
M,25,14,296,4,4,2,0
M,18,0,396,0,0,2,4
F,25,1,165,5,0,0,3
M,56,16,198,5,4,2,5
M,1,2,928,0,4,0,0
M,1,8,468,4,2,3,0
M,35,18,49,0,1,3,4
M,50,11,103,0,4,5,3
M,50,17,799,0,2,0,0
F,25,12,13,2,0,0,5
F,35,2,115,0,0,0,2
M,45,12,550,5,3,2,0
M,25,9,262,0,0,5,0
F,50,20,307,3,2,3,1
F,45,2,354,0,0,3,3
F,50,13,377,4,0,0,5
F,25,11,100,0,0,0,2
M,35,9,309,2,0,3,0
F,25,4,640,0,4,0,2
F,18,5,758,3,5,0,5
F,56,8,30,1,5,3,4
F,1,7,302,0,0,0,2
M,35,11,345,0,0,0,3
M,25,0,128,0,0,0,0
F,1,8,982,0,0,1,0
M,25,14,531,0,0,0,3
F,35,11,12,0,2,0,0
F,50,15,782,2,4,5,0
M,1,18,279,0,0,0,0
M,1,17,908,0,5,1,2
M,18,10,947,0,0,3,2
F,56,12,114,0,5,0,5
M,50,5,551,0,3,0,0
F,35,11,111,1,4,0,0
M,35,11,334,1,2,3,4
M,45,20,358,0,1,0,4
M,45,13,560,5,0,4,0
F,56,3,222,0,0,0,3
M,25,12,128,2,1,4,0
F,45,13,581,3,0,5,0
M,56,18,143,2,0,0,4
F,1,10,196,5,0,0,0
M,18,13,871,0,4,0,0
F,35,5,282,2,2,5,3
F,25,9,913,0,0,2,0
M,25,11,957,3,3,5,4
F,35,13,602,0,0,0,0
M,35,9,942,3,4,1,2
F,35,5,987,0,3,1,0
M,35,11,601,0,0,0,2
M,50,11,376,0,0,0,4
F,35,17,641,3,0,0,0
F,56,8,787,0,0,2,3
F,50,19,136,0,5,5,3
M,56,2,287,3,5,0,4
M,45,19,240,1,0,2,0
F,45,1,323,5,0,4,3
M,1,19,597,0,0,0,4
M,1,8,704,0,0,5,0
M,35,8,396,2,5,5,3
F,25,11,109,0,1,0,3
F,1,7,85,0,1,0,2
F,25,7,40,0,0,2,4
M,25,0,786,0,0,0,5
F,1,0,447,0,0,0,0
F,18,10,838,5,5,0,2
M,18,16,105,5,1,5,0
F,45,5,856,0,3,0,0
M,35,18,959,0,3,0,1
F,35,1,83,0,5,5,5
M,35,5,797,2,0,0,1
F,56,15,441,0,0,0,1
M,18,16,181,2,0,0,0
F,25,12,240,0,4,0,5
F,56,8,988,4,0,3,0
F,18,11,850,2,1,2,0
M,45,20,171,4,4,3,5
F,56,5,752,1,3,0,3
M,50,20,382,0,0,1,4
M,35,19,580,4,4,0,4
M,1,8,471,1,5,0,0
M,45,7,220,3,0,0,0
M,25,11,235,3,5,0,1
F,35,3,911,2,4,0,1
M,25,4,6,3,0,0,4
F,56,18,539,0,5,5,5
F,25,3,301,2,0,3,0
F,45,1,921,0,0,0,0
M,18,16,940,0,4,0,3
F,56,12,905,0,3,0,0
F,35,9,914,0,0,5,5
M,35,15,990,4,3,4,1
F,25,13,933,0,0,3,4
M,18,11,354,2,0,0,0
F,35,9,245,4,0,0,0
M,25,15,957,0,0,1,0
F,35,0,354,3,4,0,4
M,35,11,826,2,4,0,4
M,50,6,555,0,0,2,0
M,35,9,6,4,0,3,4
F,35,8,609,2,1,0,3
F,56,12,23,5,1,5,2
F,35,20,377,2,5,0,3
M,25,3,826,0,2,0,0
M,18,19,493,4,3,0,3
F,35,5,452,4,4,2,0
F,45,12,290,4,4,0,4
F,25,4,466,5,0,0,0
M,50,10,49,1,5,5,0
F,1,19,100,4,0,5,0
M,25,13,132,4,2,0,3
M,18,10,465,1,3,0,0
F,56,18,704,0,0,0,3
M,35,9,84,0,0,0,1
F,35,11,100,0,0,0,0
F,25,15,958,0,1,4,0
M,50,10,48,4,3,3,4
F,50,6,631,0,0,1,1
M,50,19,523,0,0,0,0
M,45,4,358,0,0,0,1
M,1,1,63,1,5,4,0
F,18,5,780,0,0,1,3
F,56,18,966,0,0,3,0
M,25,7,770,0,0,0,0
M,25,15,457,2,5,0,0
M,45,1,320,0,3,5,2
M,50,10,550,0,3,0,0
M,18,2,245,0,1,2,5
M,50,6,532,0,0,0,2
F,1,12,701,0,0,2,2
F,35,11,474,3,4,0,0
F,56,5,301,0,0,0,0
M,45,6,220,0,0,0,0
M,18,6,253,0,0,4,0
M,56,13,468,0,0,2,3
F,25,3,983,0,0,4,0
F,50,13,54,4,0,0,0
