Gender,Age,Occupation,ZIP-code,260,1097,1750,2021,2093,2105,2628,2968
M,56,5,206,3,5,1,4,1,0,1,4
M,18,19,294,2,4,3,3,3,0,5,4
M,45,16,279,5,4,4,3,5,2,2,3
F,45,7,450,2,4,3,2,0,4,4,2
F,45,20,652,1,5,0,0,1,3,1,0
M,25,15,74,3,0,0,5,0,4,2,5
M,18,6,612,1,3,3,4,3,2,4,1
M,45,14,206,2,0,0,3,3,4,3,4
M,35,0,50,4,4,2,4,4,5,4,0
F,45,17,68,3,1,4,3,4,0,2,4
M,18,18,253,4,1,5,2,1,1,0,0
F,18,9,800,1,3,4,0,5,2,0,0
F,1,14,175,5,0,5,4,0,5,4,1
M,50,4,933,2,5,2,0,3,4,1,5
M,1,15,582,1,3,3,1,4,2,2,1
M,35,6,672,0,1,3,4,4,1,2,5
F,50,16,410,0,0,0,1,2,4,1,5
M,45,16,916,3,4,0,0,0,2,2,5
M,35,20,484,4,2,3,1,2,2,3,1
M,25,4,802,4,0,0,0,0,5,4,0
M,18,20,935,1,3,4,0,0,0,4,5
M,35,10,609,0,5,0,4,0,5,3,3
M,25,5,794,1,4,2,0,3,0,4,1
F,25,13,346,3,1,1,4,2,3,1,3
M,35,14,947,4,0,3,2,1,0,3,2
M,50,16,959,1,0,0,0,2,3,2,3
M,45,0,286,1,3,3,0,4,2,3,3
F,56,16,313,0,1,5,0,4,5,5,3
M,35,11,328,4,0,0,2,5,3,2,3
M,1,17,981,4,0,5,2,5,1,4,0
F,56,3,82,2,3,0,3,4,5,4,2
F,56,4,245,3,5,2,0,5,3,3,0
M,35,6,38,5,5,2,2,2,3,2,2
M,50,16,847,5,4,5,4,4,0,2,4
F,35,8,435,0,4,4,2,3,2,3,0
F,45,17,977,2,3,1,0,4,0,2,0
M,25,6,473,4,5,1,1,4,3,2,3
M,35,2,535,2,3,3,1,5,3,5,4
M,18,11,973,1,1,4,1,4,4,1,3
M,18,1,602,0,5,2,1,4,4,5,2
M,18,11,105,5,4,1,2,5,3,2,2
M,25,5,501,0,5,0,2,4,4,3,4
F,35,5,87,1,3,0,4,5,5,4,3
M,18,8,81,0,2,2,2,4,2,2,5
M,45,15,971,0,2,2,0,4,4,2,1
M,56,9,380,0,4,0,4,4,3,5,5
F,25,16,952,3,3,0,0,5,2,0,4
M,50,7,226,5,5,4,4,4,0,3,0
M,45,20,834,3,4,3,1,3,2,4,3
F,25,0,49,1,3,0,2,0,3,3,0
M,35,13,19,2,4,5,1,1,3,3,4
F,25,5,498,5,0,4,3,2,2,5,3
M,18,19,370,3,0,0,2,5,3,2,0
F,50,14,926,2,2,0,0,4,0,3,0
M,18,13,16,4,1,1,3,3,5,5,3
M,35,3,531,4,4,3,4,0,4,4,4
M,18,3,98,3,1,0,4,4,4,3,3
M,25,1,907,2,1,0,0,0,2,2,2
F,18,8,21,4,0,4,0,3,4,0,2
M,45,13,447,3,5,5,5,3,0,2,3
M,45,12,968,1,0,0,1,2,1,3,0
M,45,14,616,5,0,3,4,5,4,0,4
M,35,2,80,0,5,0,1,0,4,0,0
F,25,17,421,2,5,0,1,2,3,0,2
M,50,13,563,0,1,2,3,1,5,5,2
M,50,6,431,1,0,0,5,4,3,0,5
F,35,5,910,5,2,3,1,4,2,2,0
M,56,0,544,0,5,0,3,2,0,3,3
M,25,9,520,0,0,1,3,3,1,1,1
M,35,14,786,3,5,0,0,3,5,4,5
M,50,0,450,0,2,5,1,1,2,3,5
F,25,6,833,0,0,0,0,5,1,5,3
M,45,20,863,1,1,2,2,1,4,4,5
M,25,17,537,0,2,0,4,3,3,5,0
M,18,0,120,2,5,5,0,5,0,4,3
M,25,3,320,0,0,5,3,4,0,4,5
M,18,9,765,4,4,0,1,0,2,3,2
M,56,14,131,2,2,2,0,1,4,0,1
F,50,11,523,4,5,0,4,1,0,4,5
F,45,0,550,2,4,2,0,3,1,4,5
M,25,7,953,1,2,0,3,5,4,1,2
F,50,5,980,2,1,0,1,1,1,4,3
F,35,13,495,2,5,5,2,4,2,1,2
M,25,14,54,1,4,3,0,4,4,2,3
M,35,15,813,0,1,5,0,0,2,2,2
M,56,0,431,5,2,0,2,1,4,5,4
M,56,11,273,2,4,3,5,4,4,2,0
F,35,3,321,3,3,2,3,5,2,1,1
F,18,13,232,3,5,5,3,2,5,0,5
F,25,1,852,3,3,0,4,5,4,4,0
M,25,18,376,5,4,1,4,2,5,2,0
F,45,17,856,5,3,4,0,2,0,4,0
M,45,17,894,2,2,3,0,2,3,1,3
M,25,4,971,4,0,0,1,2,4,4,0
F,1,13,333,5,0,5,2,2,1,4,3
M,1,12,794,0,1,5,0,4,1,3,2
M,56,9,325,0,2,0,3,1,1,0,4
M,50,9,800,0,0,1,4,5,4,4,0
M,45,14,973,1,2,0,2,3,1,1,0
F,25,2,457,1,0,3,4,0,5,5,5
M,45,17,900,1,2,5,2,0,3,0,2
M,18,17,10,3,2,5,0,1,1,5,2
F,25,10,421,1,0,4,3,1,1,1,3
M,1,3,852,3,0,3,3,4,2,4,4
M,25,14,986,2,3,5,0,0,3,5,0
M,18,8,977,3,4,4,2,0,4,1,0
M,45,2,115,2,2,1,0,0,4,4,0
F,1,9,224,3,1,0,2,0,2,5,1
M,35,5,170,4,0,0,0,4,2,1,1
F,56,3,244,1,4,0,4,0,4,3,3
M,18,11,228,4,3,4,2,3,5,0,3
M,25,13,346,2,3,0,3,4,1,4,4
F,50,17,917,4,1,0,0,2,4,3,5
M,45,7,175,2,0,1,4,3,1,4,1
M,25,20,312,5,1,3,1,0,1,3,4
F,50,20,465,5,1,5,4,0,4,4,2
M,56,15,751,1,3,3,3,0,0,2,2
M,35,17,62,5,4,1,2,4,5,5,3
M,18,11,616,1,2,1,0,2,2,4,3
F,56,1,402,4,2,0,4,4,5,0,3
F,25,12,805,2,5,3,0,4,3,2,3
M,35,2,123,2,2,1,4,1,4,3,0
M,18,9,209,3,5,4,5,5,1,5,1
F,35,5,498,3,0,0,2,0,4,5,0
M,25,17,30,5,3,2,3,4,4,5,5
M,18,6,843,2,3,3,5,2,0,5,4
F,45,13,557,0,2,0,4,2,3,5,1
M,18,10,967,4,1,0,0,0,2,4,3
M,18,14,171,5,1,0,0,4,0,2,1
M,35,15,417,4,1,1,0,3,4,4,1
F,25,6,82,0,1,2,3,0,4,4,4
M,25,14,222,4,0,4,0,4,4,5,1
F,56,11,370,3,4,3,5,4,1,0,0
F,25,15,935,0,4,3,5,4,4,4,0
M,18,5,327,3,1,1,0,3,1,5,3
M,35,12,115,0,1,0,2,5,0,4,1
F,56,17,916,2,1,0,0,4,3,4,0
M,50,0,905,5,2,0,2,2,1,2,3
M,50,10,123,4,1,0,5,4,2,4,0
M,50,0,136,0,0,2,2,1,1,3,0
F,35,5,82,2,0,3,4,1,3,5,4
F,50,6,919,2,4,3,1,4,2,4,0
F,25,6,965,5,0,2,3,3,3,1,2
M,56,3,490,4,2,0,0,3,1,4,0
M,25,12,68,3,5,3,0,4,2,5,2
M,35,12,484,1,0,0,4,3,2,5,5
M,50,16,524,5,0,2,4,3,5,4,4
M,35,2,631,3,4,5,3,5,4,2,5
M,56,14,122,5,2,3,3,5,3,3,2
M,50,3,708,4,3,2,3,3,3,3,5
M,35,20,319,5,3,4,5,3,4,2,0
M,45,6,750,1,4,2,2,2,4,4,5
M,35,6,934,0,5,3,1,4,0,5,0
F,25,0,302,2,5,0,0,3,4,4,2
M,25,7,997,5,2,4,1,2,2,1,5
M,25,0,180,4,4,0,5,0,4,3,4
M,1,13,376,1,0,0,1,1,4,4,4
