Gender,Age,Occupation,ZIP-code,673,810,1073,1126,1702,2100,2174,2253,2797,3393,3466
F,45,6,245,1,0,3,2,0,0,0,3,5,1,1
F,25,4,905,5,2,0,2,3,4,5,2,5,5,2
F,25,0,345,1,2,3,1,3,0,5,0,5,0,3
F,56,16,981,0,0,5,4,0,0,2,4,5,1,4
M,45,1,16,0,0,5,5,5,0,3,0,3,0,4
F,50,8,377,5,0,0,4,3,1,1,0,2,3,4
M,1,13,488,0,0,1,0,0,0,0,4,2,5,4
F,35,6,853,3,1,4,0,0,2,0,3,0,0,4
M,1,3,446,5,4,4,2,0,2,1,4,0,5,0
F,56,20,921,4,2,0,2,3,2,3,1,1,2,3
F,35,13,629,1,2,4,2,1,3,3,3,3,0,5
F,45,4,170,5,2,5,0,0,2,5,3,2,3,1
M,25,5,452,0,1,5,1,4,4,1,1,3,0,3
M,25,11,69,1,4,5,2,4,2,4,0,3,2,1
M,25,7,22,0,0,5,5,1,5,1,4,2,2,0
F,45,3,524,1,4,4,0,3,4,5,5,4,4,4
M,18,12,894,0,1,4,0,3,3,4,2,4,0,3
F,1,3,223,4,0,3,5,5,0,0,4,4,1,2
M,45,9,580,0,0,4,3,2,1,4,5,2,1,0
M,25,13,891,5,4,2,3,4,3,0,1,4,0,0
F,56,12,582,5,0,3,0,1,5,3,2,2,5,4
M,56,14,910,4,0,1,1,3,5,2,1,0,5,0
F,35,19,78,1,0,1,4,3,1,3,0,3,3,1
F,25,12,327,4,2,2,0,0,4,3,3,3,4,0
M,1,17,590,1,0,5,4,2,2,2,2,1,1,4
M,45,18,502,0,0,1,4,0,0,5,1,3,0,2
F,25,14,458,0,0,3,4,0,0,0,0,3,0,4
F,35,20,210,5,2,2,0,5,0,3,0,1,2,3
M,1,6,435,0,0,2,1,1,2,4,0,0,1,0
F,18,19,427,0,1,2,3,3,2,1,3,0,4,0
F,25,7,226,2,2,5,5,4,4,4,3,3,0,4
M,1,4,987,3,2,1,1,0,0,5,3,3,0,0
M,56,8,974,0,1,5,2,0,3,2,0,0,0,0
F,35,17,435,0,0,4,0,5,1,2,0,3,0,0
F,25,17,12,3,4,0,3,5,2,4,0,2,2,5
F,18,2,361,2,0,3,4,1,4,4,2,2,5,5
F,50,7,37,3,3,0,0,1,5,3,0,0,5,3
M,1,10,309,4,3,2,4,0,5,0,2,2,4,1
M,1,12,235,1,1,0,1,0,1,2,5,5,2,0
F,1,20,660,3,2,1,4,0,5,5,0,3,2,5
F,35,16,370,5,4,0,1,4,4,4,5,2,0,0
F,45,0,61,4,2,1,2,1,2,1,5,2,5,3
F,56,8,551,0,3,5,5,5,0,4,0,0,1,1
M,25,5,220,5,0,2,5,1,0,0,1,4,2,2
F,50,1,128,5,2,1,2,0,4,4,4,5,4,0
F,25,14,982,5,1,0,0,4,0,0,0,1,0,3
M,1,3,326,2,2,3,5,5,4,4,0,0,5,2
F,25,12,850,2,2,4,1,1,1,0,1,5,5,2
F,1,4,339,0,0,1,5,0,2,4,2,1,5,3
F,35,8,197,4,0,2,2,0,5,0,1,0,1,0
F,50,4,770,3,3,1,3,0,0,4,0,0,4,0
F,56,18,21,0,3,2,1,4,1,5,5,2,4,1
M,45,4,610,0,0,1,3,0,0,3,0,1,0,4
M,50,15,434,5,0,4,1,3,0,1,5,2,0,3
M,35,20,63,5,2,3,1,2,4,5,0,4,0,0
M,18,12,966,3,4,0,5,0,1,2,4,1,1,0
F,25,11,606,5,3,0,1,1,5,4,0,1,1,3
M,45,5,87,1,2,4,4,4,5,1,0,4,2,4
M,1,12,982,5,1,3,0,3,5,5,3,0,0,3
F,18,20,434,2,2,4,2,0,5,3,2,0,1,4
F,35,17,69,0,3,2,0,0,2,2,1,4,4,3
F,45,10,731,5,4,4,1,2,2,4,4,4,5,0
M,25,20,245,1,4,2,2,0,2,4,3,1,2,5
F,45,7,141,5,0,0,1,0,3,0,2,1,2,0
F,18,13,339,5,4,0,3,3,1,0,1,4,1,5
M,18,2,577,0,0,4,0,5,1,4,5,1,4,1
M,45,15,631,3,4,4,3,0,5,4,0,5,0,0
M,25,15,277,2,0,2,0,0,0,0,5,2,5,0
M,50,2,841,1,2,0,0,2,5,1,1,2,2,5
M,25,19,436,0,0,0,2,3,3,2,5,5,0,0
M,1,8,469,0,0,4,4,3,4,3,0,3,0,2
F,1,10,173,5,0,5,1,0,0,5,0,1,0,4
M,56,19,802,0,3,5,4,1,1,2,0,2,0,4
M,45,19,905,1,0,5,4,0,0,4,0,0,0,0
F,18,6,977,2,4,1,1,3,0,5,2,0,0,0
M,1,8,207,0,0,2,0,0,1,4,0,4,3,1
M,35,2,265,3,4,3,4,4,0,4,3,3,1,4
