Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
M,56,12,946,0,0,0,0,0,0,0
M,25,17,79,4,0,2,0,3,1,0
F,18,6,705,0,0,1,4,3,3,0
F,50,5,206,2,4,1,0,0,4,3
F,1,17,480,3,0,1,3,3,4,0
F,25,3,206,0,0,1,4,4,2,3
F,45,16,361,2,0,2,1,3,1,0
F,18,0,346,0,5,4,1,5,0,0
M,50,9,605,5,4,1,0,5,3,2
M,25,1,971,2,4,1,0,5,3,4
F,35,20,435,4,0,1,0,4,1,3
F,50,2,484,5,3,1,4,3,5,5
M,50,1,522,5,5,5,0,4,1,0
M,50,7,228,0,0,0,2,3,1,3
M,25,15,968,3,0,4,0,0,1,0
M,56,18,27,4,4,3,3,3,3,2
F,35,3,170,4,1,5,1,2,2,3
F,50,0,161,2,1,3,3,3,5,2
F,45,11,80,3,0,5,0,0,0,0
M,18,12,150,5,5,3,5,5,2,0
M,45,17,440,0,1,5,4,4,0,0
M,1,4,970,2,4,3,4,2,0,0
F,35,5,905,5,5,5,1,2,0,0
M,25,8,181,0,5,4,0,4,5,0
M,35,9,123,3,5,0,0,5,4,4
M,25,1,465,5,0,4,4,5,4,0
M,50,12,306,5,0,1,4,5,5,0
F,45,1,895,3,1,0,1,3,3,0
F,25,4,947,2,1,3,0,3,3,1
F,50,8,307,5,0,4,0,3,4,0
M,1,10,786,0,4,0,0,3,4,0
F,1,1,780,0,4,4,1,5,2,0
F,50,3,756,3,0,4,0,0,1,3
M,1,0,945,5,4,0,0,2,4,0
M,1,3,666,2,5,2,3,2,5,3
M,56,7,610,0,1,1,0,2,0,2
M,18,17,580,5,1,3,0,4,3,1
F,25,3,334,4,3,5,0,5,0,5
F,1,15,6,4,5,3,0,0,1,0
F,35,20,741,2,1,3,0,4,4,0
M,25,18,539,3,0,4,4,4,4,1
M,1,5,895,3,0,2,4,2,1,0
F,18,14,801,3,0,0,0,0,0,1
F,50,2,836,1,5,5,0,5,3,1
M,35,17,292,5,0,3,0,4,1,1
F,35,12,339,0,5,2,0,3,4,0
