Gender,Age,Occupation,ZIP-code,247,2100,2143,2872,3479
M,35,20,600,0,2,2,4,3
F,25,12,81,0,2,3,0,2
M,35,20,600,0,2,2,4,3
F,25,12,81,0,2,3,0,2
F,50,14,537,2,1,5,1,4
F,25,12,81,0,2,3,0,2
F,25,12,81,0,2,3,0,2
M,35,20,600,0,2,2,4,3
F,25,12,81,0,2,3,0,2
M,35,9,941,4,1,0,3,2
F,25,12,81,0,2,3,0,2
M,18,2,780,1,2,2,1,3
M,18,2,780,1,2,2,1,3
M,25,16,181,4,3,2,0,0
M,18,9,950,3,0,0,3,3
M,56,16,296,1,1,0,0,0
F,25,12,740,5,4,2,0,0
M,35,11,983,0,2,0,0,1
M,25,16,181,4,3,2,0,0
F,25,15,152,2,4,4,2,3
M,18,2,780,1,2,2,1,3
M,35,20,600,0,2,2,4,3
M,45,20,801,4,2,4,1,5
M,56,16,296,1,1,0,0,0
F,35,4,534,2,2,1,5,0
M,35,9,941,4,1,0,3,2
M,18,9,950,3,0,0,3,3
M,45,20,801,4,2,4,1,5
M,18,9,950,3,0,0,3,3
M,18,9,950,3,0,0,3,3
M,25,1,662,0,3,1,0,0
F,35,4,534,2,2,1,5,0
F,25,15,152,2,4,4,2,3
M,18,7,946,1,4,2,3,0
M,35,20,600,0,2,2,4,3
M,50,12,532,0,0,5,2,3
F,56,6,752,5,2,5,0,0
M,25,16,181,4,3,2,0,0
M,50,12,532,0,0,5,2,3
M,18,19,826,3,4,1,0,3
M,25,17,522,5,0,5,2,1
F,18,14,811,4,0,5,0,3
M,1,4,194,1,2,4,3,3
M,25,17,522,5,0,5,2,1
M,50,3,915,3,0,1,1,5
F,56,6,752,5,2,5,0,0
F,25,14,957,0,0,3,0,0
M,50,12,532,0,0,5,2,3
M,25,16,181,4,3,2,0,0
M,35,20,600,0,2,2,4,3
F,56,7,115,0,4,3,0,0
F,45,4,115,0,0,2,0,0
F,50,14,537,2,1,5,1,4
M,50,12,957,0,2,2,0,1
M,50,6,194,0,1,3,4,4
M,25,17,522,5,0,5,2,1
F,25,12,81,0,2,3,0,2
M,18,13,301,0,3,1,0,4
M,45,14,462,4,5,1,1,4
F,18,14,811,4,0,5,0,3
M,50,12,532,0,0,5,2,3
M,45,14,462,4,5,1,1,4
M,18,0,6,2,4,4,1,5
M,35,20,600,0,2,2,4,3
F,1,5,28,0,2,5,2,0
F,35,4,534,2,2,1,5,0
M,1,4,194,1,2,4,3,3
F,35,18,809,2,3,3,1,4
M,25,10,497,2,0,5,2,5
F,25,12,81,0,2,3,0,2
M,25,1,662,0,3,1,0,0
M,35,2,701,0,1,1,3,4
M,25,14,146,4,0,4,5,3
M,35,5,452,0,2,3,5,0
M,25,17,522,5,0,5,2,1
