Gender,Age,Occupation,ZIP-code,247,1920,2017,2087
M,1,3,920,5,5,4,1
M,50,12,627,0,3,3,2
M,35,8,38,0,0,4,1
F,50,14,290,0,1,0,3
M,25,12,63,0,5,2,2
M,56,12,761,0,4,1,4
M,50,0,802,0,2,0,4
M,56,5,56,1,3,4,5
M,45,19,544,5,2,2,5
F,56,20,18,0,0,1,0
M,18,11,553,3,1,0,3
M,45,10,103,2,0,1,3
M,1,13,700,5,0,0,0
F,56,17,379,2,0,2,0
F,56,10,805,5,0,0,1
F,25,12,775,0,0,0,0
F,18,19,325,0,4,0,0
F,25,18,796,4,0,0,0
F,18,9,303,5,5,1,4
M,35,6,60,2,2,0,4
F,18,0,211,4,0,1,4
M,35,6,142,5,2,0,0
F,25,0,993,3,0,0,0
F,50,0,463,0,0,3,2
F,35,9,41,3,4,3,4
F,25,4,990,4,0,2,0
F,50,1,804,3,5,0,2
F,35,1,17,3,3,4,2
F,25,4,306,0,0,0,0
F,18,10,13,5,3,4,2
F,35,11,580,5,2,3,0
M,18,18,930,2,2,1,4
M,35,15,31,0,3,2,0
F,35,7,274,3,2,0,4
F,18,4,290,4,0,1,4
F,56,4,41,0,0,0,2
M,50,17,770,5,4,5,3
M,56,3,76,3,0,5,0
F,35,12,803,5,5,3,3
M,35,8,772,0,5,3,3
M,1,1,37,0,0,0,0
M,50,3,841,3,0,0,0
M,25,17,912,0,0,0,4
F,35,12,856,5,0,2,5
M,50,17,103,5,4,5,5
F,50,1,857,0,0,0,0
F,25,19,726,4,3,0,0
F,25,6,294,2,0,4,0
M,35,3,465,0,5,1,1
M,1,11,329,2,2,5,5
F,56,0,666,0,0,5,4
F,18,17,461,4,0,5,5
M,18,18,924,1,0,4,1
M,35,18,833,0,0,4,5
M,1,8,550,0,0,0,3
F,1,19,488,4,4,3,5
M,56,20,114,5,0,4,1
F,45,3,215,5,0,3,0
M,35,10,940,5,0,1,3
M,35,12,301,2,1,1,0
F,18,12,904,2,0,0,0
F,1,12,726,4,4,3,1
M,25,0,522,2,0,0,0
F,45,16,489,0,5,0,1
F,25,1,834,0,5,0,3
M,45,10,313,5,4,0,0
F,1,14,272,2,0,5,5
M,35,18,493,5,2,4,0
M,50,7,805,2,4,5,5
F,25,10,815,0,3,2,0
M,35,6,56,2,0,1,4
M,35,7,616,5,3,1,3
M,35,14,612,0,2,4,5
F,56,10,930,4,4,4,3
M,50,5,782,4,3,0,0
M,35,16,90,4,2,5,3
M,35,11,468,0,0,4,0
F,1,0,37,0,3,5,4
M,18,13,286,3,5,1,1
F,35,10,186,5,4,5,5
M,18,10,378,1,0,4,4
M,35,5,221,5,2,5,5
M,50,0,750,4,0,0,0
M,56,16,911,1,5,4,2
M,25,3,114,0,1,3,4
M,56,12,245,5,4,0,0
F,56,1,925,4,0,0,5
F,50,19,482,5,5,0,0
M,25,14,24,4,2,5,4
M,50,1,40,1,3,0,0
F,50,6,70,3,0,0,0
F,45,1,640,4,0,5,4
M,45,6,19,5,5,4,0
M,56,16,900,2,0,0,4
M,35,15,902,3,4,2,4
M,50,11,727,0,3,0,5
F,56,8,943,5,1,5,2
M,25,2,377,3,1,0,3
F,35,14,377,1,1,4,5
M,35,0,173,4,0,0,0
F,25,18,240,0,1,3,0
M,18,0,16,0,0,4,1
M,50,1,144,0,3,0,3
M,25,4,105,0,2,1,1
F,18,13,923,0,0,3,2
F,56,17,797,0,1,5,4
M,50,4,720,3,0,0,0
F,50,3,777,2,1,5,4
M,56,13,207,4,0,5,4
F,50,15,581,0,4,5,4
M,25,13,934,3,5,4,4
F,25,0,314,5,0,0,4
M,25,3,208,5,5,0,0
M,56,17,701,2,2,4,1
M,25,2,984,3,4,0,3
F,18,16,221,0,1,0,0
F,50,5,20,2,5,2,0
M,25,18,234,5,3,0,0
F,35,14,870,2,0,0,0
F,56,16,775,2,2,5,5
M,56,15,959,2,2,5,5
M,45,15,69,4,4,2,0
F,25,20,980,0,5,0,0
F,50,19,80,4,2,2,0
F,50,15,19,4,0,5,4
M,18,1,919,2,0,0,0
M,25,2,598,3,5,0,0
F,35,14,83,2,3,0,4
M,56,13,971,0,5,3,3
M,45,13,971,0,0,4,2
M,25,0,610,0,0,0,3
F,45,10,452,0,2,4,4
M,25,8,740,4,2,0,0
M,18,2,358,0,2,0,0
F,35,20,618,1,5,0,0
F,1,18,338,4,0,0,0
M,35,15,279,2,0,1,3
F,50,16,431,0,0,0,0
M,1,2,66,4,5,4,4
M,50,3,294,4,5,4,3
F,18,19,410,0,0,4,1
F,35,11,685,5,2,1,3
F,18,12,277,4,4,0,0
M,18,20,68,0,1,1,3
M,45,20,200,4,0,2,1
F,1,1,871,0,0,3,2
M,35,10,666,0,0,0,0
F,50,18,313,5,0,0,4
F,1,4,447,1,0,0,5
M,25,16,540,5,0,0,0
F,50,16,312,1,0,5,4
M,25,13,261,2,0,0,0
M,45,4,954,5,0,3,0
M,56,20,555,4,5,5,4
M,18,15,78,4,1,0,5
M,1,15,297,3,3,0,4
F,1,13,571,4,0,3,3
M,45,16,297,5,5,5,4
M,56,19,347,4,0,3,3
F,18,7,329,1,5,1,4
M,1,3,370,0,2,3,2
F,18,1,108,0,2,0,0
M,18,7,309,0,0,4,0
M,50,3,813,3,0,0,0
M,50,18,988,0,0,1,3
F,35,13,221,4,0,0,5
F,50,10,105,0,0,0,0
M,25,19,633,0,0,0,0
F,25,7,524,0,0,0,0
M,50,15,756,3,2,0,0
M,25,9,334,1,5,4,0
F,35,1,45,5,5,0,0
F,18,4,286,0,0,0,0
M,1,3,123,4,0,3,3
F,50,9,13,3,4,3,0
F,50,0,17,5,2,4,4
F,45,13,681,3,0,0,0
F,18,5,85,0,0,3,4
F,45,0,352,3,2,2,5
F,18,8,16,1,5,1,4
M,25,20,555,5,0,1,4
F,1,0,803,0,0,0,0
F,35,3,752,4,5,0,0
M,50,9,740,2,4,0,0
F,56,15,980,3,2,4,3
M,45,11,895,4,0,4,4
F,56,1,773,5,0,0,2
