Gender,Age,Occupation,ZIP-code,247,2100,2143,2872,3479
M,56,19,347,0,3,3,5,3
M,35,12,492,5,5,0,0,3
M,35,1,215,5,3,2,2,0
F,35,1,68,2,1,2,0,0
M,25,6,284,5,3,0,4,0
M,25,5,309,2,3,0,2,4
M,25,8,78,2,5,3,5,2
M,25,6,900,1,1,0,3,3
M,35,10,704,0,1,0,0,0
F,35,7,441,0,3,0,2,1
M,25,6,48,0,1,0,4,3
M,35,17,968,4,1,3,0,5
M,45,5,292,1,3,0,4,2
M,35,12,705,0,3,0,1,3
F,50,3,944,5,3,1,3,3
M,45,19,282,0,0,5,0,3
M,25,0,492,5,3,0,0,3
M,18,3,705,5,4,2,5,2
M,25,15,761,0,4,3,1,1
M,1,2,927,4,5,5,1,2
M,25,14,111,0,5,4,3,4
M,35,9,756,2,4,3,0,0
M,18,7,674,2,4,0,2,0
M,18,14,805,0,4,4,1,1
M,18,8,937,0,0,0,4,0
F,25,12,103,5,3,2,2,0
F,1,1,421,3,3,0,4,5
M,25,11,833,0,3,2,4,1
M,25,1,895,5,5,0,0,5
M,35,11,19,5,5,3,5,4
F,25,9,115,4,0,5,5,1
M,25,2,805,0,0,2,4,0
M,18,0,82,0,2,0,0,5
M,50,20,973,2,1,4,0,2
M,25,6,560,0,0,0,0,5
M,45,13,13,0,0,3,5,1
M,35,16,462,3,4,5,2,3
M,45,5,114,4,3,0,0,0
M,25,0,231,1,4,0,5,0
F,25,13,524,3,5,3,1,4
M,35,11,120,4,3,2,5,1
M,35,14,983,0,5,4,5,0
F,18,11,329,3,5,4,4,1
M,56,0,544,0,2,0,5,3
M,45,10,27,0,1,0,3,0
M,50,7,196,4,2,0,3,3
M,56,15,967,0,3,5,5,0
M,25,9,180,0,5,3,3,5
M,56,7,143,2,2,4,4,4
M,25,6,743,0,0,0,2,4
F,25,4,471,0,0,0,1,2
F,25,14,457,0,1,4,4,0
M,50,12,405,5,5,1,0,2
M,1,0,26,4,2,0,4,3
M,56,12,424,0,3,0,5,0
M,50,4,89,5,1,0,2,0
M,35,20,319,5,2,4,4,5
M,56,10,197,5,3,2,4,3
F,25,0,337,5,5,3,4,0
M,35,0,488,4,0,0,1,3
F,25,0,40,0,2,1,1,1
M,35,2,141,0,3,3,4,5
M,45,18,118,0,5,1,1,1
F,45,15,488,5,5,0,0,1
M,25,6,314,0,2,1,3,0
M,35,4,83,0,2,0,4,3
M,18,5,627,2,5,0,4,4
F,25,12,231,0,4,0,1,0
F,35,16,459,2,4,0,0,4
F,25,9,349,0,3,3,0,0
F,25,6,30,4,3,4,3,3
M,25,18,62,2,1,0,1,5
