Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
M,50,7,577,1,5,5,5,5,4,4
F,50,5,535,5,1,0,1,5,5,5
M,35,2,606,0,1,1,2,3,3,5
F,18,8,146,2,5,4,1,0,0,5
M,35,0,79,0,0,2,2,5,5,1
F,25,3,88,0,1,3,2,0,2,5
M,50,11,655,1,0,4,0,4,1,0
F,56,19,143,4,4,5,5,3,0,0
F,56,15,640,0,0,3,0,2,3,1
F,1,20,555,2,0,5,4,4,4,0
M,50,20,193,5,4,3,0,4,3,2
M,25,14,279,2,5,3,0,5,4,0
M,45,15,660,3,0,5,1,0,0,0
M,1,1,13,4,0,0,5,5,0,2
F,18,16,726,3,0,0,0,3,0,0
F,56,2,410,0,0,4,0,0,0,1
M,25,4,493,4,1,2,0,3,4,0
M,18,20,98,0,0,4,0,3,5,4
M,1,16,613,0,0,1,2,5,0,1
F,45,0,345,5,1,1,2,3,0,5
F,1,17,13,4,5,4,0,3,0,5
F,56,7,300,5,0,1,5,3,0,5
M,18,17,942,1,0,5,0,0,5,0
F,56,17,285,1,3,3,0,5,4,1
F,1,8,108,1,0,4,0,0,0,0
M,25,14,234,5,5,3,0,5,0,0
M,45,0,417,1,2,0,1,5,2,0
F,18,6,21,5,0,5,0,0,0,0
M,35,18,30,2,5,4,0,3,0,0
F,56,14,813,1,5,2,0,0,0,0
M,1,11,191,5,4,4,5,5,3,1
M,50,20,878,0,0,5,4,5,4,2
F,35,9,198,2,2,5,5,3,4,1
M,35,16,965,1,0,1,0,0,4,4
M,45,20,165,0,0,2,0,3,4,0
F,50,14,856,1,0,4,0,3,4,0
F,18,6,302,4,5,3,5,4,0,4
M,25,20,150,3,5,0,4,4,4,0
F,56,9,253,1,2,3,0,4,3,0
F,50,4,612,3,0,5,3,0,3,5
M,50,2,985,4,1,2,3,3,5,0
M,45,6,437,3,3,0,2,0,0,0
F,35,11,934,2,4,0,1,4,3,2
F,45,5,951,4,5,2,0,0,3,0
M,25,4,751,0,0,1,0,0,0,0
F,25,10,764,3,3,5,0,3,3,2
F,25,1,840,2,3,4,5,5,3,5
M,50,4,988,3,0,0,1,2,2,2
M,45,0,149,4,1,0,0,0,0,4
M,50,19,577,0,0,3,0,5,0,1
M,50,19,285,1,0,4,0,0,3,2
F,35,15,857,1,0,0,1,2,1,0
F,50,18,971,3,0,4,1,0,0,5
F,18,17,968,4,0,4,0,5,0,5
F,50,15,904,4,5,3,1,2,2,2
F,56,15,773,0,0,4,0,0,0,3
F,18,14,41,3,0,5,0,3,2,0
F,25,4,985,2,2,5,5,0,0,4
F,56,18,744,0,0,4,0,0,0,4
F,45,15,530,1,1,1,0,5,4,2
M,25,12,800,1,0,4,0,3,4,5
