Gender,Age,Occupation,ZIP-code,673,1881,1920,2087,2138
F,25,0,554,5,0,0,1,4
M,25,11,904,4,0,3,4,4
F,1,13,525,2,5,0,3,5
F,45,8,261,4,2,4,2,0
F,25,5,273,4,4,2,0,0
M,50,4,434,0,5,4,4,3
M,25,13,765,3,5,1,5,5
M,18,16,445,0,0,3,2,2
F,35,13,68,1,3,0,5,3
F,56,19,27,3,2,1,2,1
M,25,20,741,0,4,0,5,3
F,25,11,462,0,1,2,4,3
M,25,7,820,4,1,1,4,1
F,50,17,222,3,0,3,5,1
M,1,0,37,0,4,5,0,4
F,18,17,700,0,3,0,4,1
F,25,11,424,0,1,0,4,5
F,35,3,327,2,1,5,5,3
M,50,2,931,5,0,0,4,3
M,25,2,965,0,3,4,5,5
F,18,3,857,4,2,2,5,4
F,1,18,109,0,3,2,1,4
F,25,4,462,4,0,1,0,4
F,50,16,731,3,1,4,3,1
M,1,18,902,2,5,2,4,2
F,35,4,836,2,1,0,3,3
F,18,4,809,1,3,3,1,0
F,45,2,658,0,1,3,5,1
M,1,17,197,0,5,5,2,5
F,18,19,604,2,3,3,5,1
F,35,2,790,1,0,2,1,3
F,50,5,100,4,5,1,5,5
M,18,16,560,5,0,4,1,0
F,1,7,274,0,1,0,5,5
F,25,0,50,2,4,4,2,0
M,56,17,360,0,0,0,4,5
F,25,20,811,2,4,1,2,1
F,56,16,794,5,2,1,0,1
M,35,6,17,0,1,4,4,4
F,56,10,957,0,3,4,5,5
M,56,3,997,0,0,4,4,2
F,45,4,157,5,1,1,1,3
M,35,9,166,5,4,0,5,5
M,18,8,152,2,2,0,4,4
M,50,19,143,3,0,0,3,4
M,25,14,165,4,2,0,3,2
M,1,8,229,0,4,1,4,0
M,45,2,559,5,4,1,4,4
M,56,12,937,4,0,5,5,0
M,56,7,66,2,0,0,1,5
F,35,19,60,3,1,4,2,0
M,56,16,372,2,1,2,3,0
M,25,5,830,2,5,2,4,1
M,56,15,245,3,3,0,1,4
F,35,19,330,5,1,0,3,0
M,25,19,786,0,4,2,1,4
F,35,20,114,2,3,3,0,0
M,50,11,362,1,4,4,0,0
F,1,1,65,5,0,4,5,2
M,25,19,74,2,0,1,2,0
M,56,8,63,5,3,1,4,0
M,56,17,130,3,0,4,1,0
F,56,17,144,2,0,4,2,0
M,45,15,431,0,3,3,2,4
M,25,15,66,5,0,2,5,3
M,18,2,405,2,3,5,0,5
M,56,3,223,1,4,4,5,1
M,25,14,523,1,4,3,2,0
F,45,11,473,1,0,1,5,5
M,25,0,196,1,5,5,1,4
F,35,1,382,0,2,1,0,1
M,56,17,336,0,2,4,5,5
F,56,20,282,0,5,3,3,2
F,18,4,503,2,0,3,0,5
M,18,15,680,2,3,1,0,3
M,35,5,358,0,1,1,0,2
M,18,12,627,3,1,2,4,0
M,56,17,80,2,0,3,1,3
M,50,15,786,1,4,2,4,2
M,35,2,319,2,4,0,0,1
F,50,1,82,5,0,5,2,5
F,18,1,382,2,5,2,1,3
M,35,9,122,3,0,1,0,1
M,56,12,551,5,5,2,5,0
M,50,15,240,3,5,3,0,1
M,50,1,111,0,3,3,3,2
F,50,9,280,0,2,1,3,0
M,25,0,613,3,0,3,0,3
