Gender,Age,Occupation,ZIP-code,673,810,1073,1126,1702,2100,2174,2253,2797,3393,3466
M,18,19,913,5,3,2,0,5,0,3,5,1,5,1
F,25,4,170,3,1,4,5,3,0,3,1,0,0,0
M,56,17,325,1,4,0,3,4,1,5,5,5,1,5
F,18,13,27,5,2,3,5,4,0,2,3,4,1,0
M,35,0,128,2,2,4,0,0,5,0,4,0,0,4
F,56,18,327,2,4,3,5,3,0,4,4,4,4,0
M,18,15,857,1,0,3,4,4,2,3,0,4,3,0
M,25,0,741,5,3,4,0,2,0,3,4,4,0,0
F,18,13,830,3,0,0,4,5,0,3,3,2,4,0
F,25,12,142,4,1,1,0,0,2,0,3,5,0,3
F,18,3,15,5,3,3,0,1,0,4,3,5,0,1
F,1,6,582,2,1,2,4,3,4,3,2,3,2,0
F,45,10,630,3,1,0,3,4,0,4,0,0,5,3
F,35,12,984,0,0,3,3,1,2,4,2,4,3,5
F,35,8,975,3,1,0,1,3,3,2,0,0,0,1
F,45,1,103,4,2,5,0,4,1,3,0,4,0,0
F,35,11,84,1,1,2,5,5,4,2,0,0,1,5
F,56,5,790,2,1,1,3,1,0,5,1,3,4,2
F,45,16,916,3,0,2,5,3,3,0,3,5,3,2
F,25,5,63,5,1,4,0,4,0,3,0,1,1,3
F,45,1,503,4,0,1,3,0,3,0,3,0,0,0
F,45,19,328,2,1,1,0,0,3,3,0,4,4,3
F,56,20,303,1,2,4,5,3,5,3,1,3,3,2
F,18,9,433,0,3,3,4,3,2,3,0,4,2,4
F,35,7,24,0,2,2,1,3,1,1,0,5,5,5
F,25,7,88,0,0,0,0,1,4,4,1,1,5,3
M,35,12,931,3,0,4,0,4,4,0,1,4,3,0
M,35,1,497,5,2,1,0,1,0,5,4,0,3,2
F,56,7,471,3,0,4,4,4,4,1,4,4,2,4
F,50,3,917,3,3,0,2,0,2,1,0,0,2,3
M,18,5,79,4,3,3,1,0,3,4,0,2,0,2
F,25,0,181,5,1,5,3,3,0,2,2,0,0,5
M,56,18,923,3,0,5,0,2,5,2,0,0,4,0
F,1,14,652,2,0,5,4,0,5,3,2,4,2,5
F,25,6,704,5,2,2,3,5,5,3,4,2,2,3
F,25,6,596,1,3,5,2,2,0,0,1,3,4,2
F,56,1,904,0,0,1,3,2,0,1,4,2,4,3
F,45,19,558,4,3,5,4,1,0,2,4,5,4,5
M,35,16,750,3,3,3,4,1,5,1,2,0,1,0
M,45,3,61,2,0,2,2,2,5,4,2,2,2,0
F,18,16,277,3,0,5,3,5,4,2,2,5,5,1
M,1,2,98,1,0,0,0,4,3,4,5,5,1,5
F,45,12,750,0,1,4,4,0,2,3,0,5,0,0
F,35,9,232,0,3,4,2,4,0,3,1,0,0,1
F,35,9,704,4,2,0,4,0,3,2,2,2,1,1
M,25,13,834,2,2,2,5,4,2,4,1,0,0,5
M,1,4,782,0,3,2,0,5,1,0,0,3,0,2
M,50,1,622,2,3,3,0,4,4,0,1,4,0,0
F,35,6,109,1,1,0,4,1,4,0,4,4,4,1
M,56,10,443,5,1,5,2,0,5,1,2,2,5,1
