Gender,Age,Occupation,ZIP-code,2,56,673,810,885,1009,1073,1097,1525,1654,1702,1750,1881,1920,1967,2017,2043,2087,2093,2138,2399,3438,3439,3440
F,25,7,146,4,3,0,0,0,2,1,2,0,5,0,2,0,0,3,0,0,0,0,0,0,5,0,0
M,25,6,396,3,1,2,0,2,5,1,5,0,0,0,4,0,0,3,0,4,4,4,3,3,1,0,3
F,35,3,796,2,1,3,0,0,0,2,2,0,0,0,5,2,5,3,3,0,5,3,0,5,3,4,3
F,45,12,370,2,0,0,2,5,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,1,0,4
F,56,18,965,5,1,4,2,0,4,3,5,0,1,4,2,1,1,2,3,3,4,5,5,2,1,2,3
M,56,7,744,4,0,0,0,0,0,1,0,2,4,0,4,5,5,3,2,2,0,5,4,0,2,5,4
M,25,14,931,1,1,0,3,0,3,5,4,1,5,4,5,3,2,0,0,4,3,1,1,3,1,0,1
M,50,4,454,2,0,4,4,0,0,5,3,0,1,4,0,2,0,4,0,3,0,3,0,0,1,4,5
M,45,5,109,1,2,1,2,4,4,3,2,0,5,0,0,3,3,0,5,5,0,1,0,2,3,0,1
M,56,2,627,4,2,5,4,4,3,4,5,0,3,3,4,3,1,5,2,2,4,0,1,0,5,2,4
M,18,20,226,1,4,0,2,3,2,4,5,2,3,3,3,3,0,3,0,2,4,3,0,1,3,0,1
F,45,14,280,1,3,0,0,4,0,2,1,0,5,0,0,3,1,4,5,0,5,1,4,3,5,0,0
F,45,2,838,3,0,4,3,4,2,4,0,0,2,0,3,2,0,2,1,0,3,4,0,4,1,4,3
F,18,10,940,5,1,0,0,5,5,2,4,4,2,0,2,3,1,0,4,2,4,4,0,2,5,5,0
M,18,3,600,0,0,4,2,0,1,4,0,0,4,4,0,3,0,1,5,3,4,0,4,4,5,4,1
M,25,16,956,3,0,1,4,4,1,4,5,2,2,5,0,4,1,2,2,2,0,5,5,0,5,4,4
F,1,2,30,5,0,5,0,0,3,3,3,1,0,0,0,0,4,0,2,0,0,3,5,3,5,0,0
M,25,11,801,5,0,5,4,4,5,1,4,1,3,4,2,5,3,2,4,4,4,1,4,1,5,0,4
M,18,19,530,5,0,0,0,0,2,0,3,3,4,3,0,5,3,1,3,3,5,5,5,0,3,4,0
F,25,9,857,2,3,0,0,0,5,4,4,0,4,0,0,0,5,0,3,5,4,2,2,0,5,0,0
M,25,8,143,3,1,0,0,0,2,0,1,0,5,0,5,4,2,4,0,0,4,1,3,0,2,1,1
M,35,8,902,2,4,1,4,2,3,0,4,0,0,5,5,0,0,5,5,5,0,4,4,0,1,2,4
F,35,1,847,5,1,5,4,0,1,1,3,1,3,1,5,3,1,1,3,4,0,4,1,5,1,2,4
M,18,20,945,0,3,1,1,3,3,5,4,0,1,5,2,1,0,1,2,0,4,5,0,0,5,0,2
M,25,10,100,2,4,2,0,0,4,0,5,5,1,2,5,4,4,0,1,0,0,3,0,0,4,3,1
M,18,5,148,0,1,5,4,0,1,5,5,1,1,4,0,5,2,2,4,2,0,1,3,3,2,3,3
M,25,5,623,2,2,3,1,0,0,5,5,0,4,0,3,3,0,4,0,0,5,1,5,5,2,1,5
M,18,16,78,1,0,2,3,0,5,0,4,0,5,0,0,1,0,2,3,5,0,4,2,2,1,3,4
F,35,19,141,3,0,1,0,2,0,0,4,4,1,0,0,3,0,1,0,1,0,4,2,4,0,2,5
F,25,6,658,3,1,1,1,1,3,2,4,0,1,0,3,3,0,0,3,0,0,4,0,0,3,4,2
M,35,19,362,3,0,0,3,0,5,0,3,0,0,2,0,0,1,4,4,5,5,0,5,1,0,4,0
F,56,17,863,3,1,4,0,2,0,4,5,0,3,0,5,3,3,2,4,5,0,0,2,0,5,1,0
M,50,16,49,3,0,1,0,5,2,2,5,0,4,0,0,0,1,2,5,0,3,0,5,2,1,1,0
M,25,17,16,4,0,0,2,5,1,2,2,0,2,4,0,3,4,2,1,2,0,2,3,5,2,0,0
M,18,2,226,5,2,2,0,5,4,4,2,1,3,2,4,3,1,0,0,0,4,2,0,3,0,0,1
F,18,19,797,4,5,1,2,3,0,2,1,0,2,0,4,3,2,1,0,4,5,0,0,0,3,2,2
F,50,6,373,4,4,5,0,3,0,3,4,0,5,0,3,0,1,5,0,3,4,2,5,5,2,2,0
F,45,18,56,4,0,0,0,4,0,0,4,1,4,0,0,5,0,0,2,4,0,2,0,4,1,0,0
M,1,19,780,0,0,4,0,3,3,5,4,5,4,2,0,5,0,1,1,0,1,5,0,0,2,5,4
M,45,12,127,0,0,2,0,2,3,3,2,0,5,0,0,4,1,1,1,0,0,1,5,0,3,4,4
M,25,17,12,4,2,0,0,3,0,4,1,0,0,0,4,1,0,0,0,0,3,3,0,3,3,0,0
M,50,8,726,2,1,1,4,0,5,3,1,0,1,4,0,1,3,1,5,5,3,0,1,5,3,2,4
M,35,5,74,3,2,1,0,4,0,4,3,0,0,0,1,0,5,2,4,4,2,1,5,5,1,5,3
M,45,9,236,4,0,1,1,0,2,4,3,3,0,2,2,1,0,1,0,1,4,4,3,2,5,5,2
M,18,16,490,3,3,3,3,0,4,1,4,3,0,3,2,3,4,4,0,4,0,4,5,3,0,1,2
M,25,4,457,2,4,0,0,5,0,3,3,0,4,0,3,2,0,0,0,5,4,1,2,0,0,4,0
M,45,16,378,1,2,5,0,0,4,4,5,2,0,5,3,1,3,5,4,3,0,0,0,0,4,1,5
M,18,11,382,5,2,4,4,4,2,2,5,1,4,4,5,5,1,1,3,0,5,2,0,0,2,0,4
F,25,3,773,4,4,1,0,3,3,4,4,0,0,0,4,2,2,2,4,1,0,5,2,0,1,0,0
M,35,17,498,5,0,4,0,0,0,3,3,1,1,0,0,1,0,1,0,5,4,5,0,0,2,0,0
M,56,10,424,3,3,4,2,5,0,3,0,0,0,0,3,3,0,0,3,0,4,2,0,1,5,5,4
