Gender,Age,Occupation,ZIP-code,673,810,1073,1126,1702,2100,2174,2253,2797,3393,3466
M,50,9,930,0,0,1,0,0,2,1,4,2,3,0
M,25,0,950,0,0,0,0,0,0,0,0,0,0,0
F,1,8,42,4,3,4,2,1,0,1,0,2,0,4
M,25,14,794,5,4,0,0,0,0,3,0,4,0,0
F,1,20,434,0,0,0,0,0,0,1,2,0,0,0
M,56,3,322,2,2,4,0,0,0,4,0,0,0,0
F,35,0,465,0,4,3,0,0,5,0,2,2,0,3
F,18,13,934,0,0,0,0,0,0,0,0,0,0,4
F,50,9,152,2,4,0,0,5,1,0,0,5,3,0
F,1,13,245,3,4,2,0,4,0,4,2,3,0,0
F,45,17,435,0,1,0,0,4,3,0,2,2,1,0
M,25,13,78,0,0,0,0,0,0,0,0,0,0,0
F,1,7,201,0,0,5,1,0,0,0,5,4,0,0
F,1,19,212,0,0,4,0,0,0,0,5,0,0,0
F,45,15,917,4,0,5,3,5,2,0,2,0,4,4
F,18,14,198,0,3,1,2,0,2,4,0,0,0,5
F,25,1,245,0,0,0,0,1,0,3,0,0,2,4
F,50,6,981,1,0,5,2,3,3,1,2,3,4,1
F,1,4,489,1,4,2,2,1,4,2,2,1,0,1
F,18,4,272,0,0,0,0,0,0,0,0,0,0,0
F,1,12,136,0,0,0,0,0,0,4,0,0,0,3
F,18,15,437,0,0,0,4,0,2,0,0,0,5,0
F,56,0,758,0,3,5,2,1,5,3,0,0,0,0
M,56,16,850,0,2,4,0,0,0,4,1,2,4,4
F,25,0,460,0,3,5,3,0,4,0,0,4,0,1
F,50,20,527,0,1,1,4,0,5,3,0,0,2,0
M,35,6,38,0,0,0,0,0,0,0,0,0,4,0
M,56,0,985,1,3,5,1,0,0,4,0,5,5,3
M,25,3,940,0,2,0,4,0,0,1,1,3,0,3
M,1,1,560,0,4,0,1,2,2,0,3,0,5,3
M,25,19,26,3,4,2,0,0,0,0,0,0,0,0
M,50,13,802,0,3,2,3,2,4,0,0,5,0,0
M,56,0,927,0,4,0,5,0,3,0,0,0,3,2
F,18,13,837,2,4,0,4,0,0,0,5,5,0,0
F,35,0,277,0,0,0,0,0,0,0,2,5,0,1
M,56,2,27,2,1,2,1,4,5,0,5,0,1,3
M,25,9,303,5,0,1,3,0,0,3,0,0,0,0
F,50,6,277,0,0,0,0,0,0,5,2,0,0,0
M,18,9,66,0,0,0,0,0,4,2,3,5,3,0
M,56,9,231,2,2,4,0,4,0,4,0,5,0,4
F,18,11,245,5,3,0,5,0,3,0,1,2,1,0
F,25,18,853,0,0,0,0,1,2,0,0,3,2,0
M,25,17,959,0,0,1,5,0,0,3,2,3,0,0
F,45,8,557,4,1,5,2,2,0,5,2,5,5,4
F,56,8,285,0,0,0,5,0,0,0,3,5,2,0
F,45,8,168,0,1,2,3,2,2,3,1,5,0,4
M,25,0,424,5,0,0,4,0,3,0,0,4,3,0
M,45,11,314,3,0,4,0,4,2,0,0,4,4,0
M,35,3,485,0,0,0,0,0,0,0,0,0,0,0
M,1,3,142,0,0,3,0,4,0,4,5,0,0,0
M,45,9,830,0,0,2,4,0,5,4,1,0,2,5
M,18,5,16,0,0,0,0,0,0,0,0,5,2,0
F,25,20,377,0,0,3,4,0,1,4,0,2,5,0
F,50,17,432,5,0,0,0,3,1,3,2,1,5,0
F,18,0,274,0,0,3,0,0,5,0,0,0,2,4
M,56,8,27,5,4,1,3,2,2,1,3,2,1,3
M,25,12,534,0,0,0,0,0,2,0,0,4,4,2
F,25,17,197,3,0,4,0,0,1,5,2,1,0,2
M,56,7,157,3,0,1,4,4,3,5,3,4,0,0
F,35,5,473,0,0,0,3,4,0,1,0,2,5,5
M,1,20,581,1,1,3,5,0,0,3,0,4,5,0
M,45,15,253,0,3,0,1,0,0,3,4,5,0,4
F,45,1,435,0,0,0,5,4,1,5,5,5,2,3
F,56,14,913,0,4,5,0,4,2,2,0,4,5,4
M,18,9,480,0,0,0,0,0,4,5,1,2,0,4
F,25,2,396,2,1,0,0,0,1,0,0,2,5,0
M,1,4,597,0,0,0,0,4,0,0,0,2,0,0
F,25,8,481,0,0,2,1,5,3,4,0,0,0,0
M,45,5,601,5,4,1,3,5,3,3,1,5,4,3
M,25,16,180,0,0,0,1,0,0,4,2,0,0,0
F,35,20,457,1,4,5,2,0,0,2,0,0,5,0
M,56,16,597,0,0,4,3,0,2,0,0,3,3,4
M,1,13,371,0,3,2,3,0,3,2,0,0,4,0
M,25,3,539,0,0,0,0,1,0,4,2,5,0,3
M,18,5,826,0,0,2,0,4,2,5,0,0,5,0
M,25,15,551,0,2,1,0,4,0,5,0,3,0,0
M,18,7,362,0,0,0,0,4,2,3,3,2,0,0
M,56,13,926,5,1,3,3,1,0,2,2,0,0,0
F,25,20,228,2,0,0,1,4,0,1,0,5,5,4
F,25,0,577,0,3,3,1,4,0,1,0,4,5,0
